iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.396603,-0.008134,0.313451,0.005719,0.662118,0.085345,-0.170918,0.133455,0.267407,-0.740674,1.195145,4.0,0.0003,0,453,0.268,0.36412,0.0,nan,0,0.0,0.0,,,-0.02,0.00505,-0.014,-0.0235,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.376174,-0.004707,0.106446,0.002573,0.67256,0.023158,0.666829,-0.650895,0.974238,-1.366794,1.927671,4.0,0.0002999,0,525,0.24198,0.31625,0.0,nan,0,0.0,0.0,,,-0.02,0.00531,-0.01058,-0.01858,-0.00104,0.0
3,3072,nan,nan,0.0,0.0,2.229191,-0.00512,0.059568,0.003169,0.548245,0.043876,0.870958,-1.250926,1.934306,-1.851077,2.598385,4.0,0.0002998,0,544,0.23052,0.29527,0.0,nan,0,0.0,0.0,,,-0.02,0.00448,-0.01046,-0.01373,-0.00212,0.0
4,4096,-19.75667,447.125,0.0,0.0,2.110995,-0.005509,0.05008,0.002442,0.250309,0.022287,0.900427,-2.056882,2.529194,-2.524815,3.222991,4.0,0.00029969,8,535,0.2681,0.35018,0.875,nan,0,0.125,0.99796,,,-0.02,0.00527,-0.00775,-0.01862,-0.00414,-0.00222
5,5120,nan,nan,0.0,0.0,2.35304,-0.005632,0.03509,0.004556,0.300375,0.075997,0.910884,-2.566408,3.172293,-3.195053,4.197778,4.0,0.00029959,0,513,0.26669,0.33977,0.875,nan,0,0.0,0.0,,,-0.02,0.00563,-0.00653,-0.02163,-0.00106,0.0
6,6144,-14.30386,276.0,0.0,0.0,1.871851,-0.003911,0.05659,0.002747,0.266634,0.042027,0.925398,-2.930482,4.048076,-3.491251,4.56297,4.0,0.00029949,1,510,0.28381,0.34982,0.77778,nan,0,1.0,1.0,,,-0.02,0.00598,-0.00541,-0.01929,-0.00901,-0.00252
7,7168,-18.59055,444.0,0.0,0.0,1.102842,-0.004939,0.044784,0.003066,0.263976,0.052525,0.933912,-3.585153,4.298717,-3.924736,4.496631,4.0,0.00029939,1,710,0.28375,0.34629,0.7,nan,0,1.0,0.97368,,,-0.02,0.00721,-0.00727,-0.02009,-0.01239,-0.00409
8,8192,-14.695,406.42857,0.0,0.0,2.021808,-0.006549,0.040536,0.005193,0.347898,0.088239,0.943749,-4.018792,4.896622,-4.498071,5.622008,4.0,0.00029928,7,541,0.32964,0.39867,0.76471,nan,0,0.85714,0.97076,,,-0.02,0.00884,-0.00529,-0.02311,-0.00776,-0.00228
9,9216,-10.5342,235.25,0.0,0.0,1.458511,-0.005017,0.051533,0.003979,0.29806,0.051862,0.92191,-4.189098,4.969383,-4.54494,5.055863,4.0,0.00029918,4,619,0.3065,0.38416,0.61905,nan,0,1.0,1.0,,,-0.02,0.00816,-0.00275,-0.02297,-0.0169,-0.01222
10,10240,-10.83091,246.6,0.0,0.0,1.619471,-0.003076,0.045036,0.003137,0.273889,0.031006,0.920511,-4.750432,4.68555,-4.885102,5.014978,4.0,0.00029908,5,583,0.32828,0.40272,0.5,nan,0,1.0,0.97826,,,-0.02,0.00749,-0.00391,-0.01988,-0.01176,-0.01361
