iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.395503,-0.008281,0.328175,0.005279,0.873571,0.051862,-0.082164,0.537999,0.287566,-0.504972,1.174067,4.0,0.0003,0,498,0.26626,0.3592,0.0,nan,0,0.0,0.0,,,-0.03,0.00469,-0.01358,-0.02185,-0.00035,0.0
2,2048,nan,nan,0.0,0.0,2.331323,-0.004759,0.134335,0.001982,0.747746,0.00987,0.597175,-0.446545,0.867937,-1.415095,1.896852,4.0,0.0002999,0,567,0.23114,0.31086,0.0,nan,0,0.0,0.0,,,-0.03,0.00385,-0.01436,-0.0195,-0.00033,0.0
3,3072,nan,nan,0.0,0.0,2.297025,-0.005788,0.058802,0.00462,0.627556,0.066616,0.83013,-1.196826,1.813653,-2.068351,2.785367,4.0,0.0002998,0,581,0.21986,0.28673,0.0,nan,0,0.0,0.0,,,-0.03,0.00421,-0.01015,-0.01954,-0.00033,0.0
4,4096,-25.54233,450.0,0.0,0.0,2.24354,-0.004643,0.042318,0.003777,0.458308,0.036656,0.906862,-1.954131,2.789415,-2.648925,3.650366,4.0,0.00029969,8,558,0.22259,0.30518,1.0,nan,0,0.0,0.99819,,,-0.03,0.00391,-0.0081,-0.02048,-0.00033,0.0
5,5120,nan,nan,0.0,0.0,2.224167,-0.005799,0.028175,0.005733,0.363332,0.080985,0.927017,-2.603462,3.622771,-3.421926,4.65769,4.0,0.00029959,0,548,0.2119,0.29257,1.0,nan,0,0.0,0.0,,,-0.03,0.00603,-0.00701,-0.02157,-0.00134,0.0
6,6144,-17.51342,297.66667,0.0,0.0,1.818504,-0.00321,0.076786,0.002644,0.225573,0.021868,0.907784,-3.420607,4.633192,-3.973352,4.954448,4.0,0.00029949,3,622,0.22206,0.29295,0.72727,nan,0,1.0,1.0,,,-0.03,0.0047,-0.00705,-0.01558,-0.01193,-0.00759
7,7168,-21.02883,426.5,0.0,0.0,1.527381,-0.004491,0.053289,0.003753,0.244799,0.049177,0.918958,-4.022483,4.579884,-4.561003,5.090127,4.0,0.00029939,2,606,0.25333,0.31861,0.61538,nan,0,1.0,0.95238,,,-0.03,0.00662,-0.00745,-0.02228,-0.00818,-0.00592
8,8192,-17.07878,351.4,0.0,0.0,2.030654,-0.004603,0.033395,0.003762,0.242701,0.037981,0.945781,-4.819352,4.973962,-5.316623,5.645635,4.0,0.00029928,5,585,0.20931,0.29006,0.61111,nan,0,0.6,0.99174,,,-0.03,0.00645,-0.00586,-0.0195,-0.00662,-0.00439
9,9216,-11.05897,179.0,0.0,0.0,1.484288,-0.004726,0.044579,0.003603,0.259389,0.0482,0.925642,-4.919261,5.175609,-5.186739,5.318997,4.0,0.00029918,4,700,0.24183,0.31404,0.5,nan,0,1.0,1.0,,,-0.03,0.00482,-0.00432,-0.01308,-0.01375,-0.01196
10,10240,-11.7446,259.33333,0.0,0.0,1.427546,-0.004059,0.02384,0.002045,0.215719,0.02138,0.95563,-5.281868,4.926801,-5.478281,5.10207,4.0,0.00029908,3,683,0.24405,0.30056,0.48,nan,0,0.66667,0.96774,,,-0.03,0.00462,-0.0035,-0.01529,-0.00843,-0.00623
11,11264,-10.26731,272.0,0.0,0.0,1.646073,-0.004258,0.031861,0.003482,0.240208,0.029715,0.94144,-5.562877,5.044802,-5.795283,5.362565,4.0,0.00029898,5,623,0.24594,0.31715,0.46667,nan,0,0.8,1.0,,,-0.03,0.00604,-0.00373,-0.01632,-0.00945,-0.00793
12,12288,-15.75294,364.0,0.0,0.0,1.463468,-0.004099,0.026719,0.002048,0.259646,0.024937,0.94811,-5.633543,4.874316,-5.992343,5.354662,4.0,0.00029887,3,703,0.24764,0.31532,0.48485,nan,0,0.33333,0.94444,,,-0.03,0.00601,-0.00375,-0.01862,-0.00877,-0.00293
