iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.392676,-0.010118,0.263381,0.006711,0.559761,0.106585,-0.021446,0.042692,0.24072,-0.996481,1.284066,4.0,0.0003,0,498,0.26576,0.35965,0.0,nan,0,0.0,0.0,,,-0.03,0.00497,-0.01369,-0.02312,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.361483,-0.006095,0.099052,0.002191,0.734324,0.014195,0.674845,-0.917538,1.088237,-1.844587,2.174218,4.0,0.0002999,0,574,0.25277,0.33267,0.0,nan,0,0.0,0.0,,,-0.03,0.0066,-0.0124,-0.02131,-0.00104,0.0
3,3072,nan,nan,0.0,0.0,1.967547,-0.006884,0.060685,0.006199,0.744537,0.083391,0.877559,-1.688877,2.087757,-2.445127,2.745789,4.0,0.0002998,0,631,0.24838,0.31775,0.0,nan,0,0.0,0.0,,,-0.03,0.00533,-0.00874,-0.01605,-0.0061,0.0
4,4096,-23.77563,449.75,0.0,0.0,1.795317,-0.003265,0.068142,0.002555,0.357575,0.043004,0.881989,-2.682131,2.751719,-3.263947,3.472255,4.0,0.00029969,8,634,0.3015,0.37922,0.875,nan,0,0.375,0.98932,,,-0.03,0.00847,-0.00784,-0.02776,-0.00446,-0.00257
5,5120,-11.78511,187.0,0.0,0.0,1.938514,-0.004631,0.041414,0.004013,0.289206,0.049037,0.919385,-3.080296,3.329765,-3.707862,4.11259,4.0,0.00029959,1,619,0.26711,0.33925,0.77778,nan,0,1.0,1.0,,,-0.03,0.00762,-0.0048,-0.02102,-0.00962,-0.00237
6,6144,-14.07891,251.75,0.0,0.0,1.354558,-0.004445,0.056346,0.003362,0.2289,0.049979,0.917309,-3.62331,3.886989,-4.032072,4.157623,4.0,0.00029949,4,709,0.29149,0.37142,0.53846,nan,0,1.0,0.97101,,,-0.03,0.00935,-0.00509,-0.02131,-0.01323,-0.01316
7,7168,-12.24922,262.0,0.0,0.0,1.64349,-0.004336,0.062008,0.003812,0.307303,0.050537,0.893831,-4.257594,3.882903,-4.537588,4.234776,4.0,0.00029939,7,654,0.27156,0.35213,0.35,nan,0,1.0,0.96939,,,-0.03,0.01032,-0.0047,-0.02182,-0.01339,-0.01912
8,8192,-9.82608,165.33333,0.0,0.0,1.684531,-0.004649,0.044734,0.004743,0.26668,0.066755,0.918092,-4.634696,3.93987,-4.880651,4.386256,4.0,0.00029928,6,582,0.26302,0.34702,0.26923,nan,0,1.0,0.96226,,,-0.03,0.00959,-0.00426,-0.01954,-0.01657,-0.01568
9,9216,-9.57852,159.5,0.0,0.0,1.727518,-0.005166,0.032552,0.004563,0.281931,0.052316,0.944227,-4.772111,4.190467,-5.073453,4.643952,4.0,0.00029918,4,627,0.25129,0.3252,0.23333,nan,0,1.0,1.0,,,-0.03,0.01019,-0.00146,-0.0226,-0.01611,-0.01035
10,10240,-9.32136,187.4,0.0,0.0,1.011613,-0.004042,0.027909,0.002136,0.31086,0.033761,0.942766,-4.565263,3.889344,-4.584644,4.008461,4.0,0.00029908,5,775,0.26316,0.34463,0.2,nan,0,1.0,0.92,,,-0.03,0.01104,-0.00611,-0.01734,-0.01478,-0.02081
