iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.336748,-0.008144,0.33643,0.007001,1.314709,0.054339,0.025211,0.656328,0.165928,-0.012314,1.231406,4.0,0.0003,0,766,0.26967,0.36286,0.0,nan,0,0.0,0.0,,,-0.01,0.00521,-0.01183,-0.02332,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.28471,-0.004368,0.109429,0.002061,0.759777,0.013532,0.626691,0.104244,0.865892,-0.532314,1.918876,4.0,0.0002999,0,783,0.22228,0.30871,0.0,nan,0,0.0,0.0,,,-0.01,0.0047,-0.01109,-0.02008,-0.00095,0.0
3,3072,-13.93094,375.0,0.0,0.0,1.821948,-0.005648,0.080286,0.004996,0.574411,0.069754,0.852923,-0.371722,1.901988,-0.892161,2.593513,4.0,0.0002998,8,809,0.2294,0.32635,1.0,nan,0,0.25,0.98818,,,-0.01,0.00439,-0.01059,-0.01882,-0.00709,0.0
4,4096,nan,nan,0.0,0.0,2.260483,-0.005172,0.054835,0.004246,0.483145,0.048863,0.882087,-0.780608,2.53436,-1.337299,3.486042,4.0,0.00029969,0,779,0.248,0.33066,1.0,nan,0,0.0,0.0,,,-0.01,0.00765,-0.00905,-0.02183,-0.00416,0.0
5,5120,-9.27679,193.33333,0.0,0.0,1.248045,-0.003133,0.070323,0.001642,0.301044,0.00858,0.907854,-1.471489,3.3805,-2.001239,3.723408,4.0,0.00029959,3,848,0.25156,0.35059,0.72727,nan,0,1.0,0.9661,,,-0.01,0.00833,-0.01075,-0.02156,-0.01977,-0.0105
6,6144,-9.40827,299.57143,0.0,0.0,1.327802,-0.003738,0.048422,0.002971,0.259602,0.040702,0.919134,-2.25841,3.283433,-2.611632,3.560944,4.0,0.00029949,7,877,0.26332,0.34536,0.61111,nan,0,0.85714,0.98193,,,-0.01,0.00836,-0.00709,-0.02104,-0.01211,-0.0132
7,7168,-7.79133,178.0,0.0,0.0,1.955987,-0.004764,0.048242,0.00428,0.278667,0.07101,0.923391,-2.667405,3.632341,-3.100561,4.269191,4.0,0.00029939,3,782,0.25176,0.32325,0.52381,nan,0,1.0,0.94118,,,-0.01,0.0087,-0.00635,-0.02166,-0.00935,-0.00687
8,8192,-8.72028,189.33333,0.0,0.0,1.464491,-0.003687,0.03939,0.002434,0.214252,0.030762,0.939142,-2.89912,3.941795,-3.267855,4.334901,4.0,0.00029928,3,860,0.26078,0.34784,0.45833,nan,0,1.0,0.96078,,,-0.01,0.00692,-0.0093,-0.01942,-0.01615,-0.00892
9,9216,-8.53704,256.2,0.0,0.0,1.152775,-0.00231,0.048919,0.001359,0.254506,0.013358,0.916178,-3.413502,3.987697,-3.622038,4.178459,4.0,0.00029918,5,901,0.29992,0.38188,0.37931,nan,0,1.0,0.98571,,,-0.01,0.01158,-0.00906,-0.01896,-0.01506,-0.01827
10,10240,-7.49186,198.11111,0.0,0.0,1.398441,-0.003486,0.053415,0.002411,0.324703,0.027448,0.903033,-3.949739,4.069077,-4.009377,4.108438,4.0,0.00029908,9,847,0.28135,0.35594,0.31579,nan,0,1.0,0.98113,,,-0.01,0.01194,-0.0052,-0.01693,-0.02041,-0.02443
