iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,14.4194,111.4,0.8,0.8,1.283893,-0.001538,6.146461,0.003843,1322,-0.01,0.00525,-0.00074,0.0009,-0.00107,0.08573
2,2048,19.54054,140.66667,1.0,0.90909,1.267813,-0.058305,4.99233,0.001168,1408,-0.01,0.0052,-0.0021,0.00112,-0.0026,0.14811
3,3072,13.74883,142.625,0.875,0.89474,1.232139,-0.000377,7.659396,0.00033,1396,-0.01,0.00798,-0.00253,0.00185,-0.00242,0.14381
4,4096,17.36302,136.16667,1.0,0.92,1.222449,-0.000673,5.11558,0.000635,1398,-0.01,0.00525,-0.00221,0.00112,-0.00258,0.1343
5,5120,16.09899,145.28571,1.0,0.9375,1.366239,-0.02192,2.375044,0.001824,1326,-0.01,0.00547,-0.00233,0.00182,8e-05,0.13514
6,6144,17.63528,189.42857,0.85714,0.92308,1.273986,-0.050471,4.130275,0.001301,1389,-0.01,0.01039,-0.0026,0.00145,-0.00055,0.1449
7,7168,18.07603,140.16667,1.0,0.93333,1.312841,-0.113642,4.300128,0.001268,1408,-0.01,0.00647,-0.00098,0.00101,-0.00068,0.13542
8,8192,10.35502,176.0,0.8,0.92,1.318409,0.001136,4.582645,0.001567,1507,-0.01,0.00755,-0.00217,0.00192,-0.0048,0.07715
9,9216,12.6418,172.66667,0.66667,0.89286,1.327277,0.04624,5.020495,0.001344,1387,-0.01,0.00701,-0.00064,0.00118,-0.00246,0.09441
10,10240,11.02542,183.14286,0.85714,0.88889,1.34402,-0.001496,3.610069,0.001065,1516,-0.01,0.00626,-0.00084,0.00103,-0.00234,0.10602
11,11264,17.6799,168.6,1.0,0.89706,1.295668,-6.7e-05,3.774084,0.001693,1407,-0.01,0.00722,-0.0004,0.00156,-0.00098,0.10425
12,12288,16.51899,160.375,1.0,0.90789,1.255465,-0.050925,4.715318,0.001756,1403,-0.01,0.00562,2e-05,0.0021,-0.00165,0.16663
13,13312,15.17102,123.25,0.875,0.90476,1.142816,-0.000156,6.094556,0.000518,1446,-0.01,0.00602,7e-05,0.00125,-0.00762,0.16463
14,14336,13.49796,108.77778,0.77778,0.89247,1.149675,-0.015267,8.863481,0.000767,1353,-0.01,0.0039,0.00088,0.00141,-0.00298,0.15558
15,15360,20.28075,109.33333,0.88889,0.89,1.231825,-0.000194,6.281742,0.000883,1369,-0.01,0.00552,-0.00011,0.00118,-8e-05,0.21715
16,16384,14.41135,127.71429,0.85714,0.89,1.267573,-0.004153,5.219524,0.001102,1331,-0.01,0.00508,-7e-05,0.00188,-0.00301,0.12429
17,17408,19.27724,120.4,1.0,0.9,1.150243,0.0435,4.186978,0.002612,1325,-0.01,0.00438,-0.00019,0.00154,0.0001,0.23367
18,18432,23.8712,123.16667,1.0,0.9,1.303299,-0.030349,5.216868,0.001286,1386,-0.01,0.00483,-0.00041,0.0017,-0.00255,0.16794
19,19456,15.05546,123.33333,0.88889,0.89,1.260037,0.018884,3.497654,0.001847,1380,-0.01,0.00532,-1e-05,0.00204,-0.00177,0.16531
20,20480,21.15659,147.6,0.8,0.89,1.303596,-0.000363,3.238403,0.000814,1365,-0.01,0.00793,0.00041,0.00274,0.00038,0.11594
21,21504,12.24644,198.33333,0.66667,0.87,1.310328,-2.8e-05,4.271969,0.000647,1341,-0.01,0.00962,0.00062,0.00328,-0.00339,0.08226
22,22528,14.10625,204.0,0.83333,0.87,1.274123,-0.000674,3.149137,0.000815,1542,-0.01,0.00887,0.00022,0.00241,0.00062,0.10676
23,23552,18.85309,171.5,1.0,0.89,1.30983,-0.000701,3.460106,0.000665,1374,-0.01,0.00919,0.00012,0.00213,0.00121,0.0808
