iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,29.21537,114.6,1.0,1.0,1.374642,-0.034569,28.943712,0.004419,1946,0.131,-0.01,0.00989,-0.00086,0.0041,-0.06849,0.20457
2,2048,20.28882,150.71429,0.71429,0.83333,1.413899,-0.000395,19.81566,0.001048,2213,0.14254,-0.01,0.0113,-0.00262,0.00385,-0.0552,0.25102
3,3072,27.25315,184.0,1.0,0.86667,1.379229,-0.047865,12.710551,0.000802,2043,0.13827,-0.01,0.01053,-0.00131,0.00439,-0.01799,0.10549
4,4096,31.39716,158.75,1.0,0.91304,1.463769,-0.002003,7.079868,0.002092,2027,0.14385,-0.01,0.0107,-0.00373,0.00429,-0.00178,0.30615
5,5120,36.1683,156.8,1.0,0.92857,1.439514,-0.002294,7.999898,0.001399,2090,0.15048,-0.01,0.00969,-0.00247,0.00407,-0.00221,0.20982
6,6144,21.26992,173.6,0.8,0.90909,1.372481,-1.9e-05,22.847808,0.000707,2283,0.17166,-0.01,0.00828,-0.00268,0.00337,-0.11051,0.20056
7,7168,8.92646,256.0,0.66667,0.88889,1.420202,0.004063,7.461438,0.002132,2210,0.16944,-0.01,0.00682,-0.0021,0.00479,-0.0145,0.06617
8,8192,12.70878,271.0,0.5,0.85,1.442673,-0.000823,2.855254,0.003021,2000,0.15108,-0.01,0.00524,-0.00058,0.00463,-0.00235,0.08839
9,9216,-2.54743,375.0,0.0,0.82927,1.441555,-0.030744,2.819005,0.000684,2212,0.16253,-0.01,0.00341,-0.00067,0.00461,-0.00212,0.0
10,10240,-0.84811,375.0,0.0,0.75556,1.484021,0.000154,0.611961,0.000511,2057,0.14514,-0.01,0.00203,-0.00017,0.00547,-0.00117,0.0
11,11264,-1.45051,375.0,0.0,0.70833,1.509365,-0.001302,0.174576,0.002221,1839,0.13589,-0.01,0.00216,-5e-05,0.00567,0.0,0.0
12,12288,-0.27788,375.0,0.0,0.69388,1.512891,-0.002059,0.130566,0.001616,1687,0.13756,-0.01,0.00288,5e-05,0.00553,0.00089,0.0
13,13312,-0.56112,375.0,0.0,0.62963,1.554861,-0.001521,0.124786,0.004277,1714,0.13783,-0.01,0.00242,-0.00017,0.00582,0.0,0.0
