iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,human_death_rate,false_complete_rate,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.394372,-0.008251,0.425511,0.0044,984,0.13923,0.0,0.0,-0.01,0.00649,-0.01996,-0.02343,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.324918,-0.003351,0.370285,0.001179,993,0.13965,0.0,0.0,-0.01,0.00735,-0.01443,-0.01965,0.0,0.0
3,3072,-14.81549,375.0,0.0,0.0,2.257236,-0.01863,0.218756,0.002984,1047,0.14975,0.0,0.99368,-0.01,0.00585,-0.01032,-0.01904,-0.00401,0.0
4,4096,nan,nan,0.0,0.0,2.314172,-0.019439,0.218732,0.001717,1015,0.13593,0.0,0.0,-0.01,0.0103,-0.00803,-0.02143,-0.00038,0.0
5,5120,-24.35573,232.0,0.0,0.0,2.284296,-0.002751,2.363945,0.001595,1117,0.14715,1.0,1.0,-0.01,0.0083,-0.00703,-0.01857,-0.02537,-0.00032
6,6144,-20.03012,375.0,0.0,0.0,2.205611,-0.000859,9.003043,0.001784,1244,0.15846,0.57143,1.0,-0.01,0.00674,-0.00574,-0.02283,-0.09002,0.0
7,7168,nan,nan,0.0,0.0,2.286317,-0.003283,0.250075,0.000915,1011,0.13742,0.0,0.0,-0.01,0.01107,-0.0037,-0.02022,0.0,0.0
8,8192,-35.33453,357.0,0.0,0.0,2.190026,-0.000397,13.786639,0.006228,1279,0.15478,1.0,1.0,-0.01,0.01021,-0.00371,-0.01409,-0.154,-0.00037
9,9216,-22.4316,314.0,0.0,0.0,2.192756,-0.001606,6.291368,0.000641,1353,0.14639,1.0,0.96212,-0.01,0.0117,-0.00391,-0.01949,-0.06733,-0.00288
10,10240,-14.33079,180.33333,0.0,0.0,2.21872,-0.002898,6.601497,0.002138,1215,0.15266,1.0,1.0,-0.01,0.01092,-0.00382,-0.01649,-0.08179,-0.00106
11,11264,-18.44161,235.66667,0.0,0.0,2.181558,-0.003392,4.403004,0.002619,1487,0.14983,1.0,0.975,-0.01,0.01077,-0.00331,-0.01695,-0.05054,-0.00136
12,12288,-11.8105,284.4,0.0,0.0,2.206613,-0.004957,1.555757,0.003767,1338,0.14499,0.8,0.98387,-0.01,0.01041,-0.00313,-0.01725,-0.03404,-0.00119
13,13312,-9.51823,254.5,0.0,0.0,2.17101,-0.029076,3.984641,0.003059,1321,0.15303,1.0,1.0,-0.01,0.01139,-0.00242,-0.01476,-0.066,-0.0008
14,14336,-12.31772,242.5,0.16667,0.02273,2.184663,0.286804,3.937653,0.00309,1289,0.1432,1.0,0.95918,-0.01,0.01028,-0.00275,-0.01853,-0.02534,-0.00198
15,15360,-10.35087,285.66667,0.0,0.02128,2.126749,-0.000431,7.056418,0.001619,1534,0.13682,1.0,1.0,-0.01,0.01003,-0.0019,-0.01807,-0.10067,-0.00147
16,16384,-9.39994,239.33333,0.33333,0.04,2.203747,-0.03699,5.67855,0.001714,1304,0.13771,1.0,1.0,-0.01,0.01129,-0.00145,-0.02013,-0.03586,0.01311
17,17408,-17.03898,300.0,0.0,0.03774,2.126949,0.012822,1.509035,0.00368,1444,0.14353,0.66667,1.0,-0.01,0.00894,-0.00204,-0.0175,-0.02666,-0.0009
18,18432,-8.7925,360.66667,0.0,0.03571,1.949974,-0.006636,0.470388,0.006014,2544,0.15623,0.33333,1.0,-0.01,0.00795,-0.00168,-0.00677,-0.01919,-0.00102
19,19456,-5.46532,375.0,0.0,0.03333,2.124344,-0.006003,0.281803,0.004706,1546,0.14425,0.0,1.0,-0.01,0.01212,-0.002,-0.01465,-0.01145,0.0
20,20480,11.32352,275.0,0.5,0.04839,2.061968,-0.000436,19.865748,0.002484,1639,0.1482,0.0,1.0,-0.01,0.01228,-0.00224,-0.01732,-0.01116,0.05777
21,21504,-7.00912,254.33333,0.0,0.04412,2.09506,-0.002293,3.131603,0.001779,1649,0.14826,0.83333,1.0,-0.01,0.01228,-0.00046,-0.01674,-0.06162,-0.00266
