iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.349222,-0.008232,0.879097,0.005856,892,0.13783,0.0,0.0,,,-0.01,0.00692,-0.04722,-0.02329,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.306312,-0.003563,0.846403,0.001247,895,0.13942,0.0,0.0,,,-0.01,0.00691,-0.04362,-0.02005,-0.00039,0.0
3,3072,-25.118,375.0,0.0,0.0,2.257253,-0.007267,0.594861,0.002607,1007,0.15258,0.125,1.0,,,-0.01,0.00582,-0.04065,-0.02071,-0.00507,0.0
4,4096,nan,nan,0.0,0.0,2.301466,-0.004121,0.506247,0.002213,894,0.13685,0.0,0.0,,,-0.01,0.00971,-0.02385,-0.0232,-0.00067,0.0
5,5120,-12.40631,247.0,0.0,0.0,2.220111,-0.027026,0.625649,0.006542,1275,0.15876,1.0,1.0,,,-0.01,0.00927,-0.02301,-0.01328,-0.01864,-0.00084
6,6144,-12.35915,319.66667,0.0,0.0,2.222158,-0.007552,0.378014,0.003662,1144,0.14105,0.83333,1.0,,,-0.01,0.01227,-0.01624,-0.01983,-0.0064,-0.00189
7,7168,-5.99472,171.6,0.0,0.0,2.190618,-0.016571,0.44445,0.008057,1147,0.15076,1.0,0.96552,,,-0.01,0.01155,-0.00969,-0.01635,-0.017,-0.00231
8,8192,-5.5679,184.75,0.0,0.0,2.154052,0.046971,0.268103,0.005047,1089,0.14317,1.0,0.94737,,,-0.01,0.01084,-0.00451,-0.01886,-0.0105,-0.00146
9,9216,-6.1993,215.0,0.0,0.0,2.047453,-0.018623,0.295738,0.005421,1230,0.15344,1.0,0.96296,,,-0.01,0.01113,-0.004,-0.01609,-0.02126,-0.00204
10,10240,-4.6138,179.5,0.0,0.0,2.017336,-0.005844,0.242538,0.005571,1355,0.16096,1.0,0.92857,,,-0.01,0.01157,-0.00379,-0.0182,-0.01723,-0.00231
