iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.338041,-0.008745,0.305225,0.008521,0.917306,0.123535,-0.005414,-0.22342,0.185765,-0.944687,1.281186,4.0,0.0003,0,748,0.2666,0.35617,0.0,0.0,0.0,,,-0.01,0.00503,-0.0135,-0.02399,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.303155,-0.005047,0.093436,0.002061,0.760679,0.016706,0.648937,-0.794869,0.954447,-1.391827,2.061546,4.0,0.0002999,0,710,0.23996,0.32603,0.0,0.0,0.0,,,-0.01,0.0045,-0.01026,-0.02103,0.0,0.0
3,3072,-14.31463,375.0,0.0,0.0,2.250047,-0.003702,0.055718,0.003379,0.499168,0.032122,0.858112,-1.223231,2.0705,-1.756702,2.993774,4.0,0.0002998,8,714,0.24195,0.32549,1.0,0.0,0.99758,,,-0.01,0.00467,-0.00861,-0.01973,-0.00197,0.0
4,4096,nan,nan,0.0,0.0,2.312279,-0.004556,0.032232,0.004653,0.287815,0.050014,0.91028,-1.992754,2.911904,-2.554468,3.868622,4.0,0.00029969,0,761,0.2739,0.35785,1.0,0.0,0.0,,,-0.01,0.00733,-0.00989,-0.02139,-0.00128,0.0
5,5120,-10.0172,218.25,0.0,0.0,1.746157,-0.002733,0.079445,0.00227,0.288364,0.022391,0.898957,-2.717366,3.797268,-3.164802,4.116122,4.0,0.00029959,4,763,0.2687,0.36019,0.66667,1.0,0.9881,,,-0.01,0.00651,-0.00938,-0.0175,-0.01406,-0.01037
6,6144,-10.36879,348.5,0.0,0.0,1.738194,-0.004751,0.028872,0.003696,0.270188,0.05535,0.948539,-3.007894,3.705707,-3.387221,4.213081,4.0,0.00029949,4,768,0.28374,0.36668,0.6875,0.25,0.99259,,,-0.01,0.00562,-0.00614,-0.02031,-0.00577,-0.00255
7,7168,nan,nan,0.0,0.0,1.533461,-0.003254,0.025502,0.002568,0.261585,0.022077,0.954309,-3.149875,4.068255,-3.48547,4.637408,4.0,0.00029939,0,815,0.28464,0.36155,0.6875,0.0,0.0,,,-0.01,0.00774,-0.00685,-0.01845,-0.00685,0.0
8,8192,-9.95169,337.5,0.0,0.0,1.272849,-0.004731,0.045849,0.002816,0.277165,0.034947,0.932808,-3.499271,4.444987,-3.708858,4.743304,4.0,0.00029928,6,855,0.2919,0.371,0.59091,1.0,0.9902,,,-0.01,0.0087,-0.00713,-0.02064,-0.0084,-0.01346
9,9216,-7.8778,242.8,0.0,0.0,1.726326,-0.003451,0.041859,0.003201,0.266393,0.036063,0.943169,-3.856697,4.968945,-4.062801,5.342955,4.0,0.00029918,5,740,0.29928,0.37782,0.51852,0.8,1.0,,,-0.01,0.0085,-0.00417,-0.01893,-0.01104,-0.01002
10,10240,-8.24823,205.2,0.0,0.0,1.545553,-0.003301,0.055636,0.003206,0.267217,0.048758,0.917563,-3.974662,4.997159,-4.201901,5.150467,4.0,0.00029908,5,748,0.32921,0.40992,0.4375,1.0,0.97436,,,-0.01,0.00981,-0.00439,-0.02088,-0.01478,-0.01395
11,11264,-7.583,181.75,0.0,0.0,1.823296,-0.003722,0.038394,0.003939,0.270929,0.050991,0.945264,-4.366712,5.149599,-4.534745,5.562536,4.0,0.00029898,4,748,0.30448,0.37906,0.38889,1.0,0.94444,,,-0.01,0.01048,-0.00469,-0.01989,-0.01268,-0.00958
12,12288,11.19003,176.375,0.25,0.04545,1.633317,-0.002267,1.377224,0.003607,1.441279,0.046596,0.279902,-4.304812,5.2825,-2.640571,10.407879,4.0,0.00029887,8,806,0.28291,0.35694,0.31818,0.75,1.0,,,-0.01,0.00943,-0.00232,-0.02477,-0.01301,0.16726
