iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.269126,-0.008631,0.297549,0.007615,1.016268,0.115025,0.042102,0.162655,0.185143,-0.455857,1.075234,4.0,0.0003,0,657,0.26395,0.33998,0.0,0.0,0.0,,,-0.01,0.00398,-0.01095,-0.02056,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.210381,-0.003384,0.098156,0.001936,0.721908,0.011579,0.642151,-0.478087,0.776621,-0.976902,1.709309,4.0,0.00029985,0,688,0.21791,0.27818,0.0,0.0,0.0,,,-0.01,0.00422,-0.00717,-0.01726,-1e-05,0.0
3,3072,-12.49668,375.0,0.0,0.0,2.088996,-0.004086,0.054225,0.003841,0.523249,0.049107,0.850893,-0.849425,1.730181,-1.304378,2.551735,4.0,0.00029969,8,632,0.19524,0.26971,1.0,0.0,1.0,,,-0.01,0.00375,-0.0059,-0.01829,-0.00294,0.0
4,4096,nan,nan,0.0,0.0,2.192493,-0.00348,0.030784,0.004765,0.298072,0.047782,0.90702,-1.473134,2.528146,-1.939097,3.409292,4.0,0.00029954,0,677,0.23119,0.29566,1.0,0.0,0.0,,,-0.01,0.0073,-0.00561,-0.0203,-0.00073,0.0
5,5120,13.97568,231.0,0.33333,0.09091,1.436132,-0.002957,1.434947,0.004403,0.980372,0.071498,0.210997,-1.808522,3.307119,-1.034725,7.716202,4.0,0.00029939,3,703,0.24003,0.31538,0.72727,0.66667,1.0,,,-0.01,0.00611,-0.00827,-0.01413,-0.01675,0.09298
6,6144,-9.5168,361.0,0.0,0.0625,1.197895,-0.003888,0.053792,0.004167,0.590818,0.064941,0.900054,-2.003588,3.723793,-2.292526,3.835799,4.0,0.00029923,5,730,0.24391,0.31019,0.6875,0.6,1.0,,,-0.01,0.00951,-0.00791,-0.01922,-0.01056,-0.00682
7,7168,16.50956,179.66667,0.33333,0.13636,1.58858,-0.000839,1.556058,0.001005,1.311727,0.006138,0.070731,-2.371464,3.6913,-0.234732,10.026824,4.0,0.00029908,6,649,0.21777,0.2754,0.5,0.83333,0.97368,,,-0.01,0.00912,-0.00385,-0.01824,-0.01297,0.16662
8,8192,-6.68808,144.85714,0.0,0.10345,1.579567,-0.00391,0.071821,0.004834,0.467743,0.074323,0.803763,-0.228143,4.563457,-0.708228,4.404064,4.0,0.00029892,7,685,0.22011,0.28771,0.37931,1.0,1.0,,,-0.01,0.00975,-0.00545,-0.01477,-0.01923,-0.01825
9,9216,12.06196,146.75,0.25,0.12121,1.429934,0.000132,0.724166,0.002506,0.482565,0.038504,0.207847,-0.132922,3.80081,0.905047,7.862505,4.0,0.00029877,4,712,0.21077,0.26997,0.33333,1.0,1.0,,,-0.01,0.01138,-0.00529,-0.01594,-0.02083,0.09125
10,10240,-6.5377,157.5,0.0,0.10256,1.341361,-0.002656,0.055881,0.003879,0.359225,0.056536,0.814871,0.754978,4.188354,0.362823,4.218757,4.0,0.00029862,6,698,0.2218,0.27703,0.28205,1.0,1.0,,,-0.01,0.00855,-0.00608,-0.01819,-0.01472,-0.01785
11,11264,-6.47946,205.0,0.0,0.09091,1.265522,-0.001527,0.038923,0.002475,0.320802,0.012172,0.860187,0.686281,4.353069,0.326121,4.36135,4.0,0.00029846,5,698,0.21554,0.26942,0.27273,1.0,1.0,,,-0.01,0.00916,-0.00399,-0.017,-0.01272,-0.01257
12,12288,-6.82645,222.5,0.0,0.08,1.28732,-0.002378,0.032696,0.002791,0.317037,0.034877,0.865915,0.687063,4.038824,0.318542,3.947826,4.0,0.00029831,6,745,0.20456,0.26234,0.26,0.83333,1.0,,,-0.01,0.00991,-0.00277,-0.01503,-0.01717,-0.0155
13,13312,12.18289,161.875,0.25,0.10345,1.531441,-0.001084,1.203117,0.001315,0.747795,0.015067,0.164323,0.005368,3.642098,1.829112,10.264691,4.0,0.00029816,8,716,0.18523,0.24958,0.22414,0.75,1.0,,,-0.01,0.01174,-0.00098,-0.01518,-0.01966,0.16536
14,14336,12.80795,133.875,0.25,0.12121,1.383925,-0.003771,1.006234,0.002724,0.658907,0.03976,0.214102,1.592241,4.587852,3.683238,10.564104,4.0,0.000298,8,637,0.19492,0.25061,0.19697,0.75,1.0,,,-0.01,0.01038,-0.00199,-0.01478,-0.02075,0.18615
15,15360,-5.90461,157.66667,0.0,0.11111,1.219772,-0.002562,0.101467,0.002814,0.617148,0.020822,0.674543,3.843111,5.830585,3.231745,5.305815,4.0,0.00029785,6,726,0.18851,0.24732,0.18056,1.0,1.0,,,-0.01,0.00836,-0.00218,-0.0164,-0.02012,-0.01915
16,16384,3.28017,135.0,0.125,0.1125,1.653434,-0.002724,0.516755,0.003327,0.394569,0.033168,0.216583,4.297979,4.66565,4.612499,7.988283,4.0,0.0002977,8,695,0.18762,0.25338,0.1625,0.875,1.0,,,-0.01,0.00975,-0.00206,-0.01432,-0.01906,0.06991
17,17408,3.77144,112.25,0.125,0.11364,1.519478,-0.001849,0.453256,0.003104,0.373556,0.036168,0.269396,4.495201,4.088367,4.488247,7.636236,4.0,0.00029754,8,636,0.19431,0.26189,0.14773,0.875,1.0,,,-0.01,0.00971,-0.00093,-0.01507,-0.02017,0.07282
18,18432,12.09059,158.375,0.25,0.125,1.260294,-0.0009,0.779922,0.003345,0.482525,0.030622,0.145835,4.297469,4.112785,5.782005,9.825261,4.0,0.00029739,8,718,0.19295,0.24978,0.13542,1.0,1.0,,,-0.01,0.01297,-0.00161,-0.01713,-0.02075,0.19174
19,19456,22.23213,108.625,0.375,0.15,1.572516,-0.001159,0.868306,0.002341,0.589115,0.016044,0.20848,4.682285,4.311167,6.636149,11.273118,4.0,0.00029724,8,693,0.20671,0.27401,0.09,0.75,1.0,,,-0.01,0.01077,-0.00184,-0.01643,-0.0231,0.25581
20,20480,15.53635,115.42857,0.28571,0.16,1.478781,-0.00219,0.629814,0.002786,0.33393,0.02567,0.259276,7.160032,6.383563,8.299767,10.524111,4.0,0.00029708,7,688,0.21847,0.28392,0.05,0.85714,1.0,,,-0.01,0.01048,-0.00279,-0.01564,-0.01638,0.1687
21,21504,6.61964,154.66667,0.16667,0.16,1.195653,-0.002537,0.364383,0.002378,0.329065,0.031948,0.217157,8.371446,5.301813,9.101681,7.968344,4.0,0.00029693,6,692,0.20211,0.26731,0.03,0.66667,1.0,,,-0.01,0.01378,-0.00153,-0.01632,-0.023,0.10044
22,22528,-5.65243,131.09091,0.0,0.15,1.242999,-0.001459,0.125752,0.001587,0.96095,0.013532,0.034021,9.400569,4.142781,6.918199,4.284579,4.0,0.00029677,11,715,0.16562,0.23792,0.03,1.0,1.0,,,-0.01,0.01367,-0.00059,-0.01597,-0.03276,-0.03208
23,23552,15.35592,92.72727,0.27273,0.17,1.386827,-0.001518,0.899354,0.003201,0.518943,0.019845,0.036888,6.253423,3.537663,8.146272,11.472878,4.0,0.00029662,11,686,0.17013,0.23687,0.03,0.90909,1.0,,,-0.01,0.01607,-0.00021,-0.01559,-0.02865,0.25258
24,24576,15.3392,88.36364,0.27273,0.2,1.258397,-0.001946,0.866718,0.004826,0.549937,0.073696,-0.001143,8.05401,3.438419,9.757811,11.390506,4.0,0.00029647,11,667,0.16291,0.23894,0.01,0.90909,1.0,,,-0.01,0.018,-0.00184,-0.01438,-0.03549,0.28
25,25600,3.30153,103.11111,0.11111,0.19,1.149901,-0.000908,0.338335,0.002678,0.439021,0.0143,0.065976,9.460199,3.772131,9.301608,7.518022,4.0,0.00029631,9,711,0.15347,0.21502,0.01,1.0,1.0,,,-0.01,0.01452,0.00025,-0.01894,-0.02257,0.08371
26,26624,15.0165,111.90909,0.27273,0.2,1.224432,-0.001827,0.732129,0.003593,0.377542,0.030552,0.068924,10.809012,3.448616,12.182297,11.222322,4.0,0.00029616,11,690,0.15769,0.2265,0.01,1.0,1.0,,,-0.01,0.01458,-0.00076,-0.01501,-0.03334,0.27306
27,27648,-4.94637,82.85714,0.0,0.18,1.28108,-0.001066,0.200719,0.001694,1.293786,0.009208,-1.049158,11.976378,3.79521,8.308556,3.938919,4.0,0.00029601,14,647,0.14323,0.21697,0.01,1.0,1.0,,,-0.01,0.01419,-0.00038,-0.01523,-0.03651,-0.03622
28,28672,-4.64882,74.375,0.0,0.18,1.178333,-0.001578,0.069178,0.001895,0.561226,0.015765,0.174326,9.950396,2.589005,8.366391,3.667557,4.0,0.00029585,8,668,0.16716,0.23708,0.01,1.0,1.0,,,-0.01,0.01279,-0.00064,-0.01652,-0.03,-0.02083
29,29696,-5.07555,110.90909,0.0,0.13,0.910278,-0.001013,0.06481,0.001748,0.77233,0.012033,-0.031419,8.299872,2.084755,6.019685,3.02953,4.0,0.0002957,11,668,0.14497,0.21524,0.01,1.0,1.0,,,-0.01,0.01416,-0.00016,-0.01619,-0.03183,-0.03797
30,30720,-5.13663,104.88889,0.0,0.11,1.062663,-0.002357,0.035805,0.002368,0.678824,0.038714,0.271325,6.32978,1.626251,4.437821,2.465262,4.0,0.00029555,9,698,0.14395,0.2105,0.0,1.0,1.0,,,-0.01,0.01262,0.00064,-0.01385,-0.03716,-0.02679
31,31744,-4.85778,88.88889,0.0,0.1,1.062876,-0.001373,0.026083,0.002518,0.596179,0.025984,0.397896,4.832572,1.405472,3.344965,2.247721,4.0,0.00029539,9,689,0.16991,0.22684,0.0,1.0,1.0,,,-0.01,0.01119,-0.00071,-0.0158,-0.02487,-0.02759
32,32768,-5.24721,90.33333,0.0,0.1,1.067002,-0.003464,0.015217,0.003997,0.513299,0.04412,0.514376,3.275767,1.409714,2.18232,1.87993,4.0,0.00029524,6,740,0.17186,0.22975,0.0,1.0,1.0,,,-0.01,0.01021,-0.00032,-0.01684,-0.02202,-0.01885
33,33792,-5.05137,196.0,0.0,0.07,1.220499,-0.003785,0.009872,0.003746,0.414643,0.042969,0.655263,1.842284,1.538295,1.068746,1.83738,4.0,0.00029508,8,716,0.19436,0.24304,0.03,0.875,1.0,,,-0.01,0.00893,-0.00072,-0.01626,-0.0178,-0.01391
34,34816,-4.97944,118.57143,0.0,0.07,1.266701,-0.004207,0.008288,0.004179,0.336739,0.053397,0.642222,0.738827,1.378614,0.059112,1.670536,4.0,0.00029493,7,649,0.18356,0.23026,0.03,1.0,1.0,,,-0.01,0.01011,-0.00054,-0.01516,-0.017,-0.0186
35,35840,-5.93277,194.16667,0.0,0.05,1.092691,-0.005001,0.007082,0.004837,0.320002,0.074079,0.639316,-0.069996,1.368427,-0.526899,1.595437,4.0,0.00029478,6,733,0.18836,0.23617,0.05,0.83333,1.0,,,-0.01,0.00876,-0.00029,-0.01625,-0.01439,-0.01239
36,36864,9.36208,180.8,0.2,0.05,1.197516,-0.001419,0.357067,0.005579,0.304606,0.089007,0.029345,-0.819824,1.333029,-0.2046,6.806025,4.0,0.00029462,5,742,0.18151,0.22837,0.06,0.8,1.0,,,-0.01,0.00995,-0.00072,-0.0154,-0.01438,0.09155
37,37888,27.16454,171.11111,0.44444,0.07,1.32349,-0.003186,1.236554,0.002281,1.549352,0.024623,0.040459,-0.150705,1.260516,3.980475,12.820922,4.0,0.00029447,9,682,0.18184,0.23486,0.07,0.44444,1.0,,,-0.01,0.01295,0.0001,-0.01518,-0.01186,0.37706
38,38912,20.22621,107.0,0.33333,0.08,1.434365,-0.003803,0.675842,0.003945,1.325402,0.046701,0.053044,3.376588,1.540988,5.461434,9.609888,4.0,0.00029432,6,667,0.16986,0.2113,0.07,0.66667,0.0,,,-0.01,0.01365,0.00028,-0.01573,-0.01628,0.17598
39,39936,44.59616,127.66667,0.66667,0.11,1.034565,-0.002168,0.919999,0.002951,1.712182,0.022112,0.076506,6.404366,2.269599,10.066483,11.556742,4.0,0.00029416,6,736,0.17354,0.22112,0.07,0.5,1.0,,,-0.01,0.01266,-0.00104,-0.01181,-0.01356,0.49723
40,40960,25.54293,217.0,0.42857,0.14,0.97354,-0.001695,0.546997,0.001645,0.852433,0.006731,0.20124,10.350379,3.371865,12.166192,9.923381,4.0,0.00029401,7,727,0.17433,0.22266,0.09,0.42857,1.0,,,-0.01,0.00973,-0.00143,-0.01309,-0.01351,0.36744
41,41984,9.83734,118.8,0.2,0.15,1.190115,-0.003239,0.279473,0.003471,0.310731,0.041051,0.347523,10.754442,4.582167,11.341173,7.999533,4.0,0.00029386,5,668,0.17445,0.22698,0.09,0.8,1.0,,,-0.01,0.01253,-0.00066,-0.01375,-0.01756,0.09588
42,43008,32.11355,156.75,0.5,0.19,1.166065,-0.00229,0.590361,0.003751,0.742293,0.031459,0.295061,11.924186,5.103431,14.243659,11.529779,4.0,0.0002937,8,698,0.16397,0.22489,0.1,0.5,1.0,,,-0.01,0.01372,-0.00056,-0.01529,-0.01279,0.4187
43,44032,32.01509,163.0,0.5,0.22,1.164745,-0.001563,0.439497,0.001193,0.62197,0.009103,0.421929,15.118814,5.882174,17.345058,11.511127,4.0,0.00029355,6,718,0.17836,0.23417,0.11,0.5,1.0,,,-0.01,0.01432,-0.00068,-0.01591,-0.01515,0.30862
44,45056,47.68644,126.57143,0.71429,0.27,1.06425,-0.002839,0.539785,0.002588,1.058237,0.028111,0.452445,17.414776,7.897462,21.85944,13.806355,4.0,0.0002934,7,682,0.18212,0.23774,0.11,0.28571,0.9,,,-0.01,0.01682,-0.00113,-0.01354,-0.01304,0.57465
45,46080,54.05046,155.9,0.8,0.35,1.255935,-0.002967,0.518227,0.004056,1.714332,0.043248,0.532021,21.813221,9.712967,28.186602,15.147196,4.0,0.00029324,10,695,0.15796,0.20827,0.12,0.1,1.0,,,-0.01,0.01526,-0.00022,-0.01698,-0.00872,0.7653
46,47104,36.58918,101.55556,0.55556,0.4,1.382128,-0.003831,0.394567,0.004234,0.86764,0.04112,0.543261,28.341269,10.080822,30.768705,14.808888,4.0,0.00029309,9,684,0.16807,0.225,0.12,0.44444,1.0,,,-0.01,0.01467,4e-05,-0.01677,-0.01491,0.44488
47,48128,59.29583,95.85714,0.85714,0.46,1.166827,-0.002909,0.354867,0.002673,0.723405,0.024588,0.380249,31.996199,11.588264,36.243366,13.020267,4.0,0.00029293,7,704,0.15615,0.21158,0.1,0.42857,0.75,,,-0.01,0.01573,-2e-05,-0.01446,-0.01619,0.61963
48,49152,51.90926,118.76923,0.76923,0.56,1.328209,-0.004052,0.298701,0.004548,0.514507,0.066441,0.542337,34.796436,9.686234,38.991695,15.26265,4.0,0.00029278,13,649,0.16266,0.2167,0.08,0.23077,0.8,,,-0.01,0.01406,-0.00016,-0.01704,-0.0117,0.88477
49,50176,45.82072,89.66667,0.66667,0.59,1.172664,-0.001869,0.161592,0.001605,0.383123,0.015555,0.533921,43.111874,10.772063,45.659641,12.067364,4.0,0.00029263,6,709,0.15679,0.20685,0.06,0.33333,0.8,,,-0.01,0.01356,-0.00087,-0.01373,-0.00822,0.39913
50,51200,63.18847,80.55556,0.88889,0.63,1.201811,-0.002338,0.080329,0.002183,0.321673,0.0271,0.555048,48.156994,9.498837,51.850166,10.117802,4.0,0.00029247,9,705,0.17888,0.23216,0.05,0.11111,1.0,,,-0.01,0.01582,-0.002,-0.01779,0.00114,0.78621
