iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.26475,-0.008735,0.323755,0.008671,0.938905,0.109724,-0.005953,-0.231376,0.178726,-0.851878,1.067927,4.0,0.0003,0,878,0.26814,0.3457,0.0,nan,0,0.0,0.0,,,-0.01,0.00374,-0.01082,-0.01984,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.236435,-0.004095,0.120931,0.004005,0.772332,0.048689,0.626968,-0.725567,0.742163,-1.265218,1.613423,4.0,0.00029988,0,888,0.22991,0.30287,0.0,nan,0,0.0,0.0,,,-0.01,0.00386,-0.00932,-0.01745,0.0,0.0
3,3072,-12.72798,375.0,0.0,0.0,1.975704,-0.005719,0.072634,0.005884,0.644703,0.087577,0.858633,-1.101632,1.563711,-1.584568,2.129344,4.0,0.00029975,8,887,0.21513,0.28704,1.0,nan,0,0.0,1.0,,,-0.01,0.00469,-0.00898,-0.01492,-0.00631,0.0
4,4096,nan,nan,0.0,0.0,2.11798,-0.002371,0.055761,0.00259,0.536151,0.025635,0.890412,-1.691814,2.007856,-2.186353,2.653417,4.0,0.00029963,0,876,0.20519,0.27316,1.0,nan,0,0.0,0.0,,,-0.01,0.00755,-0.0083,-0.01694,-0.00375,0.0
5,5120,-9.50633,250.0,0.0,0.0,1.110678,-0.003272,0.053013,0.002917,0.324272,0.041713,0.920981,-2.36927,2.594026,-2.786865,2.907671,4.0,0.00029951,1,1022,0.23155,0.3103,0.88889,nan,0,1.0,1.0,,,-0.01,0.00621,-0.01011,-0.0161,-0.0164,-0.00365
6,6144,-10.10336,337.0,0.0,0.0,1.228554,-0.002827,0.057757,0.001987,0.353845,0.011858,0.901862,-3.11689,2.638438,-3.316391,2.929174,4.0,0.00029939,7,999,0.22048,0.29152,0.625,nan,0,0.85714,1.0,,,-0.01,0.00629,-0.00699,-0.01916,-0.01194,-0.01663
7,7168,-7.00123,156.33333,0.0,0.0,1.429671,-0.003003,0.050636,0.003972,0.376232,0.049979,0.920963,-3.339869,2.899224,-3.572705,3.19844,4.0,0.00029926,3,962,0.20016,0.26105,0.52632,nan,0,1.0,1.0,,,-0.01,0.00656,-0.00517,-0.0161,-0.01357,-0.00855
8,8192,-6.92981,227.6,0.0,0.0,1.276186,-0.004037,0.041995,0.00417,0.308543,0.063163,0.928868,-3.498255,2.945261,-3.694178,3.224703,4.0,0.00029914,5,992,0.21255,0.27443,0.45833,nan,0,0.8,1.0,,,-0.01,0.00742,-0.00568,-0.01538,-0.01241,-0.01246
9,9216,-8.03777,245.33333,0.0,0.0,1.372731,-0.003529,0.040723,0.00429,0.291894,0.04984,0.936407,-3.973412,3.224248,-4.199399,3.576106,4.0,0.00029902,3,974,0.21115,0.262,0.44444,nan,0,0.66667,1.0,,,-0.01,0.00753,-0.0039,-0.02076,-0.01239,-0.00572
10,10240,-7.41637,297.0,0.0,0.0,0.963346,-0.002784,0.019943,0.001864,0.303884,0.022496,0.963118,-3.856892,3.166744,-3.993992,3.43316,4.0,0.00029889,3,1082,0.24206,0.29734,0.46667,nan,0,1.0,1.0,,,-0.01,0.00588,-0.00615,-0.01765,-0.00658,-0.00397
11,11264,-6.71709,308.0,0.0,0.0,1.341317,-0.002854,0.038382,0.004164,0.29531,0.050781,0.940816,-4.280736,3.541099,-4.418799,3.757395,4.0,0.00029877,4,989,0.23782,0.29575,0.5,nan,0,0.25,0.97959,,,-0.01,0.00907,-0.00306,-0.01964,-0.01222,-0.00293
12,12288,2.12619,178.66667,0.11111,0.02326,1.240897,-0.001039,1.879965,0.002252,0.977372,0.022042,0.151514,-4.620421,3.504235,-3.478979,8.027633,4.0,0.00029865,9,983,0.22448,0.28243,0.44186,0.0,1,0.88889,0.96875,,,-0.01,0.01032,-0.00218,-0.01934,-0.01776,0.09306
13,13312,-5.24417,140.66667,0.0,0.02041,1.32252,-0.004333,0.048318,0.004631,0.288524,0.06107,0.885079,-3.28236,3.535872,-3.343878,3.40199,4.0,0.00029853,6,953,0.19806,0.25496,0.38776,0.0,1,1.0,1.0,,,-0.01,0.01228,-0.00161,-0.01651,-0.01991,-0.01701
14,14336,36.29314,144.28571,0.57143,0.08929,1.376874,-0.001994,3.007829,0.003295,2.076402,0.038783,0.067399,-3.185581,3.16269,0.630172,13.209323,4.0,0.0002984,7,946,0.19891,0.25647,0.33929,0.0,4,0.71429,1.0,,,-0.01,0.01228,-0.00156,-0.01735,-0.01332,0.3744
15,15360,11.1274,114.33333,0.22222,0.10769,1.09606,-0.002478,1.042273,0.003455,1.033922,0.046596,0.229578,1.059809,4.551204,2.374896,9.680734,4.0,0.00029828,9,988,0.23379,0.29505,0.29231,0.0,6,0.77778,1.0,,,-0.01,0.01384,-0.00224,-0.01678,-0.02784,0.2134
16,16384,9.56473,142.8,0.2,0.12,1.255199,-0.001254,0.953724,0.001021,0.616443,0.01008,0.282022,0.457179,4.502884,2.165669,10.359963,4.0,0.00029816,10,944,0.21295,0.27605,0.28,0.0,8,0.8,1.0,,,-0.01,0.01759,-0.00169,-0.01643,-0.02565,0.18901
17,17408,-4.9253,92.09091,0.0,0.10465,1.433242,-0.002777,0.150379,0.003105,0.418139,0.042027,0.104898,0.781816,5.550313,0.691534,4.281699,4.0,0.00029803,11,912,0.21272,0.27686,0.24419,0.0,8,1.0,1.0,,,-0.01,0.0162,-0.00046,-0.01699,-0.03084,-0.0279
18,18432,28.03224,96.0,0.44444,0.13684,1.254205,-0.001681,1.520764,0.004388,1.591658,0.057373,0.145736,2.134196,3.334373,7.048547,13.490611,4.0,0.00029791,9,962,0.24088,0.30609,0.22105,0.0,12,0.77778,1.0,,,-0.01,0.01688,-0.00185,-0.01489,-0.02502,0.41261
19,19456,32.08544,99.25,0.5,0.17,1.323364,-0.000945,1.055051,0.001107,1.322172,0.00293,0.174891,6.367097,4.330219,9.681659,12.876852,4.0,0.00029779,8,952,0.26082,0.32033,0.18,0.0,16,0.75,1.0,,,-0.01,0.01703,-0.0023,-0.01608,-0.02334,0.39307
20,20480,23.57099,119.61538,0.38462,0.22,1.470553,-0.001037,0.781616,0.001666,0.84111,0.012451,0.338638,10.224488,5.949932,14.321749,14.477962,4.0,0.00029767,13,911,0.2527,0.31816,0.12,0.0,21,0.69231,1.0,,,-0.01,0.01879,-0.00172,-0.0142,-0.02424,0.4435
21,21504,52.82284,102.0,0.77778,0.29,1.474401,-0.001718,0.682964,0.0044,1.468864,0.035086,0.368337,13.422988,9.038231,20.286863,15.56968,4.0,0.00029754,9,912,0.25761,0.31952,0.11,0.0,25,0.77778,1.0,,,-0.01,0.01983,-0.00142,-0.01781,-0.02162,0.61664
