iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.272934,-0.006705,0.345883,0.006444,1.348481,0.074847,0.03753,0.642156,0.162181,0.039783,1.026876,4.0,0.0003,0,873,0.27274,0.35114,0.0,nan,0,0.0,0.0,,,-0.01,0.00432,-0.01007,-0.02043,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.231147,-0.004132,0.12828,0.003156,0.825025,0.034633,0.58978,0.143898,0.664536,-0.389018,1.586167,4.0,0.00029988,0,884,0.22684,0.29372,0.0,nan,0,0.0,0.0,,,-0.01,0.00544,-0.00929,-0.01724,-0.00068,0.0
3,3072,-11.95429,375.0,0.0,0.0,1.794359,-0.003493,0.076079,0.003138,0.624589,0.030169,0.861836,-0.159911,1.532101,-0.573453,2.020298,4.0,0.00029975,8,906,0.21701,0.29445,1.0,nan,0,0.125,1.0,,,-0.01,0.00502,-0.00739,-0.0134,-0.0081,0.0
4,4096,nan,nan,0.0,0.0,2.192469,-0.004223,0.05618,0.003968,0.555141,0.04841,0.872201,-0.427263,1.933792,-0.891068,2.739167,4.0,0.00029963,0,878,0.2421,0.31067,1.0,nan,0,0.0,0.0,,,-0.01,0.00645,-0.00599,-0.01786,-0.00206,0.0
5,5120,-8.45104,205.5,0.0,0.0,1.440427,-0.002911,0.074027,0.00328,0.474214,0.039028,0.908974,-1.07713,2.67597,-1.530208,2.853527,4.0,0.00029951,2,980,0.21538,0.28505,0.8,nan,0,1.0,1.0,,,-0.01,0.00613,-0.00699,-0.00966,-0.01512,-0.00595
6,6144,-8.67917,315.14286,0.0,0.0,1.474972,-0.004823,0.054187,0.004739,0.273868,0.064732,0.915695,-1.647283,2.645629,-1.916543,3.010845,4.0,0.00029939,7,965,0.21797,0.28343,0.64706,nan,0,0.71429,1.0,,,-0.01,0.00681,-0.00499,-0.01786,-0.0074,-0.01121
7,7168,60.77678,237.5,1.0,0.10526,1.77179,-0.001924,2.199901,0.004034,1.7415,0.05978,0.137139,-1.65744,3.083099,0.575263,9.896194,4.0,0.00029926,2,922,0.21042,0.25962,0.57895,0.0,2,0.0,1.0,,,-0.01,0.00885,-0.0039,-0.01692,-0.00892,0.15726
8,8192,39.51034,207.33333,0.66667,0.18182,1.235612,-0.000807,1.043706,0.001429,0.771575,0.007394,0.243841,0.748243,3.854369,1.795389,8.829073,4.0,0.00029914,3,1006,0.21102,0.26323,0.5,0.5,4,0.33333,0.91667,,,-0.01,0.00747,-0.00584,-0.01754,-0.01208,0.22369
9,9216,-7.22351,334.6,0.0,0.14815,0.789819,-0.001495,0.044667,0.001301,0.366215,0.012695,0.876297,2.848558,4.508561,2.582951,4.396184,4.0,0.00029902,5,1105,0.20287,0.25589,0.51852,0.5,4,0.6,1.0,,,-0.01,0.00789,-0.00913,-0.01603,-0.0136,-0.01031
10,10240,9.57795,246.5,0.25,0.16129,1.559572,-0.000798,0.650677,0.00167,0.562005,0.016671,0.29156,0.614104,4.281876,1.538153,7.778031,4.0,0.00029889,4,956,0.2486,0.30219,0.45161,0.4,5,1.0,1.0,,,-0.01,0.01034,-0.00473,-0.01542,-0.01026,0.08142
11,11264,39.90948,197.83333,0.66667,0.24324,1.25111,-0.001508,1.239821,0.00328,1.35936,0.038156,0.281603,2.583121,4.733636,7.010365,13.325994,4.0,0.00029877,6,1010,0.22396,0.27568,0.37838,0.22222,9,0.5,1.0,,,-0.01,0.00961,-0.0042,-0.01582,-0.01122,0.43248
12,12288,45.06675,196.0,0.66667,0.275,1.380391,-0.002443,0.626315,0.002805,0.924105,0.020926,0.337612,7.597278,7.559228,10.904086,10.885334,4.0,0.00029865,3,991,0.22677,0.28051,0.375,0.18182,11,0.0,1.0,,,-0.01,0.01082,-0.00342,-0.01247,-0.008,0.21013
13,13312,22.90752,197.6,0.4,0.28889,1.39889,-0.003075,0.416625,0.003984,0.363901,0.048584,0.454643,11.518426,7.913538,13.334619,11.081902,4.0,0.00029853,5,939,0.22852,0.27282,0.35556,0.15385,13,0.4,1.0,,,-0.01,0.00941,-0.00322,-0.01887,-0.01072,0.19415
14,14336,49.16001,229.5,0.83333,0.35294,1.206808,-0.002971,0.383368,0.003389,0.457084,0.051514,0.515613,13.923264,8.242335,18.174719,13.714835,4.0,0.0002984,6,994,0.24019,0.27121,0.31373,0.11111,18,0.16667,1.0,,,-0.01,0.01183,-0.00208,-0.02141,-0.01065,0.53368
15,15360,40.16481,190.66667,0.66667,0.38596,1.496573,-0.002001,0.234282,0.00323,0.520285,0.039097,0.696671,14.813548,10.33955,18.490499,14.695806,4.0,0.00029828,6,937,0.24047,0.28244,0.2807,0.13636,22,0.33333,0.95,,,-0.01,0.01376,-0.00155,-0.01895,-0.00827,0.35205
16,16384,48.69722,143.875,0.75,0.43077,1.448386,-0.002046,0.262119,0.00286,0.826912,0.023507,0.632254,19.233753,10.468189,24.098099,15.266997,4.0,0.00029816,8,924,0.23511,0.28225,0.24615,0.10714,28,0.375,1.0,,,-0.01,0.01291,-0.00273,-0.01888,-0.01013,0.56033
17,17408,44.31202,123.16667,0.66667,0.4507,1.298219,-0.003245,0.21876,0.00368,0.338437,0.058036,0.618259,27.758793,14.135221,32.375057,15.3181,4.0,0.00029803,6,960,0.23238,0.29884,0.22535,0.125,32,0.33333,0.94118,,,-0.01,0.01424,-0.00213,-0.0191,-0.01105,0.41621
18,18432,62.35209,121.75,0.91667,0.51807,1.566385,-0.003066,0.168815,0.004412,0.566254,0.041225,0.638627,30.122087,11.411647,36.839973,15.315153,4.0,0.00029791,12,889,0.21708,0.27617,0.19277,0.16279,43,0.08333,0.89655,,,-0.01,0.01472,-0.00045,-0.01799,-0.006,0.92492
19,19456,70.03824,99.22222,1.0,0.56522,1.486159,-0.004229,0.056382,0.005409,0.496494,0.083217,0.790781,38.211529,11.76441,44.304356,13.15307,4.0,0.00029779,9,899,0.21289,0.2679,0.17391,0.15385,52,0.0,0.94737,,,-0.01,0.01558,-0.00208,-0.01938,-0.00424,0.78678
20,20480,61.488,115.0,0.88889,0.6,1.422405,-0.004593,0.08616,0.006702,0.338678,0.089565,0.505199,46.641331,11.770124,50.822746,12.187824,4.0,0.00029767,9,905,0.20735,0.25493,0.15,0.15,60,0.11111,0.91304,,,-0.01,0.01423,-0.00145,-0.02134,-0.00471,0.71059
21,21504,69.87906,96.85714,1.0,0.67,1.412221,-0.002953,0.037615,0.002974,0.450379,0.03268,0.608251,51.583843,9.655682,53.89386,8.85531,4.0,0.00029754,7,934,0.20749,0.26595,0.08,0.13433,67,0.0,1.0,,,-0.01,0.011,-0.00371,-0.01839,-0.0051,0.64712
22,22528,46.14874,162.42857,0.71429,0.72,1.205602,-0.002654,0.072891,0.003538,0.542007,0.02996,0.307119,54.363949,8.311711,53.933197,10.093369,4.0,0.00029742,7,964,0.21469,0.27086,0.07,0.15278,72,0.28571,0.93182,,,-0.01,0.0103,-0.00345,-0.02274,-0.00904,0.49573
23,23552,35.43206,145.44444,0.55556,0.73,1.318331,-0.001137,0.091193,0.00182,0.61384,0.015381,0.269399,55.06406,6.858195,53.656536,11.602512,4.0,0.0002973,9,941,0.19307,0.25213,0.04,0.14286,77,0.44444,1.0,,,-0.01,0.0108,-0.00265,-0.02008,-0.00772,0.4628
24,24576,62.14664,114.45455,0.90909,0.79,1.388225,-0.001348,0.043052,0.00178,0.196119,0.008371,0.400863,53.655186,6.577908,55.520107,9.367857,4.0,0.00029717,11,916,0.19396,0.24874,0.03,0.14943,87,0.09091,0.93939,,,-0.01,0.01149,-0.00171,-0.02045,-0.0034,0.86623
25,25600,69.13217,114.0,1.0,0.82,1.530229,-0.00287,0.015601,0.003447,0.239036,0.043562,0.604206,56.408062,7.11629,58.405434,7.032403,4.0,0.00029705,8,908,0.19593,0.24843,0.02,0.15789,95,0.0,0.89474,,,-0.01,0.01281,-0.00103,-0.01702,0.00031,0.64151
26,26624,62.69414,96.8,0.9,0.85,1.562839,-0.002088,0.032845,0.003478,0.22886,0.050398,0.522482,58.498241,6.988773,59.320621,9.635755,4.0,0.00029693,10,877,0.19384,0.24823,0.01,0.13,100,0.1,1.0,,,-0.01,0.01178,-0.00191,-0.0206,-0.0005,0.70711
27,27648,69.99123,97.2,1.0,0.88,1.489023,-0.004013,0.01199,0.004379,0.274785,0.049805,0.528968,60.830284,6.262967,62.081726,5.828524,4.0,0.00029681,10,896,0.19442,0.2478,0.01,0.13,100,0.0,1.0,,,-0.01,0.01087,-0.0014,-0.01932,-0.00259,0.80324
28,28672,70.14365,92.15385,1.0,0.9,1.542803,-0.002448,0.006173,0.002625,0.226164,0.035331,0.720294,62.563801,6.344239,64.162628,5.93787,4.0,0.00029668,13,889,0.19464,0.25,0.01,0.13,100,0.0,0.95,,,-0.01,0.01293,-0.00122,-0.0223,0.00273,1.01889
29,29696,70.29349,90.54545,1.0,0.91,1.487374,-0.001874,0.005683,0.003206,0.319197,0.046526,0.637976,63.893284,5.352245,65.164986,4.866707,4.0,0.00029656,11,891,0.18417,0.2346,0.01,0.1,100,0.0,1.0,,,-0.01,0.0126,-0.00085,-0.0194,-0.00109,0.88303
30,30720,71.15736,73.71429,1.0,0.92,1.58508,-0.002253,0.004143,0.003171,0.25328,0.037633,0.766258,64.846581,5.746757,66.093918,5.327355,4.0,0.00029644,14,860,0.19445,0.252,0.01,0.08,100,0.0,0.93333,,,-0.01,0.0109,-0.00117,-0.02281,0.00163,1.0543
31,31744,70.70482,80.72727,1.0,0.94,1.640538,-0.003914,0.004703,0.006635,0.324678,0.081892,0.726234,65.756905,5.457568,66.360657,5.221105,4.0,0.00029631,11,863,0.22707,0.28443,0.01,0.08,100,0.0,0.96,,,-0.01,0.01269,-0.00252,-0.0185,0.0007,0.83116
32,32768,71.01324,79.81818,1.0,0.98,1.602687,-0.002962,0.003631,0.003684,0.308412,0.048828,0.731879,67.316597,4.862036,67.716026,4.640685,4.0,0.00029619,11,868,0.20247,0.25933,0.0,0.07,100,0.0,0.91667,,,-0.01,0.01256,-0.00139,-0.02273,0.00087,0.83716
33,33792,65.14047,95.30769,0.92308,0.98,1.572731,-0.004265,0.003459,0.00402,0.338356,0.054653,0.672816,68.375572,4.719209,68.652534,4.129411,4.0,0.00029607,13,864,0.18778,0.24487,0.01,0.07,100,0.07692,0.93548,,,-0.01,0.01259,-0.00094,-0.02287,-1e-05,0.90653
34,34816,71.0384,75.46667,1.0,0.99,1.605333,-0.003923,0.003524,0.005443,0.400728,0.075439,0.606289,69.90493,4.146515,69.611465,3.679571,4.0,0.00029594,15,866,0.18865,0.25323,0.01,0.06,100,0.0,0.9375,,,-0.01,0.01368,-0.0014,-0.02211,0.00067,1.14248
35,35840,70.79324,83.33333,1.0,0.99,1.52988,-0.003306,0.003049,0.004595,0.320956,0.058943,0.622836,69.778305,4.153399,69.74691,3.587026,4.0,0.00029582,12,882,0.18349,0.24124,0.01,0.06,100,0.08333,1.0,,,-0.01,0.0143,-0.00108,-0.02017,-0.00042,0.9695
36,36864,70.99036,73.46154,1.0,0.99,1.623002,-0.003315,0.002434,0.004435,0.27327,0.048479,0.616371,70.575958,3.610349,70.422653,3.167798,4.0,0.0002957,13,865,0.17623,0.23364,0.01,0.08,100,0.0,0.77273,,,-0.01,0.01125,-0.0005,-0.02359,0.00248,0.97864
37,37888,70.95711,77.2,1.0,0.99,1.538165,-0.004483,0.003248,0.005656,0.325842,0.057443,0.701335,71.291832,4.074134,70.350662,3.919369,4.0,0.00029558,10,906,0.18243,0.23675,0.01,0.08,100,0.0,0.92857,,,-0.01,0.00706,-0.00151,-0.02326,-0.00237,0.83663
38,38912,67.65349,126.0,1.0,0.99,1.14248,-0.003176,0.003079,0.003027,0.303092,0.031076,0.840797,71.149704,5.16574,69.771645,4.989239,4.0,0.00029545,2,1027,0.22168,0.28667,0.01,0.08,100,0.0,1.0,,,-0.01,0.00591,-0.00426,-0.02309,-0.00588,0.21949
39,39936,-9.00611,375.0,0.0,0.97,1.007781,-0.004279,0.001717,0.002121,0.303039,0.020299,0.934046,72.186852,5.556033,70.990677,5.278881,4.0,0.00029533,2,1092,0.2797,0.34737,0.03,0.08,100,0.0,1.0,,,-0.01,0.00598,-0.0063,-0.02314,0.00085,0.0
40,40960,8.68749,354.0,0.25,0.94,1.404805,-0.003309,0.002269,0.003297,0.285374,0.042062,0.871266,71.919968,5.340724,71.0522,5.043669,4.0,0.00029521,4,993,0.24852,0.29923,0.06,0.08,100,0.0,1.0,,,-0.01,0.00385,-0.00332,-0.01832,-0.00028,0.08036
41,41984,-9.09748,375.0,0.0,0.92,1.631726,-0.005202,0.001685,0.005678,0.303412,0.077218,0.874566,73.272636,4.506834,72.35421,4.243369,4.0,0.00029508,2,988,0.29655,0.35275,0.08,0.08,100,0.0,0.97143,,,-0.01,0.00401,-0.00307,-0.016,0.0016,0.0
42,43008,8.89726,345.75,0.25,0.89,1.622533,-0.003928,0.002338,0.004599,0.291568,0.061593,0.819737,74.724052,4.171715,73.275688,4.056714,4.0,0.00029496,4,1008,0.32341,0.37536,0.11,0.09,100,0.0,0.97059,,,-0.01,0.00594,-0.00371,-0.01685,-0.00057,0.07386
43,44032,-7.98733,375.0,0.0,0.86,1.524242,-0.003416,0.001492,0.003747,0.272636,0.04834,0.893131,72.310516,4.637365,71.44873,4.484733,4.0,0.00029484,3,989,0.25228,0.30537,0.14,0.09,100,0.0,1.0,,,-0.01,0.00344,-0.00159,-0.01573,-0.00085,0.0
44,45056,-7.8533,375.0,0.0,0.85,1.374506,-0.002785,0.001939,0.003408,0.277939,0.031913,0.85521,72.377556,4.344252,71.06897,4.250691,4.0,0.00029472,1,1032,0.27235,0.31632,0.15,0.09,100,0.0,1.0,,,-0.01,0.00314,-0.0021,-0.01887,-0.00341,0.0
45,46080,-8.88115,375.0,0.0,0.8,1.258055,-0.002692,0.001243,0.002247,0.271291,0.022845,0.920087,72.418335,4.495748,71.224754,4.448104,4.0,0.00029459,5,1052,0.29226,0.32833,0.2,0.09,100,0.0,1.0,,,-0.01,0.0036,-0.00292,-0.02316,8e-05,0.0
46,47104,-7.85347,375.0,0.0,0.78,1.34132,-0.003195,0.001743,0.002922,0.261635,0.031459,0.910994,70.095032,5.30051,69.048058,5.420994,4.0,0.00029447,2,1018,0.24834,0.2906,0.22,0.09,100,0.0,1.0,,,-0.01,0.00433,-0.00156,-0.01769,-0.00102,0.0
47,48128,-8.39745,375.0,0.0,0.77,1.446639,-0.004159,0.001435,0.004156,0.283923,0.059849,0.940196,70.337791,5.715436,69.191795,5.726482,4.0,0.00029435,1,1008,0.26481,0.30408,0.23,0.09,100,0.0,1.0,,,-0.01,0.00365,-0.00197,-0.01763,0.0014,0.0
48,49152,-7.29593,375.0,0.0,0.72,1.540797,-0.003931,0.001118,0.004323,0.284693,0.041922,0.955765,70.311577,5.682008,69.18969,5.735967,4.0,0.00029422,5,986,0.25095,0.29997,0.28,0.09,100,0.0,1.0,,,-0.01,0.00449,-0.00132,-0.01603,-0.0007,0.0
49,50176,14.82963,331.33333,0.33333,0.7,1.576315,-0.003121,0.001487,0.003566,0.274078,0.036621,0.93189,68.932472,5.670283,67.924133,5.698919,4.0,0.0002941,3,965,0.21345,0.25681,0.3,0.09,100,0.0,1.0,,,-0.01,0.00491,-0.00065,-0.01672,0.0017,0.0674
50,51200,63.21051,207.25,1.0,0.7,1.556239,-0.004135,0.00194,0.003695,0.265029,0.047294,0.904501,68.972084,5.638123,67.73922,5.558339,4.0,0.00029398,4,972,0.2164,0.25378,0.3,0.09,100,0.0,1.0,,,-0.01,0.00465,-0.0012,-0.02063,0.0022,0.27904
