iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,38.82634,121.28571,0.85714,0.85714,1.349503,0.035494,20.017155,0.004359,1568,-0.01,0.00897,0.00081,0.00279,-0.01912,0.29564
2,2048,42.63095,121.25,1.0,0.93333,1.390268,-0.000562,11.128269,0.001118,1657,-0.01,0.01055,0.00091,0.00416,0.00029,0.36887
3,3072,42.77701,111.28571,1.0,0.95455,1.388216,-0.000667,21.574736,0.00118,1670,-0.01,0.00985,-0.00035,0.0044,-0.02896,0.34
4,4096,40.13027,105.75,1.0,0.96667,1.345969,-0.016144,22.163854,0.002386,1802,-0.01,0.01046,-0.00502,0.00451,-0.02951,0.41035
5,5120,29.20318,149.875,0.875,0.94737,1.284523,-0.017261,15.111376,0.0014,1809,-0.01,0.01009,-0.00868,0.00351,-0.00466,0.29786
6,6144,51.1857,114.2,1.0,0.95833,1.299818,-0.000549,19.019547,0.002338,1614,-0.01,0.01085,-0.0004,0.00463,-0.01801,0.50997
7,7168,36.58649,116.875,0.875,0.94643,1.28931,-0.003102,15.280325,0.003693,1627,-0.01,0.00824,-0.00077,0.00488,-0.02689,0.34381
8,8192,41.98304,127.625,1.0,0.95312,1.246467,0.095377,19.097325,0.000564,1638,-0.01,0.00957,-0.00054,0.00494,-0.02642,0.36822
9,9216,46.25263,142.0,1.0,0.95714,1.353721,-0.009139,10.189723,0.001577,1653,-0.01,0.00873,2e-05,0.00322,-0.00164,0.28794
10,10240,34.05743,147.8,1.0,0.96,1.28018,0.04529,24.414149,0.001264,1667,-0.01,0.00784,-0.00128,0.0035,-0.06706,0.20681
11,11264,24.35354,168.16667,1.0,0.96296,1.299966,-0.000762,10.808222,0.002068,1714,-0.01,0.0076,-0.00041,0.00391,-0.01895,0.21674
12,12288,37.38885,169.0,0.83333,0.95402,1.301457,-0.000644,14.385711,0.000637,1738,-0.01,0.00717,4e-05,0.00321,-0.0191,0.26974
13,13312,23.3907,226.8,0.8,0.94565,1.297225,-0.147455,11.287149,0.001732,1774,-0.01,0.00835,-0.00082,0.00273,-0.01176,0.14852
14,14336,40.69187,181.66667,1.0,0.94898,1.35648,0.012918,6.703538,0.001104,1680,-0.01,0.00719,-0.001,0.00551,-0.00061,0.25257
15,15360,46.06386,177.85714,1.0,0.96,1.390642,-7.2e-05,12.920885,0.001986,1644,-0.01,0.00855,-0.0009,0.00452,-0.00072,0.33078
16,16384,42.73754,166.75,1.0,0.96,1.383512,-0.016468,23.213955,0.003765,1664,-0.01,0.00939,-0.00109,0.00462,-0.05873,0.1817
17,17408,27.49775,189.42857,1.0,0.96,1.406981,-7e-05,6.749542,0.000995,1650,-0.01,0.0069,-0.00241,0.0058,-0.00051,0.27259
18,18432,30.35066,188.25,0.75,0.95,1.359811,0.052115,14.537377,0.000976,1624,-0.01,0.00634,-0.00245,0.00424,-0.00695,0.13404
19,19456,38.70184,176.875,1.0,0.95,1.338744,0.017774,15.290606,0.000914,1569,-0.01,0.0102,-0.00059,0.00565,-0.02439,0.34922
20,20480,25.48232,177.75,1.0,0.95,1.381173,0.130907,24.663927,0.000775,1588,-0.01,0.00665,-0.00111,0.00471,-0.05954,0.16584
21,21504,41.90763,171.4,1.0,0.96,1.431416,-0.009272,7.508719,0.00167,1733,-0.01,0.00794,-0.00055,0.00507,-0.00199,0.24561
22,22528,23.48165,232.66667,0.83333,0.95,1.457114,3.4e-05,14.209617,0.00084,1793,-0.01,0.00752,-0.00067,0.00458,-0.00841,0.19027
23,23552,36.53429,183.5,1.0,0.95,1.385366,-0.021134,13.603895,0.00122,1494,-0.01,0.0077,-0.00148,0.00544,-0.0236,0.1708
24,24576,46.36554,180.5,1.0,0.96,1.410365,0.090571,5.872243,0.001036,1518,-0.01,0.00649,-0.00073,0.00461,0.00026,0.27584
25,25600,42.47172,176.71429,1.0,0.96,1.342222,0.000596,9.405596,0.003109,1516,-0.01,0.00821,-0.00067,0.00363,4e-05,0.30536
26,26624,41.4185,166.2,1.0,0.96,1.365901,0.000119,22.036288,0.00167,1604,-0.01,0.00742,-0.00036,0.00456,-0.04198,0.23752
27,27648,27.98715,181.25,1.0,0.96,1.40782,-0.001536,7.019794,0.001135,1606,-0.01,0.00617,-0.00013,0.00401,-0.00134,0.14292
28,28672,33.46867,197.0,0.875,0.95,1.392071,0.004619,12.019678,0.001689,1597,-0.01,0.00767,-0.00086,0.00388,-0.01069,0.30703
