iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.276726,-0.003292,0.383588,0.001444,953,0.13686,0.34291,0.0,0.0,0.0,,,-0.01,0.0066,-0.00787,-0.01854,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.167888,0.009663,0.337402,0.000776,955,0.13831,0.29799,0.0,0.0,0.0,,,-0.01,0.00593,-0.00926,-0.0182,-0.00034,0.0
3,3072,-11.80021,373.875,0.0,0.0,2.212681,-0.001091,0.347349,0.000153,1055,0.14922,0.3273,0.875,0.25,1.0,,,-0.01,0.00508,-0.01007,-0.01585,-0.00768,-0.00033
4,4096,nan,nan,0.0,0.0,2.283062,-0.011933,0.30056,0.000761,946,0.1381,0.35057,0.875,0.0,0.0,,,-0.01,0.00569,-0.00749,-0.01845,-0.00032,0.0
5,5120,nan,nan,0.0,0.0,2.196472,0.014501,0.278077,0.000423,1020,0.14724,0.33191,0.875,0.0,0.0,,,-0.01,0.00575,-0.00663,-0.01573,-0.00454,0.0
6,6144,-10.57882,375.0,0.0,0.0,2.181125,-0.013504,0.20439,0.000664,1223,0.15998,0.33685,0.9375,0.125,1.0,,,-0.01,0.00474,-0.00599,-0.02162,-0.00365,0.0
7,7168,nan,nan,0.0,0.0,2.236312,-0.002586,0.253493,0.000822,947,0.13714,0.3479,0.9375,0.0,0.0,,,-0.01,0.00741,-0.00557,-0.01742,-0.00149,0.0
8,8192,-7.00312,227.5,0.0,0.0,2.194731,0.060864,0.204606,0.001788,1301,0.1676,0.31658,0.83333,1.0,1.0,,,-0.01,0.00719,-0.00515,-0.01276,-0.01509,-0.0008
9,9216,-8.077,331.0,0.0,0.0,2.162735,-0.097619,0.215626,0.003353,1428,0.15098,0.34652,0.72,0.71429,1.0,,,-0.01,0.00925,-0.00538,-0.01654,-0.01086,-0.00182
10,10240,-4.93575,161.5,0.0,0.0,2.175495,-0.002511,0.214645,0.000541,1109,0.14298,0.34757,0.62069,1.0,1.0,,,-0.01,0.0112,-0.00422,-0.01437,-0.01711,-0.00141
11,11264,-4.57663,169.71429,0.14286,0.02778,2.168191,-0.003423,0.185458,0.001239,1042,0.13334,0.34506,0.5,1.0,1.0,,,-0.01,0.01279,-0.00278,-0.01595,-0.01143,-0.00196
12,12288,-4.36504,146.25,0.0,0.02273,2.094526,-0.00656,0.220079,0.004298,1076,0.13566,0.33373,0.40909,1.0,1.0,,,-0.01,0.01291,-0.00124,-0.01414,-0.02295,-0.00271
13,13312,-3.53719,109.88889,0.0,0.01887,2.02179,-0.002223,0.218745,0.000986,1085,0.12973,0.31652,0.33962,1.0,1.0,,,-0.01,0.01356,-0.00057,-0.01659,-0.02275,-0.00306
14,14336,-3.70768,109.57143,0.0,0.01667,1.983739,-0.003722,0.179161,0.002267,1140,0.13293,0.3616,0.3,1.0,0.94118,,,-0.01,0.01486,-0.00176,-0.01387,-0.0256,-0.00255
15,15360,-3.44232,115.33333,0.0,0.01389,1.849317,-0.097731,0.187159,0.003933,1116,0.12502,0.37062,0.25,1.0,1.0,,,-0.01,0.0138,-0.00067,-0.01568,-0.02978,-0.00427
16,16384,-3.47845,107.57143,0.0,0.01266,1.872224,0.074651,0.172208,0.000716,1255,0.13199,0.39777,0.22785,1.0,1.0,,,-0.01,0.01175,-0.00056,-0.01425,-0.02164,-0.00319
17,17408,-3.08298,89.33333,0.0,0.01176,1.720548,-0.23953,0.259183,0.001786,1539,0.14637,0.45226,0.21176,1.0,1.0,,,-0.01,0.01346,-0.00162,-0.01424,-0.02506,-0.00341
18,18432,-4.37564,190.0,0.0,0.01075,1.714698,-0.001603,0.150283,0.000843,1383,0.12772,0.36623,0.21505,1.0,1.0,,,-0.01,0.01117,-0.00268,-0.01471,-0.02247,-0.00308
19,19456,0.3531,113.71429,0.07143,0.02,1.783228,0.000604,21.072089,0.00145,1110,0.11851,0.34257,0.15,0.92857,1.0,,,-0.01,0.01384,-0.00073,-0.01479,-0.02969,0.0597
20,20480,-3.57745,104.0,0.0,0.02,1.788512,-0.000862,0.192485,0.000191,1132,0.1272,0.40139,0.1,1.0,1.0,,,-0.01,0.01357,-0.00071,-0.01601,-0.01959,-0.00178
21,21504,-3.26776,139.0,0.0,0.02,1.774205,-0.001614,0.160316,0.000549,1398,0.14101,0.44041,0.06,1.0,1.0,,,-0.01,0.0122,-0.00101,-0.0141,-0.02222,-0.00223
22,22528,-4.58069,155.8,0.0,0.02,1.758903,-0.001469,0.147775,0.000644,1509,0.14483,0.46186,0.07,0.8,1.0,,,-0.01,0.00998,-0.0024,-0.01694,-0.01868,-0.00194
23,23552,-3.78329,178.5,0.1,0.02,1.735252,0.061222,0.141154,0.001217,1202,0.11057,0.37369,0.05,0.9,1.0,,,-0.01,0.01573,-0.00011,-0.01679,-0.02022,-0.00311
24,24576,-3.25618,94.83333,0.08333,0.03,1.696212,-0.087631,0.16595,0.000533,1054,0.1032,0.33581,0.05,1.0,1.0,,,-0.01,0.01403,0.00033,-0.01475,-0.03105,-0.00372
25,25600,-3.46353,84.45455,0.0,0.03,1.692491,-0.001097,0.16608,0.000494,1077,0.09358,0.35772,0.05,1.0,1.0,,,-0.01,0.01329,0.00093,-0.01646,-0.03473,-0.00381
26,26624,-3.01931,85.8,0.1,0.04,1.625687,-0.002623,0.138606,0.001611,1250,0.10199,0.36157,0.05,1.0,1.0,,,-0.01,0.01517,0.00048,-0.01446,-0.02932,-0.00402
27,27648,-0.75677,101.22222,0.22222,0.06,1.546314,-0.000365,11.136432,0.000399,1468,0.10431,0.3701,0.05,1.0,0.8,,,-0.01,0.01602,-0.00033,-0.01153,-0.03561,0.03089
28,28672,-3.11358,115.125,0.0,0.06,1.591112,-0.015854,0.147854,0.001751,1366,0.09586,0.31071,0.06,1.0,1.0,,,-0.01,0.01578,0.00029,-0.01649,-0.02629,-0.00309
29,29696,-3.0209,111.23077,0.15385,0.08,1.660997,-0.000862,0.153247,0.000607,1123,0.09043,0.32223,0.05,1.0,0.0,,,-0.01,0.01609,0.00118,-0.01784,-0.03455,-0.00364
30,30720,0.47158,89.44444,0.22222,0.1,1.761042,0.000688,14.289236,0.001215,1184,0.10342,0.33963,0.04,0.88889,0.83333,,,-0.01,0.01847,0.00059,-0.01447,-0.03253,0.03922
31,31744,2.04883,94.53846,0.38462,0.14,1.705868,-0.000606,14.299528,0.000363,1157,0.09424,0.29375,0.04,1.0,1.0,,,-0.01,0.01717,0.00026,-0.01587,-0.03008,0.07768
32,32768,0.13429,85.84615,0.23077,0.16,1.764401,-0.024361,13.985839,0.000632,1062,0.09427,0.29378,0.02,0.92308,1.0,,,-0.01,0.01637,0.00107,-0.01696,-0.03117,0.04639
33,33792,4.14311,81.16667,0.41667,0.2,1.815362,-0.066941,24.224049,0.001165,1040,0.09829,0.31195,0.02,0.83333,1.0,,,-0.01,0.01715,0.0006,-0.01675,-0.02722,0.09235
34,34816,3.44134,83.0,0.30769,0.24,1.876522,0.000499,27.585969,0.001641,1124,0.11125,0.33123,0.02,0.84615,1.0,,,-0.01,0.01456,0.00024,-0.01518,-0.03285,0.10143
35,35840,1.5045,95.55556,0.22222,0.25,1.911767,0.012352,11.651381,0.000337,1019,0.10959,0.34362,0.02,0.88889,0.85714,,,-0.01,0.01378,0.0002,-0.01718,-0.02211,0.04452
36,36864,-3.15605,112.71429,0.14286,0.26,1.86016,-0.039858,0.667702,0.001057,1282,0.11921,0.34801,0.02,1.0,1.0,,,-0.01,0.0136,-0.00048,-0.01343,-0.02242,-0.00246
37,37888,-1.74698,137.0,0.1,0.25,1.873287,-0.000851,8.6413,0.000673,1151,0.1196,0.32712,0.02,0.9,1.0,,,-0.01,0.01459,-0.00034,-0.01632,-0.02694,0.02373
38,38912,0.96843,93.3,0.3,0.26,1.863131,-0.000162,15.052905,0.000263,1098,0.11474,0.31262,0.01,1.0,1.0,,,-0.01,0.01527,0.0004,-0.01574,-0.02803,0.04817
39,39936,5.57281,111.9,0.4,0.29,1.875479,0.00118,31.852613,0.001356,1210,0.11752,0.31097,0.01,0.8,0.90909,,,-0.01,0.01949,-1e-05,-0.01435,-0.02196,0.10968
40,40960,3.1718,91.5,0.2,0.26,1.995814,0.015838,17.041956,0.000387,1065,0.12815,0.33791,0.01,0.9,0.9375,,,-0.01,0.01431,-0.0006,-0.01454,-0.02901,0.07201
41,41984,-1.80045,112.375,0.375,0.27,1.868143,0.028759,3.414476,0.001568,1142,0.12402,0.34643,0.01,0.875,0.8,,,-0.01,0.01453,-8e-05,-0.01597,-0.02147,0.01129
