iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.375862,-0.009673,0.307095,0.006848,0.8683,0.079276,-0.027533,-0.412944,0.187581,-1.1338,1.331424,4.0,0.0003,0,843,0.26674,0.3637,0.0,0.0,0.0,,,-0.01,0.00523,-0.01422,-0.02364,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.326587,-0.005952,0.086926,0.003352,0.727062,0.037807,0.669199,-1.054043,1.053726,-1.695753,2.190526,4.0,0.0002999,0,828,0.25877,0.35173,0.0,0.0,0.0,,,-0.01,0.00504,-0.01267,-0.02162,-0.00066,0.0
3,3072,nan,nan,0.0,0.0,1.80314,-0.004765,0.061552,0.002889,0.616618,0.032366,0.882931,-1.307233,2.216002,-1.811814,2.922689,4.0,0.0002998,0,890,0.27261,0.36967,0.0,0.0,0.0,,,-0.01,0.00648,-0.01078,-0.01819,-0.00856,0.0
4,4096,-16.77841,442.375,0.0,0.0,1.810364,-0.004315,0.057774,0.00358,0.460277,0.047607,0.894761,-1.954811,2.706151,-2.390125,3.473543,4.0,0.00029969,8,859,0.27392,0.37473,0.75,0.375,0.99189,,,-0.01,0.0071,-0.00835,-0.02436,-0.00436,-0.00496
5,5120,-9.09397,192.16667,0.0,0.0,1.735836,-0.003669,0.085113,0.004697,0.367547,0.057199,0.885053,-2.336078,3.491549,-2.838189,3.74612,4.0,0.00029959,6,851,0.24199,0.34407,0.42857,1.0,0.97273,,,-0.01,0.00658,-0.00976,-0.01729,-0.01795,-0.01528
6,6144,-7.91235,176.0,0.0,0.0,1.821084,-0.005267,0.050172,0.00406,0.316706,0.064069,0.920627,-2.896896,3.456854,-3.32936,4.053473,4.0,0.00029949,2,832,0.25665,0.34998,0.375,1.0,1.0,,,-0.01,0.00909,-0.0067,-0.02162,-0.01091,-0.00484
7,7168,-8.24632,187.0,0.0,0.0,1.808808,-0.004891,0.05174,0.003951,0.241631,0.044538,0.92017,-3.37737,3.759202,-3.669874,4.232186,4.0,0.00029939,6,824,0.25741,0.34838,0.27273,1.0,0.9875,,,-0.01,0.00881,-0.00552,-0.01791,-0.01328,-0.01447
8,8192,-6.98855,169.0,0.0,0.0,1.266281,-0.003899,0.056231,0.002387,0.255168,0.026228,0.90539,-3.598087,3.835534,-3.800362,4.114832,4.0,0.00029928,6,912,0.26575,0.36234,0.21429,1.0,0.95312,,,-0.01,0.00924,-0.00489,-0.0242,-0.01524,-0.0196
9,9216,-8.79333,292.0,0.0,0.0,1.352685,-0.003598,0.037732,0.001704,0.228619,0.019287,0.938399,-4.267717,4.013768,-4.509416,4.302022,4.0,0.00029918,3,921,0.26616,0.35341,0.22581,1.0,0.89796,,,-0.01,0.00852,-0.00525,-0.01924,-0.01426,-0.0062
10,10240,-7.08865,263.33333,0.0,0.0,0.925934,-0.004404,0.026857,0.002898,0.303451,0.040109,0.941857,-4.136866,3.642563,-4.141062,3.908997,4.0,0.00029908,3,1038,0.27485,0.34964,0.20588,1.0,0.95833,,,-0.01,0.00708,-0.00552,-0.02266,-0.00645,-0.01325
11,11264,-7.88003,294.0,0.0,0.0,1.455426,-0.00384,0.032591,0.002624,0.280819,0.030936,0.946858,-4.321239,4.412773,-4.437869,4.983341,4.0,0.00029898,5,896,0.25236,0.33806,0.17949,1.0,0.95918,,,-0.01,0.00936,-0.00389,-0.02647,-0.00652,-0.01439
12,12288,-7.77367,189.5,0.0,0.0,1.36319,-0.002817,0.041295,0.001781,0.277038,0.016811,0.939469,-4.321653,4.836514,-4.400397,5.037024,4.0,0.00029887,4,916,0.26075,0.34366,0.16279,1.0,0.92308,,,-0.01,0.00783,-0.00225,-0.02256,-0.01582,-0.01222
13,13312,-8.41582,279.66667,0.0,0.0,1.629768,-0.005588,0.030709,0.004094,0.368775,0.060477,0.959135,-4.85241,5.268494,-4.932806,5.91036,4.0,0.00029877,3,871,0.2427,0.3057,0.17391,0.66667,0.96774,,,-0.01,0.00754,-0.00189,-0.02362,-0.00404,-0.00511
14,14336,18.80276,294.4,0.4,0.03922,1.266724,-0.002703,1.715812,0.002178,1.259391,0.026402,0.285856,-4.1093,5.592446,-1.626964,11.354258,4.0,0.00029867,5,931,0.24778,0.31377,0.17647,0.4,0.875,,,-0.01,0.007,-0.00233,-0.03205,-0.00655,0.20699
15,15360,nan,nan,0.0,0.03922,1.172052,-0.006138,0.033285,0.004137,0.589789,0.057408,0.960146,-1.917519,5.873163,-1.724375,6.126397,4.0,0.00029857,0,913,0.24107,0.31249,0.17647,0.0,0.0,,,-0.01,0.00818,-0.00368,-0.02049,-0.00974,0.0
16,16384,0.38537,312.5,0.125,0.05085,1.217663,-0.002025,0.645243,0.004022,0.842855,0.047503,0.550957,-1.63719,6.427322,-0.483534,9.726945,4.0,0.00029846,8,924,0.23952,0.31108,0.20339,0.75,0.96364,,,-0.01,0.01171,-0.00224,-0.02825,-0.00338,0.09572
17,17408,23.26421,149.0,0.4,0.07812,1.564257,-0.003695,1.010984,0.003964,1.623916,0.044259,0.431907,-1.042769,7.108484,1.935982,12.093269,4.0,0.00029836,5,857,0.23285,0.31217,0.1875,0.6,1.0,,,-0.01,0.01163,-0.00027,-0.02047,-0.00951,0.17068
18,18432,3.93011,161.57143,0.14286,0.08451,1.432151,-0.001683,0.332182,0.002904,0.431771,0.014962,0.641332,2.674864,7.776725,3.300917,9.471749,4.0,0.00029826,7,781,0.23845,0.32345,0.16901,0.85714,1.0,,,-0.01,0.01027,-0.00134,-0.02238,-0.01584,0.0767
19,19456,17.82917,171.66667,0.33333,0.09459,1.258322,-0.001448,0.36382,0.001934,0.256424,0.010219,0.611616,4.603366,8.13927,5.85222,10.226343,4.0,0.00029816,3,849,0.26139,0.34823,0.16216,0.66667,1.0,,,-0.01,0.00989,-0.00178,-0.02527,-0.00893,0.09799
20,20480,-8.75383,233.5,0.0,0.09211,1.019529,-0.003469,0.068818,0.00205,0.501345,0.02281,0.871406,9.242785,8.22086,9.3751,8.031667,4.0,0.00029805,2,947,0.24924,0.32768,0.15789,1.0,1.0,,,-0.01,0.00726,-0.00388,-0.02318,-0.00595,-0.00709
21,21504,-6.53454,253.25,0.0,0.0875,0.987641,-0.002291,0.066605,0.001703,0.679652,0.015102,0.863565,10.007293,8.297619,9.33078,8.171848,4.0,0.00029795,4,973,0.2548,0.33722,0.1625,0.75,1.0,,,-0.01,0.00851,-0.00294,-0.02567,-0.00823,-0.01089
22,22528,0.64919,275.88889,0.11111,0.08989,1.308448,-0.001371,0.262029,0.001804,0.330987,0.01702,0.612224,10.170268,8.036893,10.456938,10.238322,4.0,0.00029785,9,893,0.21904,0.30586,0.19101,0.66667,0.93478,,,-0.01,0.01118,-0.00186,-0.02406,-0.00637,0.08719
23,23552,19.40409,147.0,0.33333,0.09783,1.358113,-0.002918,0.241289,0.004098,0.363117,0.063163,0.524739,9.834893,6.52103,10.143968,8.973972,4.0,0.00029775,3,890,0.20791,0.28452,0.18478,0.66667,0.8,,,-0.01,0.00974,-0.00011,-0.01807,-0.00987,0.08942
24,24576,9.12248,136.2,0.2,0.10309,1.238902,-0.001536,0.206395,0.002546,0.324027,0.028425,0.577992,9.915572,6.837126,10.048368,9.405329,4.0,0.00029764,5,894,0.20859,0.28327,0.17526,1.0,0.0,,,-0.01,0.01009,-0.00102,-0.02027,-0.01045,0.0893
25,25600,-5.43538,143.0,0.0,0.10204,0.804462,-0.003722,0.042038,0.003054,0.425869,0.037633,0.869625,10.928024,7.342483,10.355471,7.253556,4.0,0.00029754,1,1035,0.24519,0.32777,0.17347,1.0,1.0,,,-0.01,0.00673,-0.00212,-0.01617,-0.0139,-0.00441
26,26624,-7.29676,362.0,0.0,0.1,0.862197,-0.002851,0.021326,0.002038,0.417723,0.023158,0.916521,9.234444,6.554111,8.951235,6.541281,4.0,0.00029744,4,967,0.20363,0.28193,0.2,0.5,0.96296,,,-0.01,0.00846,-0.00323,-0.01748,-0.00746,-0.00417
27,27648,15.63432,244.0,0.28571,0.12,1.146557,-0.00302,0.414244,0.002772,0.538711,0.033901,0.321903,7.331878,5.727389,9.246386,10.532857,4.0,0.00029734,7,912,0.19559,0.27382,0.15,1.0,1.0,,,-0.01,0.01058,-0.00143,-0.01859,-0.00672,0.21253
