iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.376265,-0.009182,0.306709,0.0064,0.876834,0.066057,-0.03051,-0.412944,0.187581,-0.909519,1.216576,4.0,0.0003,0,863,0.26674,0.3637,0.0,0.0,0.0,,,-0.01,0.00523,-0.00132,-0.02364,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.332525,-0.006165,0.084246,0.00363,0.620743,0.024588,0.656374,-0.819237,0.947799,-1.248941,2.037452,4.0,0.0002999,0,863,0.25928,0.35455,0.0,0.0,0.0,,,-0.01,0.00568,-0.00112,-0.02109,-0.00032,0.0
3,3072,nan,nan,0.0,0.0,1.949735,-0.005136,0.060737,0.002579,0.559565,0.024972,0.876407,-1.105228,2.071782,-1.488137,2.796443,4.0,0.0002998,0,886,0.26801,0.36824,0.0,0.0,0.0,,,-0.01,0.00663,-0.00144,-0.01827,-0.00664,0.0
4,4096,-12.25507,449.875,0.0,0.0,1.734849,-0.004554,0.049025,0.003355,0.273149,0.036307,0.907555,-1.59755,2.564214,-1.960969,3.202599,4.0,0.00029969,8,894,0.2706,0.3784,0.875,0.125,0.98571,,,-0.01,0.00731,-0.00202,-0.0246,-0.00603,-0.00258
5,5120,nan,nan,0.0,0.0,1.926801,-0.004631,0.040047,0.003835,0.30466,0.047259,0.936739,-1.971483,3.334099,-2.339996,3.933686,4.0,0.00029959,0,879,0.23634,0.34114,0.875,0.0,0.0,,,-0.01,0.00769,-0.00034,-0.01765,-0.00802,0.0
6,6144,-8.73844,261.0,0.0,0.0,1.321189,-0.002874,0.07968,0.002275,0.249834,0.018555,0.886663,-2.614981,3.675391,-2.912328,3.891374,4.0,0.00029949,7,953,0.25932,0.37046,0.46667,1.0,0.95455,,,-0.01,0.00933,-0.00077,-0.02686,-0.01277,-0.02298
7,7168,-7.73466,250.5,0.0,0.0,1.725321,-0.003892,0.040351,0.002617,0.232855,0.019182,0.934563,-3.012421,3.656471,-3.343916,4.149066,4.0,0.00029939,2,893,0.2689,0.37815,0.41176,1.0,0.96226,,,-0.01,0.00826,-0.00172,-0.0191,-0.01027,-0.00515
8,8192,-7.03342,233.8,0.0,0.0,1.444155,-0.004355,0.056981,0.002697,0.237066,0.037214,0.906837,-3.347892,3.811057,-3.524695,4.235788,4.0,0.00029928,5,922,0.28717,0.39396,0.31818,1.0,0.98225,,,-0.01,0.00971,-0.00195,-0.02318,-0.00859,-0.01489
9,9216,-7.23152,211.4,0.0,0.0,1.478468,-0.003122,0.045686,0.002968,0.222985,0.029681,0.915319,-3.390659,3.872731,-3.626119,3.905349,4.0,0.00029918,5,916,0.29429,0.40823,0.25926,1.0,0.98765,,,-0.01,0.00814,-0.00087,-0.01601,-0.01839,-0.01485
10,10240,-7.89574,235.25,0.0,0.0,1.616389,-0.005315,0.028517,0.00444,0.251049,0.066127,0.952478,-3.549342,4.107567,-3.669956,4.496469,4.0,0.00029908,4,887,0.28299,0.38952,0.22581,1.0,0.97917,,,-0.01,0.00951,-0.00086,-0.02073,-0.01059,-0.01079
11,11264,-7.47555,231.0,0.0,0.0,1.394312,-0.004045,0.032203,0.002039,0.235375,0.01573,0.938492,-3.221903,3.920945,-3.380482,4.188515,4.0,0.00029898,6,921,0.27141,0.37177,0.18919,1.0,0.99401,,,-0.01,0.00858,-0.00158,-0.02547,-0.01128,-0.01873
12,12288,-8.952,301.0,0.0,0.0,1.631482,-0.005468,0.02318,0.004385,0.301176,0.044957,0.95856,-3.564018,4.207902,-3.659045,4.72384,4.0,0.00029887,1,920,0.2794,0.37883,0.18421,1.0,0.9697,,,-0.01,0.00866,-0.00068,-0.02072,-0.00334,-0.00265
13,13312,-7.0652,235.5,0.0,0.0,1.209893,-0.004155,0.031475,0.002504,0.21183,0.032436,0.93916,-3.305214,3.943922,-3.451383,4.21736,4.0,0.00029877,4,1008,0.26042,0.36881,0.16667,1.0,0.96,,,-0.01,0.0081,-0.00115,-0.02325,-0.01317,-0.01373
14,14336,-8.02192,315.8,0.0,0.0,1.261829,-0.004002,0.026708,0.003203,0.243642,0.044608,0.950665,-3.632816,4.138299,-3.761228,4.394979,4.0,0.00029867,5,984,0.25041,0.35426,0.17021,1.0,0.95395,,,-0.01,0.00991,-0.00098,-0.02416,-0.01156,-0.01322
15,15360,-8.28444,269.5,0.0,0.0,1.814211,-0.004477,0.023704,0.004331,0.252774,0.048968,0.964904,-4.521282,5.004684,-4.551808,5.366489,4.0,0.00029857,4,871,0.24404,0.33648,0.17647,0.75,0.95798,,,-0.01,0.01108,-0.00038,-0.02211,-0.00942,-0.0072
16,16384,23.69099,203.85714,0.42857,0.05172,1.500257,-0.002083,2.405179,0.002223,2.139514,0.020438,0.201505,-4.075824,4.87077,-0.12878,13.0179,4.0,0.00029846,7,920,0.2359,0.32635,0.15517,0.71429,0.94118,,,-0.01,0.01114,-0.00095,-0.02461,-0.00714,0.27987
17,17408,-6.45024,181.25,0.0,0.04839,1.517832,-0.003848,0.074804,0.00403,0.361812,0.052804,0.914347,-0.857488,7.583362,-0.998694,7.513455,4.0,0.00029836,4,913,0.24946,0.34116,0.14516,1.0,0.97222,,,-0.01,0.00897,-0.00069,-0.02093,-0.01108,-0.01104
18,18432,-6.78018,223.0,0.0,0.04615,1.662219,-0.002658,0.056161,0.003237,0.277208,0.027797,0.926993,-1.125029,7.796853,-0.932104,7.707919,4.0,0.00029826,3,877,0.23497,0.32859,0.13846,1.0,0.98077,,,-0.01,0.00976,-0.00019,-0.02102,-0.0065,-0.00756
19,19456,5.29379,210.66667,0.16667,0.05634,1.510139,-0.005177,0.604284,0.004685,0.754818,0.076311,0.567496,-0.462959,7.309677,0.569609,10.181061,4.0,0.00029816,6,900,0.23019,0.34011,0.12676,0.83333,0.93878,,,-0.01,0.00986,-0.00041,-0.02373,-0.00659,0.07958
20,20480,-6.79987,196.125,0.0,0.05063,1.522759,-0.004643,0.051215,0.003836,0.327865,0.053362,0.888723,-0.268742,6.723521,-0.61544,6.201518,4.0,0.00029805,8,871,0.20707,0.30484,0.12658,0.875,0.94118,,,-0.01,0.01129,0.00013,-0.02076,-0.01492,-0.01853
21,21504,29.99263,158.25,0.5,0.07229,1.413834,-0.002009,0.970482,0.00288,0.868215,0.030692,0.335546,0.254155,5.815055,2.780353,11.074872,4.0,0.00029795,4,897,0.19972,0.2957,0.12048,1.0,0.85938,,,-0.01,0.01025,-0.0003,-0.01862,-0.00905,0.18729
22,22528,30.98764,148.5,0.5,0.08235,0.88081,-0.000781,0.416087,0.001347,0.435452,0.010428,0.461774,3.486557,6.078683,4.91952,8.512073,4.0,0.00029785,2,1041,0.20301,0.29994,0.11765,1.0,0.95,,,-0.01,0.00984,-0.00071,-0.01452,-0.00748,0.14032
23,23552,25.18793,193.0,0.4,0.1,0.716546,-0.003428,0.650833,0.002707,0.454513,0.041713,0.319824,5.989046,6.000498,7.457932,10.00641,4.0,0.00029775,5,1078,0.19807,0.28744,0.12222,0.6,0.96341,,,-0.01,0.01116,-0.00099,-0.0138,-0.01125,0.33245
24,24576,5.57548,254.0,0.14286,0.10309,1.041297,-0.00185,0.365577,0.002547,0.314414,0.030901,0.468785,7.070534,6.658894,8.108703,8.949821,4.0,0.00029764,7,969,0.19356,0.27938,0.13402,1.0,0.96721,,,-0.01,0.0111,-2e-05,-0.01496,-0.01116,0.10513
25,25600,20.48394,180.0,0.33333,0.12,1.423841,-0.002564,0.531478,0.003491,0.541429,0.03561,0.486937,9.350863,8.54676,11.7587,11.831027,4.0,0.00029754,6,899,0.17961,0.27051,0.12,0.66667,0.89474,,,-0.01,0.01034,0.0002,-0.01723,-0.00578,0.17351
26,26624,51.37734,123.75,0.75,0.15,1.09238,-0.004076,0.440897,0.004209,0.440346,0.066232,0.404823,15.924744,7.188499,18.899426,11.462969,4.0,0.00029744,4,984,0.19754,0.30168,0.08,0.25,0.93333,,,-0.01,0.00821,-0.0006,-0.02244,-0.00265,0.33235
27,27648,-5.23424,195.83333,0.0,0.15,1.141968,-0.002663,0.148796,0.001825,1.009868,0.01409,0.499621,18.54114,7.031018,17.006514,7.466735,4.0,0.00029734,6,971,0.19883,0.29282,0.08,0.83333,0.94643,,,-0.01,0.00842,-4e-05,-0.02023,-0.00647,-0.01519
28,28672,18.85371,225.66667,0.33333,0.17,1.091311,-0.001641,0.250228,0.002449,0.406861,0.016218,0.445111,17.553873,6.314836,18.406179,9.874065,4.0,0.00029724,6,957,0.18958,0.28216,0.1,0.33333,0.8303,,,-0.01,0.00933,-0.00035,-0.02115,-0.00648,0.21342
29,29696,-4.70307,110.0,0.0,0.17,0.921006,-0.003531,0.078748,0.002841,0.866188,0.040179,0.675385,18.059193,6.136729,16.702185,6.770551,4.0,0.00029713,2,1035,0.22435,0.32564,0.1,1.0,0.875,,,-0.01,0.00836,-0.00112,-0.03103,-0.00917,-0.00735
30,30720,-4.39517,228.33333,0.0,0.17,0.938632,-0.005134,0.047711,0.004645,0.704869,0.069441,0.778075,17.557489,6.459237,16.317801,6.963096,4.0,0.00029703,3,1037,0.22891,0.32971,0.11,1.0,0.9403,,,-0.01,0.00758,-0.00153,-0.03456,-0.00558,-0.00743
31,31744,4.49529,272.83333,0.16667,0.18,1.082382,-0.002803,0.148687,0.003811,0.368539,0.057129,0.557253,16.64739,6.565918,16.594847,8.933827,4.0,0.00029693,6,963,0.1859,0.28627,0.14,0.66667,0.90811,,,-0.01,0.00951,-0.00035,-0.0241,-0.00602,0.10826
32,32768,30.74212,236.5,0.5,0.21,1.239122,-0.002352,0.230183,0.002115,0.310933,0.031494,0.54394,17.08872,7.538594,19.010664,11.54258,4.0,0.00029683,6,948,0.19732,0.29647,0.16,0.5,0.87037,,,-0.01,0.00779,-0.00075,-0.02308,0.00265,0.2912
