iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.378069,-0.006215,0.282868,0.004558,1.286977,0.035366,0.128015,0.58784,0.199078,0.103688,1.301157,4.0,0.0003,0,849,0.26535,0.36161,0.0,0.0,0.0,,,-0.01,0.00559,-0.00133,-0.02337,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.337402,-0.003654,0.098679,0.001817,0.622214,0.006941,0.64524,0.279619,0.952853,-0.186953,2.027971,4.0,0.0002999,0,861,0.2236,0.31606,0.0,0.0,0.0,,,-0.01,0.00491,-0.00075,-0.02121,-0.00068,0.0
3,3072,-13.198,329.0,0.0,0.0,2.067971,-0.004833,0.070243,0.002735,0.543917,0.024728,0.845139,-0.041447,2.095759,-0.575493,3.026412,4.0,0.0002998,1,881,0.2221,0.32026,0.0,1.0,0.97826,,,-0.01,0.00344,-0.00151,-0.02205,-0.00371,-0.00219
4,4096,-12.6507,450.0,0.0,0.0,2.138239,-0.004493,0.045614,0.004469,0.38256,0.060721,0.910678,-0.689653,2.895733,-1.106792,3.694505,4.0,0.00029969,7,868,0.24382,0.33989,0.875,0.28571,0.9943,,,-0.01,0.00463,-0.00094,-0.02269,-0.00417,0.0
5,5120,nan,nan,0.0,0.0,2.310166,-0.004549,0.021199,0.003355,0.310543,0.031738,0.932739,-1.058563,3.756414,-1.430185,4.840739,4.0,0.00029959,0,853,0.24474,0.33614,0.875,0.0,0.0,,,-0.01,0.00638,-0.00101,-0.02051,-4e-05,0.0
6,6144,nan,nan,0.0,0.0,1.920276,-0.003475,0.024772,0.00152,0.250564,0.005476,0.961279,-1.405889,4.789449,-1.881424,5.466267,4.0,0.00029949,0,888,0.21269,0.30821,0.875,0.0,0.0,,,-0.01,0.00474,-0.00048,-0.02026,-0.00704,0.0
7,7168,-13.26804,448.0,0.0,0.0,1.255975,-0.003417,0.02926,0.001596,0.243072,0.018834,0.960544,-1.837669,5.344758,-2.213847,5.952966,4.0,0.00029939,2,977,0.23389,0.33472,0.8,0.5,0.98305,,,-0.01,0.00434,-0.00055,-0.03016,-0.00635,-0.00342
8,8192,-11.91674,450.0,0.0,0.0,2.193758,-0.003974,0.014383,0.00223,0.213417,0.017508,0.970268,-2.192104,5.860602,-2.550539,6.743034,4.0,0.00029928,6,844,0.25973,0.36115,0.875,0.16667,0.96918,,,-0.01,0.00614,-0.00126,-0.02205,-0.00265,0.0
9,9216,-7.49077,180.0,0.0,0.0,1.510203,-0.004113,0.024173,0.003668,0.191209,0.03976,0.972294,-2.378053,6.618064,-2.735753,6.952476,4.0,0.00029918,1,935,0.24024,0.34982,0.82353,1.0,0.96,,,-0.01,0.00533,-0.00156,-0.02011,-0.01114,-0.00292
10,10240,-10.64996,374.5,0.0,0.0,0.983194,-0.002839,0.038883,0.001722,0.244141,0.02553,0.939264,-2.887243,6.261398,-3.03578,6.139183,4.0,0.00029908,4,1025,0.22765,0.33354,0.66667,1.0,0.94595,,,-0.01,0.00853,-0.00013,-0.02026,-0.00872,-0.01744
11,11264,-9.22326,448.0,0.0,0.0,1.611587,-0.003319,0.020695,0.002044,0.233788,0.016253,0.968822,-3.053885,6.344335,-3.16078,6.737212,4.0,0.00029898,3,922,0.22861,0.3276,0.625,0.66667,0.9645,,,-0.01,0.00745,-0.00132,-0.01874,-0.00499,-0.00553
12,12288,-7.89386,450.0,0.0,0.0,1.28459,-0.004894,0.009007,0.002252,0.229853,0.0226,0.984289,-2.185163,6.757457,-2.39754,7.281336,4.0,0.00029887,1,981,0.25782,0.35995,0.64,1.0,0.87324,,,-0.01,0.00464,-0.00102,-0.02807,-0.00487,0.0
