iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.383167,-0.0073,0.341718,0.007033,1.344057,0.088239,0.019728,0.664956,0.329631,-0.050284,1.317197,4.0,0.0003,0,799,0.27134,0.36649,0.0,0.0,0.0,,,-0.01,0.0052,-0.01244,-0.02409,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.381494,-0.006179,0.113131,0.00327,0.830709,0.02703,0.606819,0.118921,0.900926,-0.514278,2.083994,4.0,0.0002999,0,801,0.26869,0.35714,0.0,0.0,0.0,,,-0.01,0.00667,-0.01263,-0.02214,0.0,0.0
3,3072,nan,nan,0.0,0.0,2.093427,-0.005985,0.069587,0.005913,0.534031,0.073835,0.842382,-0.422251,2.09817,-1.021165,3.043433,4.0,0.0002998,0,819,0.23922,0.33618,0.0,0.0,0.0,,,-0.01,0.00562,-0.01011,-0.01963,-0.00487,0.0
4,4096,-17.02665,449.75,0.0,0.0,1.893148,-0.003119,0.062359,0.002727,0.502031,0.02274,0.898866,-1.160782,2.950732,-1.644284,3.679581,4.0,0.00029969,8,825,0.27233,0.36503,0.875,0.375,0.99393,,,-0.01,0.00681,-0.00995,-0.02339,-0.00441,-0.00238
5,5120,nan,nan,0.0,0.0,2.129175,-0.005261,0.028645,0.003798,0.278297,0.049491,0.933466,-1.572035,3.658049,-2.089756,4.579179,4.0,0.00029959,0,812,0.24016,0.32774,0.875,0.0,0.0,,,-0.01,0.00522,-0.00656,-0.01908,-0.00425,0.0
6,6144,nan,nan,0.0,0.0,1.419504,-0.005119,0.023021,0.003415,0.239144,0.042411,0.950803,-2.221712,4.493402,-2.653059,5.378901,4.0,0.00029949,0,918,0.27047,0.35791,0.875,0.0,0.0,,,-0.01,0.00473,-0.00643,-0.03043,-0.00149,0.0
7,7168,-11.79586,409.0,0.0,0.0,1.324832,-0.005606,0.023712,0.004823,0.277754,0.072335,0.955859,-2.312548,5.362837,-2.666067,6.224067,4.0,0.00029939,1,929,0.26662,0.35045,0.77778,1.0,1.0,,,-0.01,0.00532,-0.00724,-0.03153,-0.00125,-0.00307
8,8192,-13.98537,450.0,0.0,0.0,2.014407,-0.004014,0.015763,0.003678,0.301824,0.033901,0.971459,-3.308069,6.229392,-3.592428,7.061666,4.0,0.00029928,7,803,0.27372,0.35488,0.875,0.0,0.95798,,,-0.01,0.00649,-0.00471,-0.01994,-0.00578,0.0
9,9216,-7.47359,174.0,0.0,0.0,1.308171,-0.006198,0.017029,0.004868,0.282813,0.08252,0.973606,-2.629719,7.170131,-2.98393,8.04985,4.0,0.00029918,1,916,0.27507,0.35692,0.82353,1.0,1.0,,,-0.01,0.00572,-0.00524,-0.03516,-0.00252,-0.00311
10,10240,nan,nan,0.0,0.0,1.211182,-0.004878,0.007994,0.003455,0.289691,0.049979,0.982587,-2.393918,7.810849,-2.809521,8.714555,4.0,0.00029908,0,955,0.34034,0.41421,0.82353,0.0,0.0,,,-0.01,0.00584,-0.00576,-0.03937,-0.00198,0.0
