iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.377074,-0.008163,0.252108,0.005547,1.073785,0.069964,0.11155,-0.141922,0.248153,-0.882667,1.374489,4.0,0.0003,0,869,0.2772,0.37612,0.0,0.0,0.0,,,-0.01,0.00507,-0.01467,-0.02449,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.354523,-0.004585,0.08733,0.002163,0.718706,0.011405,0.675591,-0.802664,1.144818,-1.438141,2.314496,4.0,0.0002999,0,884,0.26297,0.35649,0.0,0.0,0.0,,,-0.01,0.00505,-0.01222,-0.0223,-0.00038,0.0
3,3072,nan,nan,0.0,0.0,2.201499,-0.006104,0.037892,0.005892,0.526627,0.078509,0.861905,-1.22341,2.253197,-1.791448,3.357932,4.0,0.0002998,0,901,0.24612,0.33773,0.0,0.0,0.0,,,-0.01,0.00518,-0.01116,-0.02129,-0.00056,0.0
4,4096,-17.70175,450.0,0.0,0.0,2.148792,-0.004547,0.03995,0.003381,0.499534,0.018032,0.928689,-1.666564,3.319506,-2.187312,4.087031,4.0,0.00029969,8,887,0.2612,0.35308,1.0,0.0,0.99277,,,-0.01,0.00456,-0.01019,-0.02274,-0.00362,0.0
5,5120,nan,nan,0.0,0.0,2.038854,-0.004692,0.038184,0.004483,0.396195,0.047991,0.936917,-2.252224,3.961575,-2.790987,4.731829,4.0,0.00029959,0,917,0.29454,0.39094,1.0,0.0,0.0,,,-0.01,0.00668,-0.00979,-0.01898,-0.00621,0.0
6,6144,-11.054,237.0,0.0,0.0,1.432367,-0.004247,0.033112,0.003208,0.236498,0.027169,0.939579,-3.058363,4.548513,-3.447565,5.366826,4.0,0.00029949,1,1031,0.33693,0.42903,0.88889,1.0,1.0,,,-0.01,0.00432,-0.00896,-0.03022,-0.00229,-0.00302
7,7168,-10.04993,202.0,0.0,0.0,1.389363,-0.004249,0.031161,0.002143,0.230185,0.026437,0.951022,-3.354437,5.326123,-3.817897,6.103306,4.0,0.00029939,1,1037,0.36475,0.466,0.8,1.0,1.0,,,-0.01,0.00584,-0.01024,-0.0319,-0.00339,-0.00306
8,8192,-14.66015,450.0,0.0,0.0,2.219807,-0.004254,0.017371,0.005083,0.36232,0.055838,0.963898,-4.257553,6.185654,-4.522885,7.239237,4.0,0.00029928,7,857,0.31267,0.39894,0.88235,0.14286,0.96864,,,-0.01,0.00681,-0.00572,-0.02207,-0.00101,0.0
9,9216,nan,nan,0.0,0.0,1.521851,-0.003786,0.008515,0.002825,0.241809,0.027169,0.982361,-3.316128,7.63983,-3.66876,8.521567,4.0,0.00029918,0,1004,0.36034,0.44018,0.88235,0.0,0.0,,,-0.01,0.00548,-0.00631,-0.02837,-0.00502,0.0
10,10240,nan,nan,0.0,0.0,1.304467,-0.002995,0.007034,0.002618,0.289611,0.030936,0.982612,-3.1673,8.274311,-3.644833,9.285998,4.0,0.00029908,0,1070,0.40286,0.47736,0.88235,0.0,0.0,,,-0.01,0.00505,-0.00779,-0.04018,-7e-05,0.0
11,11264,-14.44009,450.0,0.0,0.0,1.714552,-0.005603,0.007088,0.004727,0.255404,0.059745,0.986498,-4.308703,9.074267,-4.693286,9.925,4.0,0.00029898,8,950,0.34204,0.41745,0.92,0.0,0.98286,,,-0.01,0.00667,-0.00537,-0.03355,0.0,0.0
12,12288,-7.99711,154.0,0.0,0.0,1.757969,-0.002302,0.01765,0.001761,0.221377,0.010359,0.981678,-4.807318,9.998852,-4.960129,10.531526,4.0,0.00029887,1,964,0.33987,0.4281,0.88462,1.0,1.0,,,-0.01,0.00835,-0.00416,-0.02158,-0.00683,-0.00243
13,13312,nan,nan,0.0,0.0,1.435762,-0.00468,0.004282,0.003562,0.243774,0.031355,0.989955,-4.322929,10.212737,-4.715272,11.101121,4.0,0.00029877,0,1042,0.369,0.44879,0.88462,0.0,0.0,,,-0.01,0.00678,-0.00401,-0.03349,-0.00075,0.0
14,14336,-13.29137,450.0,0.0,0.0,1.402216,-0.00514,0.003618,0.00353,0.252948,0.037877,0.990553,-4.635479,11.016424,-5.011715,11.973178,4.0,0.00029867,1,1062,0.36287,0.43873,0.88889,0.0,0.875,,,-0.01,0.00664,-0.00335,-0.03535,0.0,0.0
