iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,1.997831,-0.016998,0.164319,0.009483,1130,-0.01,0.00112,-0.03421,0.00768,-0.00469,0.0
2,2048,-5.90151,160.0,0.0,0.0,2.041417,-0.107489,0.107356,0.001653,1385,-0.01,0.00193,-0.01968,0.00599,-0.01106,-0.00119
3,3072,-6.97817,245.85714,0.0,0.0,1.962214,0.052325,0.099636,0.004319,1483,-0.01,0.00186,-0.01411,0.00536,-0.01241,-0.00227
4,4096,-4.16141,222.8,0.0,0.0,1.927333,-0.009407,0.087429,0.006927,1486,-0.01,0.00361,-0.00998,0.00499,-0.01031,-0.00129
5,5120,-2.57233,171.42857,0.0,0.0,1.903799,-0.088373,0.094258,0.006666,1377,-0.01,0.00595,-0.00078,0.00569,-0.01292,-0.00288
6,6144,-1.63869,111.63636,0.0,0.0,1.914973,-0.005025,0.111439,0.004548,1310,-0.01,0.00685,-0.00146,0.00478,-0.02306,-0.00432
7,7168,-1.63817,73.33333,0.0,0.0,1.799022,-0.007027,0.120919,0.007462,1267,-0.01,0.00844,0.00244,0.00489,-0.03003,-0.00578
8,8192,-0.71222,67.125,0.0625,0.01562,1.80425,-0.007751,1.638808,0.001915,1259,-0.01,0.00988,0.0031,0.00456,-0.02751,0.00671
9,9216,1.72618,76.85714,0.21429,0.05128,1.744141,-2.9e-05,6.616022,0.000479,1278,-0.01,0.0093,0.00282,0.00491,-0.01978,0.04564
10,10240,0.71852,66.90909,0.18182,0.06742,1.782856,0.011975,2.805885,0.00097,1284,-0.01,0.01009,0.00363,0.0049,-0.01967,0.02149
11,11264,0.68724,72.71429,0.14286,0.08,1.690416,0.007692,2.025123,0.003633,1297,-0.01,0.00858,0.00184,0.00568,-0.01932,0.0265
12,12288,3.09051,71.57143,0.14286,0.09,1.658149,0.042901,5.53274,0.00152,1577,-0.01,0.00722,-0.00112,0.00384,-0.01072,0.04744
13,13312,5.05566,121.63636,0.36364,0.13,1.688837,-0.000192,9.136041,0.000603,1707,-0.01,0.00779,-0.001,0.00475,-0.00758,0.10495
14,14336,0.45571,102.78571,0.14286,0.15,1.647526,-0.002553,3.78615,0.001489,1301,-0.01,0.00901,0.00176,0.0052,-0.01549,0.0213
15,15360,4.20615,76.16667,0.33333,0.19,1.68049,-0.135482,13.384561,0.002017,1374,-0.01,0.00867,0.00166,0.00539,-0.01078,0.07658
16,16384,3.66286,127.16667,0.5,0.21,1.497767,-0.06561,4.302779,0.007722,1624,-0.01,0.0078,-0.00172,0.00403,-0.00511,0.04599
17,17408,9.38905,127.25,0.75,0.27,1.549485,0.066483,5.531816,0.002305,1377,-0.01,0.00759,0.00026,0.00524,0.0074,0.09997
18,18432,20.10658,142.75,0.875,0.33,1.561641,0.059133,9.036076,0.003041,1342,-0.01,0.00597,-0.00102,0.00607,0.00276,0.19309
19,19456,21.60826,129.16667,1.0,0.37,1.578318,0.040114,6.663476,0.001358,1244,-0.01,0.00625,-0.00104,0.00555,0.00859,0.15198
20,20480,20.90156,133.66667,0.88889,0.44,1.575819,0.000585,9.634176,0.001145,1368,-0.01,0.00774,-0.00173,0.00566,0.00274,0.23168
21,21504,18.31567,157.8,0.8,0.47,1.582074,-0.058776,7.070686,0.001538,1499,-0.01,0.00511,-0.00354,0.00462,0.00615,0.13369
22,22528,18.47117,143.625,1.0,0.53,1.555396,-0.109864,10.305089,0.00388,1365,-0.01,0.00677,-0.0006,0.00539,0.00841,0.18871
23,23552,18.582,133.25,0.75,0.59,1.544259,-0.000568,9.540522,0.001344,1419,-0.01,0.00749,0.00199,0.00577,0.00068,0.1828
24,24576,15.53692,156.22222,0.88889,0.65,1.547303,0.000259,7.212854,0.001083,1406,-0.01,0.007,-0.00055,0.00609,0.00534,0.18855
25,25600,19.54375,124.83333,1.0,0.69,1.493071,-0.001274,6.929689,0.00364,1394,-0.01,0.00654,-0.00055,0.00526,0.00305,0.15285
26,26624,11.9442,124.66667,0.66667,0.72,1.43675,0.004455,6.081459,0.002223,1574,-0.01,0.00666,-0.00126,0.00554,0.00428,0.11984
27,27648,14.70063,165.66667,0.66667,0.74,1.511325,-0.001026,5.054512,0.001456,1485,-0.01,0.00582,0.00024,0.00613,0.00375,0.119
28,28672,18.74558,175.14286,0.85714,0.8,1.532692,-0.002007,4.927752,0.002718,1390,-0.01,0.00793,-7e-05,0.00543,0.00645,0.16629
29,29696,17.75272,136.7,0.8,0.83,1.497743,-0.001603,6.751327,0.001881,1403,-0.01,0.00803,0.00116,0.00591,0.00329,0.22641
30,30720,17.64978,110.66667,0.77778,0.85,1.427147,-0.000314,6.6893,0.000862,1372,-0.01,0.00756,0.00326,0.00557,0.0054,0.1966
31,31744,21.43768,103.66667,0.88889,0.85,1.434108,0.072026,5.839052,0.00206,1285,-0.01,0.00718,0.00285,0.00583,0.01213,0.22038
32,32768,25.44294,99.11111,1.0,0.85,1.42678,0.060528,6.069814,0.001793,1303,-0.01,0.00766,0.00262,0.00552,0.0075,0.25562
33,33792,16.9477,101.08333,0.75,0.84,1.326112,-0.042096,6.615727,0.001739,1310,-0.01,0.00594,0.0023,0.00514,0.00215,0.24593
34,34816,20.29182,103.0,0.875,0.83,1.343214,-0.001219,5.855688,0.001083,1277,-0.01,0.007,0.00012,0.00553,0.00692,0.18222
35,35840,14.84428,140.5,0.83333,0.83,1.319565,-0.000417,5.97713,0.000877,1371,-0.01,0.0058,0.00036,0.00563,0.00169,0.11265
36,36864,14.96493,180.4,0.6,0.83,1.388004,0.062772,4.950757,0.003173,1434,-0.01,0.00594,-0.00057,0.00435,0.00473,0.09328
37,37888,16.53375,158.85714,0.71429,0.81,1.355743,-0.002078,5.450011,0.002512,1521,-0.01,0.00453,-0.00016,0.00449,0.00492,0.16822
38,38912,14.4137,164.57143,0.57143,0.79,1.295844,-0.00502,6.120243,0.002118,1387,-0.01,0.00606,-0.0028,0.00449,0.00243,0.1352
39,39936,18.05084,164.4,0.8,0.79,1.420123,-0.002411,5.798455,0.001412,1556,-0.01,0.0052,-0.00212,0.00436,0.00488,0.13612
40,40960,16.87127,187.0,0.66667,0.79,1.4118,-0.001806,4.836931,0.002207,1488,-0.01,0.00599,-0.0006,0.00564,0.00645,0.13883
41,41984,19.84078,149.3,0.8,0.78,1.362061,-0.001482,5.775645,0.002212,1244,-0.01,0.00696,0.00171,0.00621,0.00803,0.21722
42,43008,21.64597,114.6,0.8,0.79,1.449845,-0.00123,5.617144,0.003071,1314,-0.01,0.00784,0.00161,0.00488,0.00125,0.12968
43,44032,12.8868,129.71429,0.71429,0.77,1.637332,0.020615,5.757673,0.00485,1551,-0.01,0.00732,0.00398,0.00498,-0.00234,0.13204
44,45056,8.28632,159.42857,0.42857,0.75,1.44313,-0.002002,4.854623,0.002193,1451,-0.01,0.00812,0.00087,0.00457,0.00458,0.07663
45,46080,21.92007,141.42857,1.0,0.76,1.502638,0.048678,4.60238,0.002784,1344,-0.01,0.00687,-0.00047,0.00565,0.00815,0.18447
46,47104,20.84717,155.5,0.875,0.75,1.50994,0.016984,4.036769,0.002643,1280,-0.01,0.00804,0.00154,0.0052,0.00708,0.18348
47,48128,26.90132,147.0,1.0,0.75,1.577234,0.070734,7.092935,0.009993,1537,-0.01,0.00694,-0.00118,0.00485,0.00142,0.14868
48,49152,13.77026,157.7,0.6,0.74,1.509163,0.000468,6.229861,0.003503,1293,-0.01,0.00888,-0.00057,0.005,0.00957,0.1665
49,50176,24.72736,114.0,1.0,0.75,1.492133,-0.002117,7.412715,0.001953,1285,-0.01,0.00869,0.00222,0.00539,0.00756,0.19742
50,51200,20.1098,154.0,1.0,0.77,1.470953,0.035532,6.397542,0.003385,1383,-0.01,0.00784,0.0016,0.00447,0.00844,0.23033
51,52224,24.23483,105.1,0.9,0.79,1.400027,0.001005,8.523768,0.001929,1265,-0.01,0.00835,0.00357,0.00436,0.00439,0.28145
52,53248,20.63298,118.28571,1.0,0.83,1.415429,-0.00205,6.097639,0.003139,1385,-0.01,0.00716,0.00205,0.00356,0.00862,0.1858
53,54272,19.09053,101.90909,0.90909,0.85,1.458286,-0.041117,6.095006,0.003271,1282,-0.01,0.00757,0.00042,0.00401,0.00617,0.25803
54,55296,21.64149,127.33333,1.0,0.85,1.348545,-0.124443,4.380341,0.005359,1358,-0.01,0.00642,-0.00048,0.00545,0.00491,0.16006
55,56320,14.12247,141.22222,0.77778,0.86,1.392509,0.002424,7.335882,0.002777,1269,-0.01,0.009,0.00354,0.00346,0.01122,0.15926
56,57344,18.17331,95.90909,0.81818,0.89,1.404426,-0.04712,6.811467,0.00275,1361,-0.01,0.00883,0.00113,0.00395,0.00295,0.25509
57,58368,18.91047,134.0,0.875,0.88,1.376308,-0.001848,5.775802,0.003219,1358,-0.01,0.00776,0.00126,0.00359,0.00836,0.19114
58,59392,23.45096,108.42857,1.0,0.89,1.356837,0.001968,5.923172,0.003071,1436,-0.01,0.00811,0.00272,0.00482,0.00818,0.21695
59,60416,17.65439,104.16667,0.91667,0.89,1.451384,-0.057892,8.638686,0.001569,1283,-0.01,0.00875,0.00384,0.00379,0.00876,0.25577
60,61440,19.97028,91.44444,0.88889,0.91,1.385641,-0.000883,9.315162,0.00105,1427,-0.01,0.00836,0.0028,0.00379,0.00717,0.23791
61,62464,17.26321,136.55556,0.88889,0.9,1.425035,-0.001201,8.911389,0.002526,1376,-0.01,0.00801,0.00304,0.00263,0.00402,0.20534
62,63488,12.52481,83.8,0.8,0.89,1.330409,0.026801,9.292433,0.001866,1750,-0.01,0.00707,-0.00385,0.00098,0.00524,0.11821
63,64512,11.73465,208.5,0.5,0.87,1.495704,0.047698,4.482341,0.002393,1692,-0.01,0.00676,-0.00411,0.00314,0.00623,0.13236
64,65536,17.29233,150.57143,0.57143,0.84,1.528227,0.044711,5.569305,0.004008,1406,-0.01,0.00708,0.00034,0.00435,0.00867,0.15469
65,66560,13.72893,129.125,0.625,0.82,1.475636,0.000607,7.778185,0.00191,1364,-0.01,0.0078,-0.00399,0.00376,0.00305,0.14047
66,67584,17.6455,133.71429,0.71429,0.8,1.481877,-0.097738,7.736824,0.005183,1310,-0.01,0.00704,-0.00179,0.00444,0.00704,0.14376
67,68608,11.67755,191.0,0.57143,0.78,1.554318,0.086611,6.504321,0.002028,1259,-0.01,0.00711,-0.00449,0.00424,0.00152,0.09309
68,69632,23.53079,143.0,1.0,0.79,1.477375,0.058413,7.907768,0.003896,1404,-0.01,0.0074,-0.00921,0.00276,0.00313,0.12281
69,70656,7.09024,207.5,0.66667,0.78,1.442709,-0.055602,3.336944,0.00145,1473,-0.01,0.00578,-0.00992,0.00369,0.00261,0.07634
70,71680,10.46875,167.25,0.75,0.78,1.618327,-0.047699,3.656274,0.003876,1446,-0.01,0.00567,-0.0104,0.00413,0.00477,0.06134
71,72704,15.88186,211.85714,0.71429,0.76,1.565541,-0.003382,4.973147,0.003492,1253,-0.01,0.0057,-0.00324,0.00494,0.00685,0.13192
72,73728,18.39911,155.66667,0.83333,0.76,1.550858,0.122873,6.478018,0.002639,1332,-0.01,0.00749,-0.00445,0.00239,0.00177,0.13248
73,74752,12.94514,150.14286,0.57143,0.73,1.529914,0.103874,5.661992,0.001227,1376,-0.01,0.00733,-0.00348,0.00264,2e-05,0.12733
74,75776,8.85317,167.0,0.75,0.73,1.513302,0.134991,3.104332,0.003326,1270,-0.01,0.00585,-0.00505,0.00356,0.00239,0.04973
75,76800,12.20844,241.0,0.8,0.72,1.551097,-0.001963,2.595638,0.001672,1458,-0.01,0.00585,-0.00277,0.00392,0.00183,0.09278
76,77824,14.58508,299.0,1.0,0.72,1.578459,-0.000446,2.011743,0.002413,1544,-0.01,0.00629,-0.00264,0.00427,0.00279,0.04222
77,78848,15.45839,208.75,0.875,0.72,1.547229,0.098732,4.48998,0.003211,1315,-0.01,0.00621,-0.00096,0.0037,0.00576,0.15997
78,79872,15.05398,160.83333,0.66667,0.71,1.56308,0.000347,4.693455,0.002727,1428,-0.01,0.0067,-0.00081,0.00319,-0.00213,0.12057
79,80896,15.87979,144.0,1.0,0.72,1.581832,0.114478,4.048115,0.003361,1534,-0.01,0.00609,-0.00274,0.00385,0.00547,0.12061
80,81920,15.16233,226.25,1.0,0.73,1.603384,0.015294,3.425071,0.003192,1467,-0.01,0.00677,-0.00214,0.00569,0.00078,0.088
81,82944,13.25544,198.5,0.875,0.76,1.584458,-0.001754,4.054116,0.002448,1380,-0.01,0.00728,-0.00265,0.00483,0.00306,0.14017
82,83968,13.47938,191.8,0.8,0.77,1.557656,-0.001433,2.675403,0.00304,1414,-0.01,0.0071,4e-05,0.00479,0.00271,0.08771
83,84992,17.54439,181.8,0.8,0.78,1.550601,-0.103291,7.548578,0.0044,1301,-0.01,0.00648,0.00059,0.00519,-7e-05,0.10161
84,86016,19.7746,177.2,1.0,0.8,1.593848,-0.084517,4.723411,0.002642,1333,-0.01,0.00834,0.00107,0.00415,0.00401,0.12067
85,87040,12.80844,148.4,0.6,0.79,1.535136,0.000153,3.395404,0.004162,1233,-0.01,0.00617,0.00136,0.00566,0.00254,0.15088
86,88064,23.93831,115.85714,1.0,0.8,1.528293,2e-06,6.454167,0.001535,1256,-0.01,0.0074,0.00022,0.00384,0.00569,0.18948
87,89088,12.39438,141.14286,0.71429,0.8,1.494197,-0.001774,6.853837,0.002061,1382,-0.01,0.00714,-0.00116,0.00276,-0.00152,0.11735
88,90112,9.52829,158.42857,0.57143,0.79,1.488402,-0.004019,4.609911,0.005225,1508,-0.01,0.00979,-0.00276,0.00431,0.00336,0.09851
89,91136,13.80981,166.0,0.71429,0.8,1.481278,-0.002931,4.300909,0.001483,1421,-0.01,0.00769,-0.00284,0.00434,0.0043,0.13194
90,92160,19.42354,180.16667,0.83333,0.81,1.458489,0.013741,3.624718,0.003887,1319,-0.01,0.00647,0.00111,0.0054,0.00584,0.13129
91,93184,23.56367,158.2,1.0,0.82,1.540171,0.000677,3.834787,0.004499,1245,-0.01,0.00873,-0.00367,0.00376,0.00397,0.12974
92,94208,17.32414,177.0,1.0,0.82,1.528066,-0.135902,3.217009,0.003754,1290,-0.01,0.00867,-0.00114,0.00419,0.00325,0.10379
93,95232,18.14388,174.83333,0.83333,0.82,1.509582,-0.000841,3.307338,0.00701,1215,-0.01,0.0077,-0.0011,0.00408,0.00505,0.12414
94,96256,19.6217,156.5,1.0,0.84,1.454521,-0.001831,4.278715,0.006017,1238,-0.01,0.0083,0.00023,0.0034,0.00382,0.18172
95,97280,22.92408,144.0,1.0,0.84,1.424123,0.029569,4.439158,0.005635,1465,-0.01,0.00812,-0.00205,0.00369,0.0038,0.09081
96,98304,6.0978,243.57143,0.42857,0.8,1.503679,-0.001221,6.230258,0.004605,1481,-0.01,0.00849,-0.00217,0.00412,0.00158,0.06109
97,99328,19.99034,140.16667,0.83333,0.8,1.453884,-0.00185,5.274829,0.001836,1302,-0.01,0.00812,-0.00029,0.00428,0.00169,0.13437
98,100352,15.35573,188.25,0.75,0.79,1.44892,0.000403,3.906382,0.004221,1299,-0.01,0.00844,0.00012,0.00522,0.0042,0.067
99,101376,18.15843,189.5,0.83333,0.8,1.441555,-0.001984,3.930655,0.002062,1280,-0.01,0.00748,-0.00027,0.00445,0.00299,0.1222
100,102400,15.39008,194.33333,0.83333,0.79,1.441771,-0.038003,3.302882,0.004808,1396,-0.01,0.00557,-0.00104,0.00416,0.00219,0.12101
101,103424,11.79995,239.0,0.66667,0.8,1.430014,-0.001212,3.113905,0.003116,1478,-0.01,0.00649,-0.00404,0.00387,-0.0009,0.05018
