iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.375862,-0.009673,0.307095,0.006848,0.8683,0.079276,-0.027533,-0.412944,0.187581,-1.1338,1.331424,4.0,0.0003,0,805,0.26674,0.3637,0.0,nan,0,0.0,0.0,,,-0.01,0.00523,-0.01422,-0.02364,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.326587,-0.005952,0.086926,0.003352,0.727062,0.037807,0.669199,-1.054043,1.053726,-1.695753,2.190526,4.0,0.0002999,0,845,0.25877,0.35173,0.0,nan,0,0.0,0.0,,,-0.01,0.00504,-0.01267,-0.02162,-0.00066,0.0
3,3072,nan,nan,0.0,0.0,1.81222,-0.004843,0.064171,0.002959,0.631411,0.033447,0.881493,-1.306813,2.226399,-1.799099,2.930695,4.0,0.0002998,0,903,0.27208,0.3704,0.0,nan,0,0.0,0.0,,,-0.01,0.00615,-0.00982,-0.01806,-0.00896,0.0
4,4096,-16.79813,442.625,0.0,0.0,1.794443,-0.00545,0.059225,0.004809,0.47116,0.070801,0.896596,-1.907852,2.695766,-2.362005,3.403195,4.0,0.00029969,8,876,0.27242,0.37317,0.75,nan,0,0.375,0.9877,,,-0.01,0.00744,-0.00947,-0.02232,-0.00574,-0.005
5,5120,-8.5861,163.0,0.0,0.0,1.603736,-0.004337,0.053687,0.002855,0.278644,0.030273,0.923009,-2.527069,3.354299,-2.982614,3.777053,4.0,0.00029959,1,910,0.2451,0.34738,0.66667,nan,0,1.0,1.0,,,-0.01,0.00755,-0.00918,-0.01656,-0.01341,-0.00277
6,6144,-9.15549,247.0,0.0,0.0,1.37379,-0.002608,0.055345,0.001203,0.267487,0.007359,0.911231,-2.976607,3.437609,-3.197473,3.956898,4.0,0.00029949,5,939,0.25994,0.34637,0.42857,nan,0,1.0,0.9902,,,-0.01,0.0095,-0.00635,-0.02453,-0.00645,-0.01555
7,7168,-8.52165,256.83333,0.0,0.0,1.4884,-0.002577,0.061462,0.001886,0.23776,0.015904,0.906408,-3.349374,3.841581,-3.572558,4.117527,4.0,0.00029939,6,914,0.26288,0.35496,0.3,nan,0,1.0,0.97802,,,-0.01,0.00857,-0.00513,-0.0204,-0.01563,-0.01731
8,8192,-7.76424,197.25,0.0,0.0,1.641028,-0.004252,0.038247,0.004054,0.25992,0.051723,0.939904,-3.510302,4.07323,-3.71931,4.501853,4.0,0.00029928,4,886,0.28154,0.373,0.25,nan,0,1.0,1.0,,,-0.01,0.00948,-0.00407,-0.01828,-0.01166,-0.01028
9,9216,-7.66572,197.4,0.0,0.0,1.684341,-0.004521,0.054776,0.004267,0.271244,0.059954,0.918239,-3.788026,4.289591,-4.045222,4.725974,4.0,0.00029918,5,884,0.28564,0.37857,0.2069,nan,0,1.0,1.0,,,-0.01,0.00941,-0.00246,-0.02227,-0.01439,-0.01258
10,10240,-7.51699,198.66667,0.0,0.0,1.3414,-0.002931,0.035377,0.003261,0.259647,0.038365,0.941129,-4.183132,4.332705,-4.218845,4.684277,4.0,0.00029908,6,928,0.24189,0.32825,0.17143,nan,0,1.0,0.96296,,,-0.01,0.01188,-0.00214,-0.02444,-0.01265,-0.01805
