iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_bunching,comp_terminal
1,1024,nan,nan,0.0,0.0,2.395735,-0.009009,0.294211,0.008707,0.754917,0.130755,-0.02042,-0.277053,0.192443,-1.149727,1.347882,4.0,0.0003,0,643,0.28111,0.37807,0.0,nan,0,0.0,0.0,,,-0.01,0.00579,-0.01477,-0.02367,0.0,-0.01509,0.0
2,2048,nan,nan,0.0,0.0,2.317242,-0.004695,0.089227,0.00336,0.741919,0.037842,0.683487,-1.022128,1.107041,-1.637913,2.220816,4.0,0.0002999,0,678,0.27421,0.37491,0.0,nan,0,0.0,0.0,,,-0.01,0.00607,-0.01288,-0.02081,-0.00107,-0.00108,0.0
3,3072,nan,nan,0.0,0.0,1.969137,-0.005549,0.053688,0.004328,0.666761,0.050328,0.874602,-1.183563,2.315499,-1.680702,3.237936,4.0,0.0002998,0,714,0.24625,0.34523,0.0,nan,0,0.0,0.0,,,-0.01,0.00558,-0.01062,-0.02008,-0.0046,-0.00024,0.0
4,4096,-19.55949,447.0,0.0,0.0,1.769628,-0.003941,0.061648,0.001706,0.449517,0.014021,0.906368,-1.774187,3.084427,-2.346355,3.745137,4.0,0.00029969,8,723,0.28553,0.38928,0.75,nan,0,0.375,0.99248,,,-0.01,0.00717,-0.01086,-0.02476,-0.00766,-0.01165,-0.00507
5,5120,nan,nan,0.0,0.0,2.14789,-0.006987,0.029833,0.00748,0.345792,0.114746,0.936294,-2.332588,3.625077,-2.789411,4.464303,4.0,0.00029959,0,671,0.27945,0.37345,0.75,nan,0,0.0,0.0,,,-0.01,0.00709,-0.00857,-0.0171,-0.00766,-0.00032,0.0
6,6144,-11.80172,266.16667,0.0,0.0,1.216838,-0.002505,0.105368,0.002163,0.366966,0.02124,0.856982,-3.54864,4.45503,-3.820969,4.507795,4.0,0.00029949,6,782,0.30444,0.40684,0.42857,nan,0,1.0,0.99301,,,-0.01,0.00858,-0.00952,-0.02023,-0.01572,-0.01113,-0.02129
7,7168,-9.8165,241.0,0.0,0.0,1.794732,-0.00375,0.064891,0.003434,0.295401,0.044713,0.893357,-3.720633,4.085871,-3.92343,4.520712,4.0,0.00029939,5,708,0.33091,0.42404,0.31579,nan,0,1.0,0.97531,,,-0.01,0.00916,-0.00602,-0.01818,-0.01169,-0.00486,-0.01214
8,8192,-8.81881,209.0,0.0,0.0,1.78387,-0.002814,0.051112,0.002432,0.244009,0.020473,0.916931,-3.664904,4.175695,-4.025321,4.73487,4.0,0.00029928,3,714,0.35602,0.44551,0.27273,nan,0,1.0,1.0,,,-0.01,0.00936,-0.00548,-0.01926,-0.01134,-0.00454,-0.00731
9,9216,-9.53081,202.0,0.0,0.0,1.395201,-0.005245,0.043136,0.004386,0.26981,0.081124,0.927845,-4.02056,4.380524,-4.227149,4.728128,4.0,0.00029918,4,774,0.34018,0.41971,0.23077,nan,0,1.0,1.0,,,-0.01,0.00859,-0.00503,-0.01893,-0.01398,-0.00487,-0.01224
10,10240,-9.05234,258.66667,0.0,0.0,1.545666,-0.004608,0.03834,0.003927,0.254379,0.048758,0.936433,-4.199479,4.65226,-4.340545,5.016721,4.0,0.00029908,6,739,0.30581,0.38956,0.21875,nan,0,1.0,0.95312,,,-0.01,0.00952,-0.00357,-0.01961,-0.01213,-0.00617,-0.01373
11,11264,-8.59858,205.25,0.0,0.0,1.739189,-0.00455,0.034914,0.003409,0.280984,0.041609,0.944246,-4.46802,4.848044,-4.61599,5.190144,4.0,0.00029898,4,718,0.32984,0.4185,0.19444,nan,0,1.0,0.95455,,,-0.01,0.00996,-0.00487,-0.01749,-0.01299,-0.00397,-0.00979
