iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_bunching,comp_terminal
1,1024,nan,nan,0.0,0.0,2.476279,-0.008643,0.260934,0.008664,0.752924,0.107178,0.06239,-0.175507,0.186927,-0.921573,1.384327,4.0,0.0003,0,609,0.26688,0.36677,0.0,nan,0,0.0,0.0,,,-0.01,0.00484,-0.01317,-0.0217,0.0,-0.0099,0.0
2,2048,nan,nan,0.0,0.0,2.452942,-0.003369,0.083047,0.001299,0.63635,0.003732,0.682718,-0.856786,1.098725,-1.475685,2.204952,4.0,0.0002999,0,679,0.22944,0.32468,0.0,nan,0,0.0,0.0,,,-0.01,0.00554,-0.01014,-0.02104,-0.00038,-0.00097,0.0
3,3072,-14.46276,316.0,0.0,0.0,2.049823,-0.004923,0.073718,0.003394,0.530515,0.039028,0.855779,-1.513138,2.277085,-2.121513,3.115919,4.0,0.0002998,1,715,0.25502,0.36599,0.0,nan,0,1.0,1.0,,,-0.01,0.00438,-0.00963,-0.01974,-0.00658,-0.00388,-0.0023
4,4096,-17.77694,450.0,0.0,0.0,2.152804,-0.004156,0.03331,0.002273,0.311896,0.018345,0.908026,-2.298994,2.940862,-2.730572,3.912312,4.0,0.00029969,7,687,0.25518,0.35822,0.875,nan,0,0.14286,0.99752,,,-0.01,0.00615,-0.00741,-0.02374,0.0,-0.00888,0.0
5,5120,nan,nan,0.0,0.0,2.42257,-0.004235,0.018237,0.003987,0.254421,0.036691,0.938241,-2.838846,3.989032,-3.349077,5.072704,4.0,0.00029959,0,675,0.27372,0.36551,0.875,nan,0,0.0,0.0,,,-0.01,0.00552,-0.00768,-0.02121,0.0,-0.00212,0.0
6,6144,-17.18227,450.0,0.0,0.0,2.311746,-0.003285,0.012044,0.002526,0.231544,0.02417,0.961694,-3.209391,5.110347,-3.66197,6.140119,4.0,0.00029949,1,686,0.25436,0.34509,0.88889,nan,0,0.0,1.0,,,-0.01,0.00401,-0.00528,-0.02144,-0.00193,-0.00064,0.0
7,7168,nan,nan,0.0,0.0,2.190872,-0.005415,0.007955,0.00268,0.250622,0.029506,0.971771,-3.480635,6.115249,-3.928609,7.178945,4.0,0.00029939,0,702,0.25832,0.34681,0.88889,nan,0,0.0,0.0,,,-0.01,0.00417,-0.00517,-0.02328,-0.00116,-0.00128,0.0
8,8192,-16.43728,450.0,0.0,0.0,2.395648,-0.005873,0.009985,0.004835,0.245206,0.069371,0.974151,-4.586373,7.082289,-5.108326,8.174549,4.0,0.00029928,7,620,0.31153,0.39683,0.9375,nan,0,0.0,0.98667,,,-0.01,0.00459,-0.00528,-0.0238,-0.00031,-0.01042,0.0
9,9216,nan,nan,0.0,0.0,2.399637,-0.004676,0.006801,0.004059,0.254491,0.037144,0.979742,-4.774289,7.938121,-5.228391,9.027791,4.0,0.00029918,0,692,0.2834,0.372,0.9375,nan,0,0.0,0.0,,,-0.01,0.00513,-0.00465,-0.02249,-0.00064,-0.00226,0.0
10,10240,-15.4347,450.0,0.0,0.0,2.24549,-0.006334,0.005276,0.003637,0.263243,0.035958,0.986095,-4.816066,9.008248,-5.171184,9.983367,4.0,0.00029908,1,699,0.27694,0.36497,0.94118,nan,0,0.0,1.0,,,-0.01,0.00519,-0.00373,-0.022,-0.00067,-0.00144,0.0
