iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,human_death_rate,false_complete_rate,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.094188,-0.008171,0.451852,0.007607,1859,0.13839,0.0,0.0,-0.01,0.00393,-0.02415,-0.01649,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.070568,-0.040365,0.316539,0.001495,1971,0.13911,0.0,0.0,-0.01,0.00492,-0.02058,-0.01601,-0.00338,0.0
3,3072,-20.31619,329.0,0.0,0.0,2.139628,-0.011461,2.521005,0.002758,2314,0.16013,1.0,0.98077,-0.01,0.00489,-0.01972,-0.0139,-0.03638,-0.00075
4,4096,-21.83787,440.16667,0.0,0.0,2.042562,-0.000818,4.958335,0.000537,2048,0.15011,0.33333,0.99199,-0.01,0.00677,-0.01452,-0.01628,-0.05067,-0.00034
5,5120,-23.15907,238.33333,0.0,0.0,2.071236,-0.010469,6.369257,0.001871,2198,0.15386,1.0,0.95868,-0.01,0.00647,-0.01406,-0.01372,-0.09154,-0.0011
6,6144,-18.48552,230.83333,0.0,0.0,1.992626,-0.056009,2.435719,0.003056,2143,0.14694,1.0,0.99107,-0.01,0.00726,-0.0173,-0.01283,-0.0411,-0.0022
7,7168,-17.23457,185.0,0.0,0.0,1.965086,0.070618,14.610653,0.003118,2043,0.14714,1.0,0.9863,-0.01,0.00874,-0.00823,-0.01145,-0.14024,-0.00255
8,8192,-22.97718,157.8,0.0,0.0,1.978327,-0.000384,10.636623,0.000389,2045,0.14034,1.0,1.0,-0.01,0.00922,-0.00885,-0.01275,-0.12996,-0.0017
9,9216,-20.26052,160.66667,0.0,0.0,1.969872,-0.000525,10.940079,0.000595,2125,0.14354,1.0,0.98925,-0.01,0.00807,-0.0128,-0.01342,-0.15029,-0.00214
10,10240,-16.89813,143.33333,0.0,0.0,1.963962,-0.001358,9.094934,0.000638,2334,0.15195,1.0,0.98361,-0.01,0.00858,-0.01121,-0.01435,-0.11697,-0.00119
11,11264,-24.50008,242.66667,0.0,0.0,1.926259,0.035666,12.64419,0.001132,2238,0.14382,1.0,0.97525,-0.01,0.00782,-0.00963,-0.01353,-0.14151,-0.00193
12,12288,-22.70536,177.85714,0.0,0.0,1.994749,-0.015922,9.684248,0.00331,2213,0.14478,1.0,0.99338,-0.01,0.00808,-0.01015,-0.01062,-0.13739,-0.00313
13,13312,-21.5684,160.33333,0.0,0.0,1.914814,-0.110903,7.421149,0.002475,2148,0.14706,1.0,0.96396,-0.01,0.00969,-0.00729,-0.0119,-0.13563,-0.00219
14,14336,-16.02741,151.66667,0.0,0.0,1.884617,-0.06738,10.446178,0.002635,2332,0.14928,1.0,1.0,-0.01,0.00798,-0.00638,-0.01173,-0.16405,-0.00246
15,15360,-22.63237,162.11111,0.0,0.0,1.875953,-0.002546,10.492268,0.000983,2185,0.14378,1.0,0.96899,-0.01,0.00872,-0.00661,-0.01154,-0.13929,-0.00305
16,16384,-19.59328,121.8,0.0,0.0,1.835505,0.002637,8.86616,0.003278,2100,0.13219,1.0,1.0,-0.01,0.01011,-0.00404,-0.01127,-0.13945,-0.00179
17,17408,-12.52776,181.375,0.0,0.0,1.879489,0.086925,7.485556,0.002651,2175,0.13599,0.875,0.98925,-0.01,0.00894,-0.00352,-0.01192,-0.13196,-0.00282
