iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.380354,-0.009645,0.930227,0.003621,829,0.13923,0.0,0.0,,,-0.01,0.007,-0.04434,-0.02594,0.0,0.0
2,2048,nan,nan,0.0,0.0,2.366531,-0.005147,0.773046,0.002176,845,0.13937,0.0,0.0,,,-0.01,0.00695,-0.04679,-0.02203,0.0,0.0
3,3072,nan,nan,0.0,0.0,2.31773,-0.112275,0.594549,0.006802,841,0.1466,0.0,0.0,,,-0.01,0.00735,-0.0418,-0.02024,-0.00286,0.0
4,4096,-29.74521,450.0,0.0,0.0,2.363363,0.174594,0.55585,0.006181,883,0.1469,0.0,0.99416,,,-0.01,0.00858,-0.02834,-0.02322,-0.0018,0.0
5,5120,nan,nan,0.0,0.0,2.299826,-0.005248,0.602019,0.002288,882,0.14604,0.0,0.0,,,-0.01,0.00803,-0.02352,-0.01739,-0.00742,0.0
6,6144,-11.79849,270.33333,0.0,0.0,2.172161,-0.009772,0.825398,0.004257,1426,0.15944,1.0,0.99138,,,-0.01,0.00904,-0.01976,-0.01995,-0.01608,-0.00325
7,7168,-13.6148,417.5,0.0,0.0,2.232561,-0.01995,0.300045,0.00543,1087,0.14816,1.0,0.97778,,,-0.01,0.0106,-0.01157,-0.01807,-0.01051,-0.00078
8,8192,-7.50185,235.16667,0.0,0.0,2.162443,-0.00608,0.428995,0.005319,1126,0.14106,1.0,0.97368,,,-0.01,0.00871,-0.00502,-0.02113,-0.01104,-0.00247
9,9216,-6.67563,252.5,0.0,0.0,2.127848,-0.01176,0.349854,0.004482,1095,0.14251,1.0,0.93333,,,-0.01,0.011,-0.00413,-0.0164,-0.01556,-0.00162
10,10240,-4.60421,188.71429,0.0,0.0,2.103365,-0.004462,0.359001,0.002619,1103,0.12857,1.0,0.92857,,,-0.01,0.0136,-0.0023,-0.01525,-0.01435,-0.00277
11,11264,-3.69689,156.8,0.0,0.0,2.071909,-0.003958,0.311307,0.003118,1069,0.12987,1.0,1.0,,,-0.01,0.01291,-0.00149,-0.01459,-0.01866,-0.00191
12,12288,-3.73985,164.42857,0.0,0.0,2.153649,0.015487,0.223459,0.003535,1071,0.13067,1.0,1.0,,,-0.01,0.01241,-0.00024,-0.0184,-0.01353,-0.00271
13,13312,-3.74917,131.25,0.0,0.0,2.010215,-0.007398,0.18936,0.005953,1122,0.13555,1.0,1.0,,,-0.01,0.01072,-0.00013,-0.01734,-0.01452,-0.00194
14,14336,-3.68838,198.33333,0.0,0.0,1.929809,0.025669,0.185657,0.00577,1343,0.13029,1.0,0.0,,,-0.01,0.01108,-0.00039,-0.01831,-0.00566,-0.00146
15,15360,-4.81446,238.8,0.0,0.0,1.841002,-0.00618,0.184738,0.004866,1419,0.14179,1.0,1.0,,,-0.01,0.0089,-0.00068,-0.01582,-0.01717,-0.00205
16,16384,-3.85469,294.0,0.0,0.0,1.850829,-0.005356,0.197572,0.005108,1706,0.12241,1.0,1.0,,,-0.01,0.00836,0.00066,-0.01758,-0.00615,-0.00061
17,17408,-5.30462,389.25,0.0,0.0,1.933496,-0.006091,0.154362,0.004535,1322,0.13764,1.0,1.0,,,-0.01,0.00983,0.00016,-0.01722,-0.00415,-0.00048
18,18432,22.02103,171.0,0.5,0.01538,1.826599,0.037567,23.351682,0.007267,1473,0.14728,0.5,1.0,,,-0.01,0.00733,-0.00067,-0.02331,-0.00326,0.09276
19,19456,-6.78519,413.0,0.0,0.01449,1.878171,-0.001109,0.341421,0.003338,1400,0.13064,0.5,1.0,,,-0.01,0.01165,-0.00048,-0.01869,-0.00531,-0.0005
20,20480,-4.45654,302.5,0.0,0.0137,1.869506,-0.003736,0.254778,0.005278,1464,0.12121,1.0,0.0,,,-0.01,0.011,-0.00076,-0.01693,-0.00809,-0.00162
21,21504,-2.53188,450.0,0.0,0.01351,1.919909,-0.003968,0.233173,0.00415,1286,0.13088,1.0,0.0,,,-0.01,0.00975,0.00051,-0.01808,-0.00055,0.0
22,22528,7.7861,359.75,0.25,0.02564,2.00932,0.001199,18.600434,0.005799,1099,0.12803,0.75,1.0,,,-0.01,0.00982,-0.00022,-0.02,-0.00207,0.0621
23,23552,25.4553,204.0,1.0,0.03797,1.867845,0.023754,11.185168,0.004057,1394,0.13987,1.0,1.0,,,-0.01,0.00833,-0.00161,-0.0261,-0.00105,0.04727
24,24576,2.5408,374.4,0.4,0.05952,1.939453,-0.075912,21.816901,0.002313,1135,0.12678,0.6,1.0,,,-0.01,0.01077,-0.00012,-0.02441,-0.00243,0.06521
25,25600,-6.51957,450.0,0.0,0.05882,1.921044,-0.100285,0.824853,0.005201,1238,0.13726,1.0,0.0,,,-0.01,0.01085,-0.00117,-0.02056,-0.00502,0.0
26,26624,1.72957,315.33333,0.33333,0.06818,1.808957,-0.003888,4.044357,0.003708,1464,0.11945,1.0,1.0,,,-0.01,0.01085,-0.0002,-0.0172,-0.00611,0.0357
27,27648,-5.14311,348.4,0.0,0.06452,1.865235,0.124723,0.390049,0.00472,1354,0.13024,1.0,1.0,,,-0.01,0.01037,0.00057,-0.01765,-0.00739,-0.00149
28,28672,-5.29574,320.5,0.0,0.06316,1.945933,-0.004615,0.369172,0.005466,1207,0.13634,1.0,1.0,,,-0.01,0.00862,-0.00045,-0.0196,-0.0033,-0.00042
29,29696,-5.72946,337.0,0.0,0.06061,1.93203,-0.004918,0.28315,0.004073,1119,0.13401,1.0,0.0,,,-0.01,0.00894,-0.00075,-0.02183,-0.00465,-0.00078
30,30720,4.65716,288.0,0.25,0.07,2.022898,-0.000548,14.642153,0.008738,1039,0.13177,1.0,0.5,,,-0.01,0.00898,0.00081,-0.01908,-0.00238,0.04907
31,31744,-5.41984,275.0,0.0,0.07,1.979612,-0.074156,0.651407,0.006118,1084,0.13193,0.8,1.0,,,-0.01,0.01133,0.00051,-0.01728,-0.01225,-0.00155
32,32768,4.84676,234.0,0.5,0.08,2.020012,-0.002184,7.661378,0.004083,1111,0.13593,1.0,1.0,,,-0.01,0.00856,5e-05,-0.01869,-0.00486,0.0257
33,33792,7.4723,235.75,0.5,0.1,2.021297,0.000612,16.908809,0.004681,1111,0.13174,1.0,1.0,,,-0.01,0.00991,7e-05,-0.01837,-0.00271,0.06418
34,34816,4.69598,220.25,0.25,0.11,2.008577,-0.00033,13.310763,0.002733,1171,0.12923,1.0,1.0,,,-0.01,0.01003,-0.00011,-0.02052,-0.01018,0.05169
35,35840,-5.57972,307.0,0.0,0.11,1.948172,-0.050643,0.470767,0.009952,1040,0.11902,0.8,0.66667,,,-0.01,0.01308,-0.00014,-0.01879,-0.00955,-0.00111
36,36864,-3.60281,147.75,0.0,0.11,1.885888,-0.029885,0.413099,0.003388,1357,0.11977,1.0,0.0,,,-0.01,0.01111,-0.00078,-0.01637,-0.0187,-0.00207
37,37888,-0.38684,289.8,0.2,0.12,1.844588,-0.003187,9.375793,0.007148,1624,0.11595,1.0,1.0,,,-0.01,0.01182,-0.00049,-0.01347,-0.00979,0.03626
38,38912,2.5389,257.33333,0.33333,0.13,1.844258,0.03035,8.511674,0.006737,1505,0.1184,0.66667,1.0,,,-0.01,0.01018,-0.00097,-0.01714,-0.01192,0.0376
39,39936,-3.80297,282.5,0.0,0.13,1.801597,-0.006072,0.388231,0.005754,1827,0.15447,1.0,1.0,,,-0.01,0.00869,-0.00396,-0.01354,-0.00516,-0.00067
40,40960,-3.50283,416.0,0.0,0.13,1.79176,0.078991,0.30992,0.006868,1613,0.13687,1.0,0.83333,,,-0.01,0.00871,-0.00204,-0.01583,-0.00278,-0.00058
41,41984,-5.12498,450.0,0.0,0.13,1.821488,-0.004846,0.26395,0.00787,1458,0.1505,0.0,0.0,,,-0.01,0.00932,-0.00098,-0.0159,-0.00296,0.0
42,43008,-5.16358,450.0,0.0,0.13,1.758227,-0.08845,0.304704,0.005131,1578,0.15966,1.0,1.0,,,-0.01,0.01126,-0.00232,-0.01652,-0.00271,0.0
43,44032,-4.36072,294.6,0.0,0.13,1.738971,-0.028062,0.353906,0.006888,1277,0.13719,1.0,0.8,,,-0.01,0.01063,1e-05,-0.01926,-0.00774,-0.00134
44,45056,-4.68748,248.5,0.0,0.13,1.696226,-0.013227,0.319756,0.006161,1096,0.12146,1.0,0.0,,,-0.01,0.01217,0.00018,-0.01745,-0.00886,-0.00151
45,46080,-3.069,167.0,0.0,0.13,1.752673,0.058012,0.296118,0.005209,1538,0.13794,1.0,0.0,,,-0.01,0.00903,-0.00085,-0.02118,-0.00409,-0.00051
46,47104,-5.86757,341.0,0.0,0.13,1.771942,-0.003432,0.342102,0.00412,1375,0.13964,1.0,1.0,,,-0.01,0.00972,-0.00132,-0.02039,-0.00539,-0.00052
47,48128,-5.18177,397.4,0.0,0.13,1.782968,-0.007081,0.226674,0.006714,1185,0.13586,0.8,1.0,,,-0.01,0.01019,-0.00028,-0.02359,5e-05,-0.00042
48,49152,-5.95054,308.0,0.0,0.12,1.725868,-0.017491,0.186446,0.006519,1413,0.12517,1.0,0.0,,,-0.01,0.01022,0.00022,-0.01749,-0.00757,-0.00045
49,50176,-6.17288,450.0,0.0,0.12,1.632871,0.006472,0.177747,0.008802,1839,0.14086,1.0,0.0,,,-0.01,0.00649,-0.00047,-0.02056,-0.00191,0.0
50,51200,-4.9724,332.0,0.0,0.12,1.77984,-0.01547,0.129144,0.004692,1536,0.11843,0.66667,0.0,,,-0.01,0.00768,-0.00056,-0.02614,-0.00268,-0.00052
51,52224,-6.02146,450.0,0.0,0.12,1.749694,-0.079346,0.153176,0.007594,1217,0.11661,1.0,0.0,,,-0.01,0.00942,-0.0004,-0.01735,0.00061,0.0
52,53248,19.90562,236.6,0.6,0.14,1.822734,0.032238,43.245775,0.007873,1082,0.11219,1.0,0.5,,,-0.01,0.01016,0.00029,-0.01437,-0.00294,0.16026
53,54272,15.65403,264.83333,0.33333,0.13,1.85512,0.046312,39.973814,0.008727,1093,0.11546,0.66667,0.0,,,-0.01,0.00963,0.00024,-0.01597,-0.00171,0.15967
54,55296,-3.83998,190.0,0.0,0.13,1.930108,-0.001391,0.335879,0.002977,988,0.13808,1.0,0.0,,,-0.01,0.01091,0.00016,-0.0183,-0.00274,-0.00034
55,56320,-6.77878,400.0,0.0,0.12,1.817432,-0.061956,0.262673,0.004013,1534,0.14726,1.0,1.0,,,-0.01,0.008,-0.0014,-0.01695,-0.00445,-0.00051
56,57344,-2.15164,450.0,0.0,0.12,1.751482,0.104993,0.195049,0.007033,1513,0.13964,1.0,0.0,,,-0.01,0.00741,-0.0,-0.01701,-0.00113,0.0
57,58368,-6.34404,450.0,0.0,0.12,1.773725,-0.005968,0.135792,0.007598,1157,0.10538,1.0,1.0,,,-0.01,0.00923,0.00044,-0.01732,0.00101,0.0
