iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,1.747948,-0.007406,0.324998,0.005835,0.664889,0.068569,0.093323,-0.123238,0.269516,-0.658433,0.828633,4.0,0.0003,0,115,0.12041,0.16018,0.0,nan,0,0.0,0.0,,,-0.01,0.00214,-0.00264,-0.02368,-0.00043,0.0
2,2048,nan,nan,0.0,0.0,1.556327,-0.003715,0.222062,0.002745,0.908747,0.037667,0.537856,-0.584063,0.533612,-1.01972,0.97334,4.0,0.0002999,0,122,0.04723,0.07123,0.0,nan,0,0.0,0.0,,,-0.01,0.0017,-0.00128,-0.01548,-0.0036,0.0
3,3072,-8.05185,280.0,0.0,0.0,1.125777,-0.002858,0.158565,0.001889,0.636393,0.009347,0.660112,-0.859553,0.686098,-1.103551,0.973426,4.0,0.0002998,1,130,0.03952,0.06122,0.0,nan,0,1.0,1.0,,,-0.01,0.00325,-0.00074,-0.00993,-0.00779,-0.00287
4,4096,-10.42157,450.0,0.0,0.0,1.295436,-0.005491,0.113511,0.004236,0.349336,0.054269,0.805504,-1.18685,0.958939,-1.384741,1.24968,4.0,0.00029969,7,130,0.08884,0.12345,0.875,nan,0,0.42857,1.0,,,-0.01,0.00432,-0.00186,-0.01485,-0.003,0.0
5,5120,-5.12029,189.0,0.0,0.0,1.371153,-0.003414,0.159407,0.004376,0.522278,0.063965,0.733711,-1.307228,1.094748,-1.584509,1.423807,4.0,0.00029959,1,130,0.01745,0.0294,0.77778,nan,0,1.0,1.0,,,-0.01,0.00538,-0.00024,-0.01312,-0.0053,-0.00226
6,6144,-9.11623,325.5,0.0,0.0,1.008125,-0.003069,0.131812,0.003094,0.554211,0.039481,0.780225,-1.247595,1.169698,-1.547356,1.388521,4.0,0.00029949,4,147,0.06784,0.11313,0.53846,nan,0,1.0,1.0,,,-0.01,0.00509,-0.00111,-0.01684,-0.01222,-0.01275
7,7168,-9.67477,357.66667,0.0,0.0,0.973714,-0.003396,0.11485,0.002738,0.573124,0.028913,0.813436,-1.531886,1.211975,-1.854729,1.492265,4.0,0.00029939,3,152,0.08916,0.14081,0.4375,nan,0,1.0,1.0,,,-0.01,0.00512,-0.00153,-0.01921,-0.01171,-0.00973
8,8192,-7.78398,242.0,0.0,0.0,1.032448,-0.003427,0.096652,0.002449,0.422433,0.030378,0.827718,-2.070918,1.359735,-2.208882,1.470102,4.0,0.00029928,6,141,0.06886,0.11039,0.36364,nan,0,1.0,1.0,,,-0.01,0.01033,-0.0004,-0.00985,-0.01464,-0.01461
9,9216,-5.98771,173.33333,0.0,0.0,0.921803,-0.002387,0.088735,0.002014,0.233721,0.016915,0.8478,-2.170657,1.340694,-2.323484,1.64797,4.0,0.00029918,3,161,0.07072,0.1108,0.32,nan,0,1.0,1.0,,,-0.01,0.00863,0.00047,-0.02298,-0.00897,-0.00968
10,10240,-5.95296,239.5,0.0,0.0,0.964743,-0.003487,0.066841,0.002343,0.297939,0.015555,0.88524,-2.379533,1.548744,-2.559146,1.644923,4.0,0.00029908,6,162,0.07981,0.12185,0.25806,nan,0,1.0,0.66667,,,-0.01,0.00844,-0.00095,-0.01569,-0.01004,-0.01888
11,11264,-3.99234,118.0,0.0,0.0,0.797749,-0.003432,0.051221,0.002196,0.250347,0.021345,0.876403,-2.294734,1.316977,-2.403285,1.448838,4.0,0.00029898,2,172,0.06232,0.09361,0.24242,nan,0,1.0,1.0,,,-0.01,0.00667,-0.00096,-0.01313,-0.01436,-0.00749
12,12288,-6.65249,314.33333,0.0,0.0,0.634328,-0.003666,0.038286,0.002232,0.238457,0.025774,0.879198,-2.308571,1.230646,-2.319515,1.228153,4.0,0.00029887,3,195,0.05867,0.09082,0.25,nan,0,1.0,0.83333,,,-0.01,0.0097,-0.00136,-0.00882,-0.01349,-0.00928
13,13312,13.96946,329.5,0.25,0.025,0.777531,-0.001607,4.217603,0.003207,1.793165,0.046945,0.016447,-2.439811,1.23491,-1.061496,7.203529,4.0,0.00029877,4,177,0.04753,0.07304,0.25,0.0,1,0.75,1.0,,,-0.01,0.01118,-0.00026,-0.01034,-0.0003,0.12462
14,14336,-4.74079,273.6,0.0,0.02222,1.063875,-0.004552,0.092539,0.00506,0.542165,0.064,0.690253,-1.068222,2.047131,-1.103867,1.965618,4.0,0.00029867,5,191,0.06104,0.09917,0.24444,0.0,1,1.0,0.75,,,-0.01,0.0075,0.00033,-0.01162,-0.00909,-0.01106
15,15360,7.28715,163.5,0.16667,0.03922,0.939969,-0.000628,2.427385,0.001056,1.017241,0.003313,0.103357,-1.089484,1.967498,-0.038608,7.274114,4.0,0.00029857,6,170,0.07792,0.11908,0.21569,0.0,2,1.0,1.0,,,-0.01,0.00821,-0.00027,-0.01393,-0.00686,0.09635
16,16384,31.94647,200.5,0.5,0.08772,0.95271,-0.000688,2.910126,0.000788,2.013709,0.000453,0.165829,0.143423,2.872121,3.99295,12.052496,4.0,0.00029846,6,165,0.06583,0.10665,0.21053,0.0,5,0.83333,0.9,,,-0.01,0.00941,-0.00022,-0.00851,-0.00517,0.33175
17,17408,49.99785,236.0,0.75,0.13115,0.988596,-0.002664,1.562444,0.004188,1.604021,0.059291,0.3358,3.185664,6.198006,7.519495,12.543559,4.0,0.00029836,4,182,0.05282,0.08871,0.21311,0.0,8,0.5,0.75,,,-0.01,0.00611,-0.00027,-0.01195,-0.00393,0.3029
18,18432,-4.98032,229.66667,0.0,0.125,0.831097,-0.002452,0.150134,0.001395,0.793399,0.010289,0.835657,10.779943,8.776173,11.282453,8.45301,4.0,0.00029826,3,191,0.04679,0.07975,0.21875,0.0,8,1.0,0.71429,,,-0.01,0.00714,0.00057,-0.01783,-0.00842,-0.00704
19,19456,30.0667,285.5,0.5,0.14706,0.860377,-0.001914,0.461688,0.002477,0.545179,0.031982,0.567241,12.915815,8.207211,14.675742,11.17604,4.0,0.00029816,4,190,0.05403,0.0835,0.22059,0.0,10,1.0,1.0,,,-0.01,0.00354,0.00018,-0.01704,-0.00133,0.23293
20,20480,-5.55399,260.66667,0.0,0.14085,0.933214,-0.002428,0.101062,0.003027,0.649783,0.035435,0.712283,13.56444,7.038873,13.644418,6.584411,4.0,0.00029805,3,188,0.0594,0.09684,0.22535,0.0,10,1.0,0.66667,,,-0.01,0.00444,-0.0005,-0.0096,-0.00574,-0.00628
21,21504,-5.84673,450.0,0.0,0.13889,0.816738,-0.003368,0.029469,0.00249,0.553249,0.028843,0.856453,15.822351,5.803557,15.748765,5.220993,4.0,0.00029795,1,187,0.05795,0.08692,0.23611,0.0,10,1.0,0.0,,,-0.01,0.00428,-0.00094,-0.00726,-0.00201,0.0
22,22528,-4.03111,450.0,0.0,0.13333,0.742193,-0.004771,0.017292,0.002802,0.49782,0.041085,0.880346,16.097229,4.792716,15.773137,4.443995,4.0,0.00029785,3,185,0.06058,0.09391,0.26667,0.0,10,0.33333,0.85714,,,-0.01,0.00393,-0.00096,-0.00757,0.00033,0.0
23,23552,13.27391,410.75,0.25,0.13924,0.975705,-0.002135,0.146934,0.002234,0.233594,0.007254,0.401629,14.67688,4.482141,15.437571,6.6854,4.0,0.00029775,4,174,0.0741,0.11463,0.29114,0.0,11,0.25,1.0,,,-0.01,0.00353,-0.00149,-0.01302,-0.00033,0.09699
24,24576,-5.90453,319.0,0.0,0.13415,0.999426,-0.002189,0.063761,0.001521,0.375946,0.012556,0.568867,14.751458,5.197082,14.109556,5.249027,4.0,0.00029764,3,182,0.11275,0.16293,0.29268,0.0,11,1.0,1.0,,,-0.01,0.0042,-0.00146,-0.01854,-0.00542,-0.00598
25,25600,24.29615,275.0,0.5,0.14286,0.873536,-0.002253,0.13313,0.002252,0.24906,0.024344,0.295745,16.308472,3.518234,16.657404,5.929657,4.0,0.00029754,2,193,0.07247,0.10846,0.28571,0.0,12,0.5,0.78571,,,-0.01,0.00403,-0.00287,-0.01291,-0.00336,0.10322
26,26624,12.43469,240.0,0.25,0.14773,0.77203,-0.003576,0.100525,0.003906,0.447187,0.064628,0.29657,16.644976,3.012457,15.894748,5.244061,4.0,0.00029744,4,265,0.05366,0.07982,0.28409,0.0,13,0.75,0.82353,,,-0.01,0.00529,-0.00115,-0.00865,-0.00675,0.12003
27,27648,4.12846,336.83333,0.16667,0.14894,0.992024,-0.002694,0.141889,0.003628,0.342003,0.037737,0.179227,15.937059,3.217602,15.339595,5.836734,4.0,0.00029734,6,175,0.05333,0.08681,0.28723,0.0,14,0.66667,0.83333,,,-0.01,0.00747,-5e-05,-0.01508,-0.00649,0.07625
28,28672,28.8755,196.25,0.5,0.16327,0.943013,-0.001182,0.262416,0.001667,0.21008,0.01144,0.240207,16.508558,3.265402,17.252283,8.502111,4.0,0.00029724,4,190,0.0497,0.07378,0.27551,0.0,16,0.75,0.84615,,,-0.01,0.00514,-0.00017,-0.01448,-0.00292,0.20239
29,29696,51.67512,214.8,0.8,0.2,0.942509,-0.00151,0.354832,0.002424,0.569308,0.017125,0.323641,16.930349,4.771625,20.020935,10.912073,4.0,0.00029713,5,191,0.04621,0.08093,0.25,0.0,20,0.6,0.4,,,-0.01,0.00504,3e-05,-0.01039,-0.00669,0.40683
30,30720,39.15458,160.6,0.6,0.23,0.931188,-0.001916,0.298385,0.002464,0.331084,0.017997,0.443724,19.003347,6.771561,20.717772,11.495067,4.0,0.00029703,5,419,0.04394,0.07231,0.2,0.0,23,0.4,0.5,,,-0.01,0.00346,-0.00074,-0.01692,-0.00595,0.31118
31,31744,19.26796,267.0,0.33333,0.24,0.591219,-0.00113,0.116496,0.000667,0.304468,0.004534,0.585034,22.958822,7.448049,23.672598,8.748183,4.0,0.00029693,3,343,0.02103,0.03867,0.21,0.0,24,0.33333,1.0,,,-0.01,0.00391,-2e-05,-0.00937,-0.0029,0.16352
32,32768,19.86762,244.66667,0.33333,0.25,0.555841,-0.002146,0.093771,0.001278,0.261875,0.014056,0.647541,25.024029,7.49724,25.6112,8.535995,4.0,0.00029683,3,389,0.02407,0.04559,0.22,0.0,25,0.66667,1.0,,,-0.01,0.00723,1e-05,-0.00603,-0.0056,0.17138
33,33792,5.16698,245.75,0.125,0.26,0.789957,-0.00242,0.145025,0.003131,0.593787,0.03704,0.437617,23.014311,6.71755,21.506348,8.615801,4.0,0.00029672,8,394,0.04611,0.07547,0.24,0.0,26,0.625,0.8,,,-0.01,0.00545,0.00025,-0.01137,-0.00743,0.10815
34,34816,-5.07898,273.0,0.0,0.26,0.858633,-0.0019,0.052673,0.001717,0.208469,0.008057,0.657308,22.117123,6.406254,22.246977,6.636167,4.0,0.00029662,2,351,0.04503,0.07723,0.25,0.0,26,0.5,1.0,,,-0.01,0.00561,-0.00045,-0.00618,-0.00971,-0.00315
35,35840,38.4705,198.0,0.6,0.29,0.578662,-0.002203,0.204602,0.001709,0.214451,0.016218,0.427373,24.399593,6.107787,25.14924,10.473151,4.0,0.00029652,5,509,0.02596,0.04808,0.25,0.0,29,0.6,0.0,,,-0.01,0.00479,-0.00016,-0.01398,-0.0063,0.45328
36,36864,11.80241,275.0,0.25,0.3,0.558664,-0.000425,0.104006,0.000282,0.261662,0.000384,0.469677,23.789995,6.154382,23.44838,7.828301,4.0,0.00029642,4,406,0.03889,0.05865,0.26,0.0,30,0.75,0.0,,,-0.01,0.00769,-0.00014,-0.01227,-0.00567,0.13428
37,37888,-4.01748,354.5,0.0,0.3,0.736777,-0.00359,0.051819,0.002974,0.40414,0.038888,0.740807,25.422089,7.341933,24.699766,7.921302,4.0,0.00029631,2,418,0.07729,0.11817,0.26,0.0,30,0.5,1.0,,,-0.01,0.00513,0.00011,-0.01301,-0.00715,-0.00369
38,38912,22.70518,225.6,0.4,0.31,0.823598,-0.001298,0.155994,0.0022,0.279158,0.024972,0.521545,24.548462,8.014269,24.223951,10.513948,4.0,0.00029621,5,408,0.08839,0.12445,0.25,0.0,32,1.0,0.75,,,-0.01,0.0061,0.00039,-0.02312,-0.00133,0.20055
39,39936,39.88932,235.0,0.66667,0.33,0.909643,-0.003277,0.09068,0.002418,0.180476,0.024414,0.671025,24.899124,7.515231,25.643642,9.771894,4.0,0.00029611,3,332,0.09031,0.13186,0.24,0.0,34,0.66667,0.0,,,-0.01,0.00566,-0.00134,-0.01829,-0.00517,0.19144
40,40960,5.51255,271.16667,0.16667,0.33,0.802712,-0.002006,0.090101,0.001342,0.333399,0.009905,0.650004,26.127123,7.161729,25.56213,9.77832,4.0,0.00029601,6,346,0.07823,0.11618,0.26,0.0,35,0.83333,0.65,,,-0.01,0.00545,-0.00042,-0.01812,-0.00328,0.10165
41,41984,34.62803,254.6,0.6,0.35,0.798337,-0.003001,0.123345,0.00361,0.298102,0.045968,0.645912,28.908152,9.112707,30.626932,11.491982,4.0,0.0002959,5,499,0.06219,0.09749,0.26,0.0,38,0.4,0.77778,,,-0.01,0.00731,9e-05,-0.0145,-0.00199,0.31976
42,43008,57.08411,146.66667,0.83333,0.36,0.994074,-0.002413,0.162983,0.00235,0.351499,0.018903,0.55537,29.146938,8.883612,31.491119,11.998771,4.0,0.0002958,6,453,0.06588,0.09304,0.25,0.0,43,0.5,1.0,,,-0.01,0.00765,0.00028,-0.01063,-0.00072,0.44881
43,44032,31.85627,195.0,0.5,0.37,0.817081,-0.002182,0.163428,0.001858,0.221944,0.020089,0.588058,30.736612,10.097424,31.261038,12.639247,4.0,0.0002957,6,502,0.09872,0.14596,0.25,0.0,46,0.66667,0.875,,,-0.01,0.00592,-0.00081,-0.01627,-0.00907,0.34262
44,45056,33.31572,89.25,0.5,0.38,0.737177,-0.003269,0.104682,0.00277,0.228927,0.038644,0.651185,31.392132,9.871074,32.280365,11.588925,4.0,0.0002956,4,609,0.10615,0.15005,0.23,0.0,48,0.75,0.0,,,-0.01,0.00959,-0.00241,-0.01922,-0.00208,0.24525
45,46080,26.77303,196.14286,0.42857,0.41,0.920512,-0.002102,0.134082,0.003555,0.245163,0.026507,0.585047,32.137726,9.171822,33.472034,12.180575,4.0,0.00029549,7,490,0.10014,0.15303,0.18,0.0,51,0.57143,0.66667,,,-0.01,0.00856,-0.00137,-0.01709,-0.00105,0.2856
46,47104,31.98296,201.375,0.5,0.42,0.831094,-0.002872,0.149918,0.003465,0.236253,0.036621,0.621713,33.049263,10.57906,34.050755,13.684004,4.0,0.00029539,8,585,0.0627,0.10023,0.18,0.0,55,0.625,0.94118,,,-0.01,0.00659,-0.00014,-0.01843,-0.00705,0.42019
47,48128,46.12373,92.5,0.66667,0.45,0.812185,-0.002782,0.147956,0.002852,0.227289,0.028111,0.553017,36.434914,9.582066,37.945496,12.750438,4.0,0.00029529,6,490,0.03796,0.06706,0.15,0.0,59,0.33333,1.0,,,-0.01,0.01032,0.00011,-0.02081,-0.00217,0.4215
48,49152,55.84337,143.66667,0.83333,0.48,0.747869,-0.00191,0.08991,0.002596,0.205208,0.016636,0.714024,40.343567,10.451974,42.138149,12.789243,4.0,0.00029519,6,502,0.04161,0.07083,0.15,0.0,64,0.33333,1.0,,,-0.01,0.00715,-0.00022,-0.01726,0.00292,0.57101
49,50176,32.59045,174.4,0.5,0.47,0.801977,-0.002452,0.121352,0.001098,0.26832,0.009835,0.690103,38.752537,10.687362,38.851643,14.926559,4.0,0.00029508,10,483,0.06419,0.10811,0.17,0.0,69,0.5,1.0,,,-0.01,0.00833,-0.00033,-0.01519,-0.00651,0.55448
50,51200,45.27965,94.33333,0.66667,0.47,0.794347,-0.002433,0.115245,0.001759,0.271669,0.022914,0.575676,37.007557,11.766623,38.86282,12.58075,4.0,0.00029498,3,516,0.07731,0.11586,0.16,0.0,71,0.33333,1.0,,,-0.01,0.00967,-0.00081,-0.01673,0.0007,0.21897
