iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,2.047681,-0.010058,0.501419,0.007384,1.939197,0.078265,-0.042082,1.172559,0.227914,0.469745,0.796185,4.0,0.0003,0,551,0.12054,0.16992,0.0,nan,0,0.0,0.0,,,-0.01,0.00265,-0.00286,-0.02943,0.0,0.0
2,2048,nan,nan,0.0,0.0,1.815495,-0.005481,0.179551,0.004337,0.624225,0.073591,0.505057,0.346701,0.451837,-0.07747,0.750049,4.0,0.0002999,0,604,0.03208,0.0462,0.0,nan,0,0.0,0.0,,,-0.01,0.00119,-0.00049,-0.01543,-0.00226,0.0
3,3072,nan,nan,0.0,0.0,1.386656,-0.004479,0.120631,0.003445,0.678633,0.056676,0.643555,0.15431,0.534242,-0.136886,0.701259,4.0,0.0002998,0,669,0.0303,0.04794,0.0,nan,0,0.0,0.0,,,-0.01,0.00304,-0.00049,-0.00961,-0.00875,0.0
4,4096,-12.19523,443.5,0.0,0.0,1.429252,-0.004289,0.245546,0.003491,0.749089,0.035575,0.609378,-0.108003,0.67716,-0.520023,1.106169,4.0,0.00029969,8,636,0.08477,0.12821,0.75,nan,0,0.625,1.0,,,-0.01,0.00373,-0.00114,-0.0233,-0.00561,-0.00536
5,5120,nan,nan,0.0,0.0,1.500625,-0.004369,0.184316,0.004952,0.508904,0.059849,0.639514,-0.735191,0.885842,-1.198826,1.187912,4.0,0.00029959,0,631,0.02127,0.03969,0.75,nan,0,0.0,0.0,,,-0.01,0.0017,-0.00027,-0.01667,-0.01211,0.0
6,6144,-8.86423,234.8,0.0,0.0,1.080137,-0.004392,0.158279,0.002462,0.5885,0.028146,0.745768,-0.752469,1.034418,-1.134181,1.366662,4.0,0.00029949,5,706,0.0569,0.09548,0.46154,nan,0,1.0,1.0,,,-0.01,0.00638,-0.00116,-0.02127,-0.01281,-0.01667
7,7168,-8.77064,264.33333,0.0,0.0,1.333337,-0.004328,0.135281,0.005622,0.635608,0.096331,0.75054,-1.349213,1.216662,-1.778963,1.397503,4.0,0.00029939,6,642,0.06057,0.09774,0.31579,nan,0,1.0,1.0,,,-0.01,0.00825,-0.00016,-0.02045,-0.01206,-0.01585
8,8192,-6.90329,167.875,0.0,0.0,1.240298,-0.004471,0.103752,0.004801,0.459649,0.077776,0.769386,-1.775662,1.196923,-2.153833,1.377971,4.0,0.00029928,8,654,0.05134,0.08862,0.22222,nan,0,1.0,1.0,,,-0.01,0.00641,-0.0008,-0.01684,-0.01757,-0.02186
9,9216,-6.877,158.42857,0.0,0.0,1.428785,-0.00467,0.076627,0.004836,0.376366,0.062605,0.813859,-2.327305,1.304085,-2.661684,1.438356,4.0,0.00029918,7,612,0.07592,0.12856,0.17647,nan,0,1.0,1.0,,,-0.01,0.00721,-0.00069,-0.01782,-0.01534,-0.01703
10,10240,-6.24114,140.0,0.0,0.0,1.350213,-0.002494,0.060329,0.002616,0.259883,0.01709,0.830234,-2.700932,1.217522,-2.99917,1.505729,4.0,0.00029908,4,613,0.04788,0.07634,0.15789,nan,0,1.0,1.0,,,-0.01,0.00576,-0.00047,-0.02056,-0.01027,-0.00972
