iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1,1024,nan,nan,0.0,0.0,1.784852,-0.007316,0.510775,0.007125,2.088345,0.065883,0.012281,1.244616,0.204536,0.739638,0.701084,4.0,0.0003,0,717,0.12737,0.17969,0.0,nan,0,0.0,0.0,,,-0.01,0.00261,-0.00255,-0.01848,0.0,0.0
2,2048,nan,nan,0.0,0.0,1.557419,-0.002304,0.235906,0.001266,0.56296,0.002999,0.413434,0.538195,0.36715,0.220735,0.680932,4.0,0.0002999,0,766,0.04811,0.07074,0.0,nan,0,0.0,0.0,,,-0.01,0.00424,-0.00109,-0.00876,-0.00454,0.0
3,3072,-9.2372,347.5,0.0,0.0,0.93067,-0.002142,0.275728,0.002731,0.788242,0.010219,0.372939,0.425836,0.376915,0.095933,0.72186,4.0,0.0002998,2,870,0.04584,0.08201,0.0,nan,0,1.0,1.0,,,-0.01,0.00756,-0.00111,-0.00828,-0.01706,-0.00694
4,4096,-8.63617,433.0,0.0,0.0,1.25873,-0.004891,0.235367,0.003995,0.42723,0.049386,0.573238,-0.028634,0.575176,-0.330973,1.010516,4.0,0.00029969,6,803,0.09338,0.13733,0.5,nan,0,0.83333,1.0,,,-0.01,0.0061,-0.00148,-0.01713,-0.00372,-0.00528
5,5120,-8.47962,182.0,0.0,0.0,1.069536,-0.001361,0.19367,0.002953,0.576616,0.012416,0.641906,-0.128073,0.71082,-0.414768,1.043579,4.0,0.00029959,1,848,0.05298,0.08438,0.44444,nan,0,1.0,1.0,,,-0.01,0.0049,-0.00054,-0.01327,-0.00914,-0.00299
6,6144,26.08139,259.5,0.5,0.09091,0.906407,-0.001597,2.587332,0.002727,1.595673,0.0482,0.042215,-0.232221,0.870226,0.870286,6.669268,4.0,0.00029949,2,907,0.05657,0.08323,0.36364,0.0,1,1.0,1.0,,,-0.01,0.00586,-0.00074,-0.01198,-0.00222,0.11268
7,7168,-7.70951,329.625,0.0,0.05263,1.316178,-0.002942,0.114687,0.003673,0.840992,0.035296,0.621968,0.011727,2.409194,-0.599582,2.248716,4.0,0.00029939,8,693,0.10807,0.15787,0.26316,0.0,1,1.0,0.9375,,,-0.01,0.00802,-0.00104,-0.01731,-0.01258,-0.01731
8,8192,6.38789,151.5,0.16667,0.08,1.200244,-0.000568,1.66317,0.001482,0.949953,0.0,0.091475,-0.361562,1.86843,0.649032,7.125429,4.0,0.00029928,6,793,0.08755,0.13745,0.2,0.0,1,1.0,1.0,,,-0.01,0.00946,-0.00045,-0.01194,-0.01697,0.07926
9,9216,-5.12571,167.2,0.0,0.06667,1.097036,-0.003236,0.076419,0.00442,0.543479,0.066232,0.737599,0.709024,2.808908,0.265451,2.717955,4.0,0.00029918,5,814,0.12406,0.1746,0.16667,0.0,1,1.0,0.0,,,-0.01,0.00651,-0.00083,-0.01812,-0.00951,-0.01462
10,10240,-6.66257,199.0,0.0,0.05556,1.143441,-0.002074,0.063099,0.001865,0.425904,0.024623,0.646844,0.181419,2.443094,-0.274684,2.293696,4.0,0.00029908,6,806,0.10006,0.14504,0.13889,0.0,1,1.0,1.0,,,-0.01,0.00942,-0.00084,-0.01826,-0.01088,-0.01601
11,11264,20.43568,115.0,0.33333,0.07692,0.919746,-0.00069,1.512268,0.001643,0.843808,0.01995,0.083014,0.090638,1.88669,1.17102,7.275287,4.0,0.00029898,3,873,0.08406,0.12787,0.12821,0.0,2,1.0,1.0,,,-0.01,0.00922,-0.00045,-0.01542,-0.0116,0.11133
12,12288,13.29212,184.75,0.25,0.09302,0.82453,-0.0014,1.085451,0.002993,0.53377,0.036203,0.118051,1.651286,2.155901,2.657861,7.15379,4.0,0.00029887,4,912,0.1436,0.21444,0.11628,0.0,3,1.0,0.5,,,-0.01,0.00988,-0.00124,-0.01617,-0.00843,0.12239
13,13312,9.32595,243.8,0.2,0.10417,0.867282,-0.00143,0.979579,0.002212,0.675811,0.025146,0.16963,2.077064,3.050756,3.167172,7.515508,4.0,0.00029877,5,892,0.14534,0.21699,0.14583,0.0,4,0.6,0.71429,,,-0.01,0.00903,-0.00096,-0.02121,-0.00627,0.12132
14,14336,23.75454,257.0,0.4,0.13208,0.986592,-0.002281,1.342625,0.002902,1.177801,0.040423,0.197425,2.644391,3.498198,4.94274,10.172645,4.0,0.00029867,5,846,0.21382,0.29826,0.16981,0.0,6,0.4,0.75,,,-0.01,0.0101,-0.00302,-0.01977,-0.00518,0.22169
15,15360,19.34754,234.83333,0.33333,0.15254,0.942823,-0.001585,0.847694,0.002224,0.456539,0.02703,0.383479,6.831514,5.92787,8.988745,10.815971,4.0,0.00029857,6,861,0.1773,0.24737,0.18644,0.0,8,0.66667,0.88889,,,-0.01,0.00904,-0.00261,-0.02251,-0.0061,0.22559
16,16384,12.95092,130.75,0.25,0.15873,0.94843,-0.002834,0.486749,0.002781,0.516452,0.038051,0.255078,10.146528,5.522152,10.79943,8.006496,4.0,0.00029846,4,734,0.11157,0.16171,0.1746,0.0,9,0.75,1.0,,,-0.01,0.00854,-0.0008,-0.01619,-0.00669,0.09947
17,17408,-7.29573,331.66667,0.0,0.15152,0.882788,-0.004402,0.085871,0.003185,0.648205,0.051549,0.71096,9.339128,5.334486,8.488101,5.355592,4.0,0.00029836,3,884,0.16158,0.21796,0.18182,0.0,9,1.0,0.78571,,,-0.01,0.00482,-0.00117,-0.02525,-0.00597,-0.00683
